country,date,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k
Afghanistan,2020-01-01,-9.109056,172.93195,-118.92714,-0.02214765,0.42046466,-0.28915802,-1.3012937,24.704565,-16.989592,-0.0031639498,0.06006638,-0.041308288
Afghanistan,2020-01-06,-18.218113,348.78256,-234.63405,-0.0442953,0.84802574,-0.57048637,-1.3012937,25.121517,-16.529558,-0.0031639498,0.061080154,-0.040189765
Afghanistan,2020-01-13,-19.568554,527.26324,-344.36835,-0.04757875,1.2819815,-0.837293,-0.19292034,25.497236,-15.676329,-0.0004690642,0.061993673,-0.038115237
Afghanistan,2020-01-20,9.098788,698.69824,-462.7044,0.022122683,1.6988064,-1.125014,4.0953345,27.090372,-24.384392,0.009957347,0.0658672,-0.059287913
Afghanistan,2020-01-27,26.065027,895.6987,-566.61285,0.06337419,2.177791,-1.3776556,2.4237483,31.936626,-23.869698,0.0058930726,0.07765032,-0.058036495
Afghanistan,2020-02-03,52.045277,1104.2599,-689.3225,0.12654226,2.684884,-1.6760105,3.7114644,35.495308,-28.250946,0.009024009,0.08630286,-0.06868901
Afghanistan,2020-02-10,87.469536,1317.5471,-1025.2681,0.21267237,3.2034683,-2.4928243,5.0606084,37.028694,-30.464134,0.012304302,0.09003112,-0.074070126
Afghanistan,2020-02-17,112.17523,1512.9603,-1389.6605,0.27274153,3.6785934,-3.3788037,3.5293858,41.31193,-34.014557,0.008581306,0.10044533,-0.082702585
Afghanistan,2020-02-24,123.675,1745.0122,-1669.3689,0.30070192,4.2428017,-4.058883,1.6428238,35.671318,-42.65411,0.003994342,0.086730815,-0.103708684
Afghanistan,2020-03-02,135.46378,1720.4668,-1913.2864,0.329365,4.183122,-4.6519413,1.6841105,27.041815,-99.308586,0.004094726,0.06574914,-0.24145769
Afghanistan,2020-03-09,200.82616,1957.4733,-2325.1216,0.4882863,4.759377,-5.653272,9.337482,56.882183,-102.8657,0.022703042,0.13830265,-0.25010642
Afghanistan,2020-03-16,762.8588,2443.194,-2134.797,1.8548058,5.9403524,-5.19052,80.29038,126.936066,-45.935703,0.19521707,0.30863082,-0.11168751
Afghanistan,2020-03-23,839.1372,2707.8625,-2288.4812,2.040268,6.583864,-5.5641856,10.896906,63.51132,-75.356064,0.026494605,0.15442064,-0.18321982
Afghanistan,2020-03-30,908.115,3079.2803,-2808.3525,2.20798,7.4869246,-6.828194,9.8539715,45.427803,-80.135124,0.023958828,0.110452615,-0.19483957
Afghanistan,2020-04-06,1361.5618,3275.914,-3014.763,3.310485,7.965018,-7.330058,64.77811,82.97233,-61.771328,0.15750071,0.20173791,-0.15019006
Afghanistan,2020-04-13,1649.7151,3809.0247,-3252.1777,4.0110974,9.261216,-7.9073057,41.16476,72.0492,-55.007946,0.1000875,0.17517957,-0.13374566
Afghanistan,2020-04-20,1741.8511,4518.339,-3671.3965,4.2351155,10.985834,-8.926589,13.162285,71.18743,-73.74602,0.03200262,0.17308426,-0.17930518
Afghanistan,2020-04-27,1946.0258,4940.253,-4086.2888,4.7315435,12.011672,-9.935353,29.167812,75.72497,-81.24046,0.07091826,0.18411678,-0.19752708
Afghanistan,2020-05-04,2217.4941,5499.6216,-4333.4487,5.391588,13.371714,-10.536296,38.78118,111.65583,-27.636612,0.0942921,0.27147865,-0.067195326
Afghanistan,2020-05-11,2542.4253,6269.542,-4535.5127,6.1816225,15.243689,-11.027591,46.418762,122.78664,-23.434406,0.11286202,0.29854193,-0.056978136
Afghanistan,2020-05-18,3159.4712,7015.7197,-4132.979,7.6819,17.057936,-10.048876,88.14938,169.65082,-14.566091,0.21432535,0.41248694,-0.035415817
Afghanistan,2020-05-25,3680.634,7482.666,-3599.107,8.949049,18.193264,-8.750826,74.45185,199.47687,-5.051565,0.18102133,0.48500565,-0.012282315
Afghanistan,2020-06-01,4106.303,8405.1045,-2988.4226,9.984016,20.43607,-7.2660146,60.809883,225.34137,3.1843264,0.14785242,0.5478923,0.007742333
Afghanistan,2020-06-08,4755.219,9508.823,-2254.388,11.561783,23.119638,-5.481292,92.70229,272.44293,26.965,0.22539523,0.66241443,0.065562375
Afghanistan,2020-06-15,6163.0225,11140.311,-1941.9893,14.984698,27.086416,-4.7217293,201.11472,286.22125,39.204365,0.4889879,0.69591486,0.09532102
Afghanistan,2020-06-22,7648.1987,12879.038,-1398.6167,18.59574,31.313936,-3.4005797,212.1681,289.0823,38.345043,0.51586294,0.7028712,0.09323168
Afghanistan,2020-06-29,8621.611,13960.58,-862.6369,20.962482,33.943584,-2.097405,139.05894,246.0838,38.63139,0.33810624,0.5983252,0.0939279
Afghanistan,2020-07-06,9631.221,14955.355,-183.3469,23.417234,36.36227,-0.44578743,144.22993,236.67126,58.365074,0.35067892,0.57543963,0.14190814
Afghanistan,2020-07-13,10651.798,15680.252,491.30334,25.898653,38.124775,1.1945491,145.79674,238.04434,47.66756,0.35448843,0.57877815,0.11589833
Afghanistan,2020-07-20,11723.007,17570.363,1371.4882,28.503178,42.72037,3.33462,153.02985,247.54164,54.92963,0.3720749,0.60186976,0.13355525
Afghanistan,2020-07-27,12676.242,19417.121,2191.8513,30.820864,47.210556,5.329241,136.1765,237.00926,49.44466,0.33109787,0.57626146,0.120219156
Afghanistan,2020-08-03,13641.475,21116.0,2637.6409,33.167717,51.341187,6.4131284,137.89023,221.643,27.710434,0.33526462,0.53890014,0.06737481
Afghanistan,2020-08-10,14285.747,22205.918,3036.8967,34.73419,53.9912,7.383874,92.03899,176.10933,23.759863,0.22378248,0.4281901,0.057769444
Afghanistan,2020-08-17,15250.352,22970.807,3572.528,37.07952,55.85094,8.686202,137.80069,194.51593,26.616774,0.33504692,0.47294366,0.0647157
Afghanistan,2020-08-24,16209.554,23819.275,3858.5237,39.411713,57.9139,9.381568,137.02888,167.83557,27.252024,0.33317038,0.40807337,0.06626024
Afghanistan,2020-08-31,17023.318,24670.707,4091.3804,41.39029,59.98406,9.947733,116.251945,140.89874,12.349905,0.28265357,0.3425795,0.030027408
Afghanistan,2020-09-07,17535.21,25385.559,4305.9185,42.6349,61.722137,10.469358,73.12749,141.35088,20.17916,0.17780128,0.3436788,0.049063362
Afghanistan,2020-09-14,18016.256,26113.264,4525.5166,43.80451,63.491474,11.003286,68.72089,130.48804,19.719667,0.16708712,0.31726703,0.04794616
Afghanistan,2020-09-21,18555.604,26834.469,4773.9644,45.11587,65.245,11.607359,77.04958,128.31099,22.74605,0.18733743,0.31197378,0.055304468
