entity,iso_code,date,indicator,value
Algeria,DZA,2020-07-17,Daily ICU occupancy,62.0
Algeria,DZA,2020-07-17,Daily ICU occupancy per million,1.381
Algeria,DZA,2020-07-18,Daily ICU occupancy,67.0
Algeria,DZA,2020-07-18,Daily ICU occupancy per million,1.492
Algeria,DZA,2020-07-20,Daily ICU occupancy,64.0
Algeria,DZA,2020-07-20,Daily ICU occupancy per million,1.425
Algeria,DZA,2020-07-21,Daily ICU occupancy,56.0
Algeria,DZA,2020-07-21,Daily ICU occupancy per million,1.247
Algeria,DZA,2020-07-22,Daily ICU occupancy,51.0
Algeria,DZA,2020-07-22,Daily ICU occupancy per million,1.136
Algeria,DZA,2020-07-23,Daily ICU occupancy,66.0
Algeria,DZA,2020-07-23,Daily ICU occupancy per million,1.47
Algeria,DZA,2020-07-25,Daily ICU occupancy,63.0
Algeria,DZA,2020-07-25,Daily ICU occupancy per million,1.403
Algeria,DZA,2020-07-26,Daily ICU occupancy,64.0
Algeria,DZA,2020-07-26,Daily ICU occupancy per million,1.425
Algeria,DZA,2020-07-27,Daily ICU occupancy,58.0
Algeria,DZA,2020-07-27,Daily ICU occupancy per million,1.292
Algeria,DZA,2020-07-31,Daily ICU occupancy,65.0
Algeria,DZA,2020-07-31,Daily ICU occupancy per million,1.448
Algeria,DZA,2020-08-01,Daily ICU occupancy,64.0
Algeria,DZA,2020-08-01,Daily ICU occupancy per million,1.425
Algeria,DZA,2020-08-02,Daily ICU occupancy,54.0
Algeria,DZA,2020-08-02,Daily ICU occupancy per million,1.203
Algeria,DZA,2020-08-04,Daily ICU occupancy,54.0
Algeria,DZA,2020-08-04,Daily ICU occupancy per million,1.203
Algeria,DZA,2020-08-05,Daily ICU occupancy,55.0
Algeria,DZA,2020-08-05,Daily ICU occupancy per million,1.225
Algeria,DZA,2020-08-06,Daily ICU occupancy,63.0
Algeria,DZA,2020-08-06,Daily ICU occupancy per million,1.403
Algeria,DZA,2020-08-09,Daily ICU occupancy,57.0
Algeria,DZA,2020-08-09,Daily ICU occupancy per million,1.269
Algeria,DZA,2020-08-10,Daily ICU occupancy,47.0
Algeria,DZA,2020-08-10,Daily ICU occupancy per million,1.047
Algeria,DZA,2020-08-12,Daily ICU occupancy,53.0
Algeria,DZA,2020-08-12,Daily ICU occupancy per million,1.18
Algeria,DZA,2020-08-13,Daily ICU occupancy,44.0
Algeria,DZA,2020-08-13,Daily ICU occupancy per million,0.98
Algeria,DZA,2020-08-14,Daily ICU occupancy,46.0
Algeria,DZA,2020-08-14,Daily ICU occupancy per million,1.024
Algeria,DZA,2020-08-15,Daily ICU occupancy,37.0
Algeria,DZA,2020-08-15,Daily ICU occupancy per million,0.824
Algeria,DZA,2020-08-16,Daily ICU occupancy,40.0
Algeria,DZA,2020-08-16,Daily ICU occupancy per million,0.891
Algeria,DZA,2020-08-17,Daily ICU occupancy,40.0
Algeria,DZA,2020-08-17,Daily ICU occupancy per million,0.891
Algeria,DZA,2020-08-18,Daily ICU occupancy,46.0
Algeria,DZA,2020-08-18,Daily ICU occupancy per million,1.024
Algeria,DZA,2020-08-19,Daily ICU occupancy,44.0
Algeria,DZA,2020-08-19,Daily ICU occupancy per million,0.98
Algeria,DZA,2020-08-20,Daily ICU occupancy,41.0
Algeria,DZA,2020-08-20,Daily ICU occupancy per million,0.913
Algeria,DZA,2020-08-21,Daily ICU occupancy,41.0
Algeria,DZA,2020-08-21,Daily ICU occupancy per million,0.913
Algeria,DZA,2020-08-22,Daily ICU occupancy,49.0
Algeria,DZA,2020-08-22,Daily ICU occupancy per million,1.091
Algeria,DZA,2020-08-23,Daily ICU occupancy,41.0
Algeria,DZA,2020-08-23,Daily ICU occupancy per million,0.913
Algeria,DZA,2020-08-24,Daily ICU occupancy,37.0
Algeria,DZA,2020-08-24,Daily ICU occupancy per million,0.824
Algeria,DZA,2020-08-25,Daily ICU occupancy,31.0
Algeria,DZA,2020-08-25,Daily ICU occupancy per million,0.69
Algeria,DZA,2020-08-26,Daily ICU occupancy,28.0
Algeria,DZA,2020-08-26,Daily ICU occupancy per million,0.624
Algeria,DZA,2020-08-27,Daily ICU occupancy,28.0
Algeria,DZA,2020-08-27,Daily ICU occupancy per million,0.624
Algeria,DZA,2020-08-28,Daily ICU occupancy,31.0
Algeria,DZA,2020-08-28,Daily ICU occupancy per million,0.69
Algeria,DZA,2020-08-29,Daily ICU occupancy,28.0
Algeria,DZA,2020-08-29,Daily ICU occupancy per million,0.624
Algeria,DZA,2020-08-30,Daily ICU occupancy,29.0
Algeria,DZA,2020-08-30,Daily ICU occupancy per million,0.646
Algeria,DZA,2020-08-31,Daily ICU occupancy,29.0
Algeria,DZA,2020-08-31,Daily ICU occupancy per million,0.646
Algeria,DZA,2020-09-01,Daily ICU occupancy,38.0
Algeria,DZA,2020-09-01,Daily ICU occupancy per million,0.846
Algeria,DZA,2020-09-02,Daily ICU occupancy,35.0
Algeria,DZA,2020-09-02,Daily ICU occupancy per million,0.779
Algeria,DZA,2020-09-03,Daily ICU occupancy,44.0
Algeria,DZA,2020-09-03,Daily ICU occupancy per million,0.98
Algeria,DZA,2020-09-04,Daily ICU occupancy,42.0
Algeria,DZA,2020-09-04,Daily ICU occupancy per million,0.935
Algeria,DZA,2020-09-05,Daily ICU occupancy,42.0
Algeria,DZA,2020-09-05,Daily ICU occupancy per million,0.935
Algeria,DZA,2020-09-06,Daily ICU occupancy,44.0
Algeria,DZA,2020-09-06,Daily ICU occupancy per million,0.98
Algeria,DZA,2020-09-07,Daily ICU occupancy,43.0
Algeria,DZA,2020-09-07,Daily ICU occupancy per million,0.958
Algeria,DZA,2020-09-08,Daily ICU occupancy,35.0
Algeria,DZA,2020-09-08,Daily ICU occupancy per million,0.779
Algeria,DZA,2020-09-09,Daily ICU occupancy,40.0
