location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Argentina,2020-12-29,Sputnik V,https://covidstats.com.ar/,20495,20492,2,1
Argentina,2020-12-30,Sputnik V,https://covidstats.com.ar/,40597,40589,7,1
Argentina,2020-12-31,Sputnik V,https://covidstats.com.ar/,43403,43395,7,1
Argentina,2021-01-01,Sputnik V,https://covidstats.com.ar/,43532,43524,7,1
Argentina,2021-01-02,Sputnik V,https://covidstats.com.ar/,46844,46833,10,1
Argentina,2021-01-03,Sputnik V,https://covidstats.com.ar/,47290,47274,11,5
Argentina,2021-01-04,Sputnik V,https://covidstats.com.ar/,57753,57731,15,7
Argentina,2021-01-05,Sputnik V,https://covidstats.com.ar/,68484,68459,18,7
Argentina,2021-01-06,Sputnik V,https://covidstats.com.ar/,78604,78575,18,11
Argentina,2021-01-07,Sputnik V,https://covidstats.com.ar/,96838,96800,21,17
Argentina,2021-01-08,Sputnik V,https://covidstats.com.ar/,124732,124686,28,18
Argentina,2021-01-09,Sputnik V,https://covidstats.com.ar/,134943,134894,30,19
Argentina,2021-01-10,Sputnik V,https://covidstats.com.ar/,136122,136068,30,24
Argentina,2021-01-11,Sputnik V,https://covidstats.com.ar/,155953,155892,35,26
Argentina,2021-01-12,Sputnik V,https://covidstats.com.ar/,175350,175269,45,36
Argentina,2021-01-13,Sputnik V,https://covidstats.com.ar/,192128,192043,47,38
Argentina,2021-01-14,Sputnik V,https://covidstats.com.ar/,208778,208688,48,42
Argentina,2021-01-15,Sputnik V,https://covidstats.com.ar/,226225,226129,54,42
Argentina,2021-01-16,Sputnik V,https://covidstats.com.ar/,232110,232013,55,42
Argentina,2021-01-17,Sputnik V,https://covidstats.com.ar/,233174,233072,58,44
Argentina,2021-01-18,Sputnik V,https://covidstats.com.ar/,243008,242893,63,52
Argentina,2021-01-19,Sputnik V,https://covidstats.com.ar/,256265,250709,5498,58
Argentina,2021-01-20,Sputnik V,https://covidstats.com.ar/,275699,256621,19020,58
Argentina,2021-01-21,Sputnik V,https://covidstats.com.ar/,289820,261421,28341,58
Argentina,2021-01-22,Sputnik V,https://covidstats.com.ar/,299044,266446,32539,59
Argentina,2021-01-23,Sputnik V,https://covidstats.com.ar/,302994,267560,35374,60
Argentina,2021-01-24,Sputnik V,https://covidstats.com.ar/,303298,267652,35586,60
Argentina,2021-01-25,Sputnik V,https://covidstats.com.ar/,317518,274777,42681,60
Argentina,2021-01-26,Sputnik V,https://covidstats.com.ar/,330335,280098,50177,60
Argentina,2021-01-27,Sputnik V,https://covidstats.com.ar/,340450,284191,56199,60
Argentina,2021-01-28,Sputnik V,https://covidstats.com.ar/,356500,285635,70804,61
Argentina,2021-01-29,Sputnik V,https://covidstats.com.ar/,380005,287097,92847,61
Argentina,2021-01-30,Sputnik V,https://covidstats.com.ar/,389321,287299,101960,62
Argentina,2021-01-31,Sputnik V,https://covidstats.com.ar/,389946,287307,102576,63
