date,indicator,value,entity
2020-04-01,Daily hospital occupancy,820,Canada
2020-04-02,Daily hospital occupancy,636,Canada
2020-04-03,Daily hospital occupancy,674,Canada
2020-04-04,Daily hospital occupancy,747,Canada
2020-04-05,Daily hospital occupancy,767,Canada
2020-04-06,Daily hospital occupancy,1428,Canada
2020-04-07,Daily hospital occupancy,1507,Canada
2020-04-08,Daily hospital occupancy,1493,Canada
2020-04-09,Daily hospital occupancy,1698,Canada
2020-04-10,Daily hospital occupancy,1762,Canada
2020-04-11,Daily hospital occupancy,1846,Canada
2020-04-12,Daily hospital occupancy,1891,Canada
2020-04-13,Daily hospital occupancy,1941,Canada
2020-04-14,Daily hospital occupancy,2004,Canada
2020-04-15,Daily hospital occupancy,2112,Canada
2020-04-16,Daily hospital occupancy,2131,Canada
2020-04-17,Daily hospital occupancy,2189,Canada
2020-04-18,Daily hospital occupancy,2213,Canada
2020-04-19,Daily hospital occupancy,2290,Canada
2020-04-20,Daily hospital occupancy,2365,Canada
2020-04-21,Daily hospital occupancy,2467,Canada
2020-04-22,Daily hospital occupancy,2582,Canada
2020-04-23,Daily hospital occupancy,2615,Canada
2020-04-24,Daily hospital occupancy,2660,Canada
2020-04-25,Daily hospital occupancy,2668,Canada
2020-04-26,Daily hospital occupancy,2717,Canada
2020-04-27,Daily hospital occupancy,2817,Canada
2020-04-28,Daily hospital occupancy,2905,Canada
2020-04-29,Daily hospital occupancy,2947,Canada
2020-04-30,Daily hospital occupancy,2922,Canada
2020-05-01,Daily hospital occupancy,2937,Canada
2020-05-02,Daily hospital occupancy,2927,Canada
2020-05-03,Daily hospital occupancy,2981,Canada
2020-05-04,Daily hospital occupancy,3032,Canada
2020-05-05,Daily hospital occupancy,3037,Canada
2020-05-06,Daily hospital occupancy,3013,Canada
2020-05-07,Daily hospital occupancy,3016,Canada
2020-05-08,Daily hospital occupancy,2951,Canada
2020-05-09,Daily hospital occupancy,2967,Canada
2020-05-10,Daily hospital occupancy,2970,Canada
2020-05-11,Daily hospital occupancy,3016,Canada
2020-05-12,Daily hospital occupancy,3005,Canada
2020-05-13,Daily hospital occupancy,2972,Canada
2020-05-14,Daily hospital occupancy,2910,Canada
2020-05-15,Daily hospital occupancy,2873,Canada
2020-05-16,Daily hospital occupancy,2806,Canada
2020-05-17,Daily hospital occupancy,2742,Canada
2020-05-18,Daily hospital occupancy,2819,Canada
2020-05-19,Daily hospital occupancy,2790,Canada
2020-05-20,Daily hospital occupancy,2728,Canada
2020-05-21,Daily hospital occupancy,2648,Canada
2020-05-22,Daily hospital occupancy,2569,Canada
2020-05-23,Daily hospital occupancy,2482,Canada
2020-05-24,Daily hospital occupancy,2428,Canada
2020-05-25,Daily hospital occupancy,2466,Canada
2020-05-26,Daily hospital occupancy,2427,Canada
2020-05-27,Daily hospital occupancy,2385,Canada
2020-05-28,Daily hospital occupancy,2306,Canada
2020-05-29,Daily hospital occupancy,2228,Canada
2020-05-30,Daily hospital occupancy,2156,Canada
2020-05-31,Daily hospital occupancy,2168,Canada
2020-06-01,Daily hospital occupancy,2150,Canada
2020-06-02,Daily hospital occupancy,2107,Canada
2020-06-03,Daily hospital occupancy,2036,Canada
2020-06-04,Daily hospital occupancy,1874,Canada
2020-06-05,Daily hospital occupancy,1793,Canada
2020-06-06,Daily hospital occupancy,1724,Canada
2020-06-07,Daily hospital occupancy,1695,Canada
2020-06-08,Daily hospital occupancy,1674,Canada
2020-06-09,Daily hospital occupancy,1623,Canada
2020-06-10,Daily hospital occupancy,1587,Canada
2020-06-11,Daily hospital occupancy,1528,Canada
2020-06-12,Daily hospital occupancy,1449,Canada
2020-06-13,Daily hospital occupancy,1370,Canada
