date,indicator,value,entity
2023-02-26,Weekly new ICU admissions,5,Singapore
2023-03-05,Weekly new ICU admissions,6,Singapore
2023-03-12,Weekly new ICU admissions,7,Singapore
2023-03-19,Weekly new ICU admissions,7,Singapore
2023-03-26,Weekly new ICU admissions,4,Singapore
2023-04-02,Weekly new ICU admissions,9,Singapore
2023-04-09,Weekly new ICU admissions,6,Singapore
2023-04-16,Weekly new ICU admissions,16,Singapore
2023-04-23,Weekly new ICU admissions,15,Singapore
2023-04-30,Weekly new ICU admissions,11,Singapore
2023-05-07,Weekly new ICU admissions,13,Singapore
2023-05-14,Weekly new ICU admissions,16,Singapore
2023-05-21,Weekly new ICU admissions,10,Singapore
2023-05-28,Weekly new ICU admissions,5,Singapore
2023-06-04,Weekly new ICU admissions,4,Singapore
2023-06-11,Weekly new ICU admissions,11,Singapore
2023-06-18,Weekly new ICU admissions,2,Singapore
2023-06-25,Weekly new ICU admissions,2,Singapore
2023-07-02,Weekly new ICU admissions,0,Singapore
2023-07-09,Weekly new ICU admissions,2,Singapore
2023-07-16,Weekly new ICU admissions,2,Singapore
2023-07-23,Weekly new ICU admissions,3,Singapore
2023-07-30,Weekly new ICU admissions,3,Singapore
2023-08-06,Weekly new ICU admissions,2,Singapore
2023-08-13,Weekly new ICU admissions,3,Singapore
2023-08-20,Weekly new ICU admissions,1,Singapore
2023-08-27,Weekly new ICU admissions,0,Singapore
2023-09-03,Weekly new ICU admissions,2,Singapore
2023-09-10,Weekly new ICU admissions,6,Singapore
2023-09-17,Weekly new ICU admissions,7,Singapore
2023-09-24,Weekly new ICU admissions,3,Singapore
2023-10-01,Weekly new ICU admissions,5,Singapore
2023-10-08,Weekly new ICU admissions,3,Singapore
2023-10-15,Weekly new ICU admissions,1,Singapore
2023-10-22,Weekly new ICU admissions,1,Singapore
2023-10-29,Weekly new ICU admissions,2,Singapore
2023-11-05,Weekly new ICU admissions,6,Singapore
2023-11-12,Weekly new ICU admissions,2,Singapore
2023-11-19,Weekly new ICU admissions,4,Singapore
2023-11-26,Weekly new ICU admissions,9,Singapore
2023-12-03,Weekly new ICU admissions,23,Singapore
2023-12-10,Weekly new ICU admissions,32,Singapore
2023-12-17,Weekly new ICU admissions,23,Singapore
2023-12-24,Weekly new ICU admissions,13,Singapore
2023-12-31,Weekly new ICU admissions,9,Singapore
2024-01-07,Weekly new ICU admissions,5,Singapore
2024-01-14,Weekly new ICU admissions,4,Singapore
2024-01-21,Weekly new ICU admissions,3,Singapore
2024-01-28,Weekly new ICU admissions,2,Singapore
2024-02-04,Weekly new ICU admissions,0,Singapore
2024-02-11,Weekly new ICU admissions,0,Singapore
2024-02-18,Weekly new ICU admissions,0,Singapore
2023-02-26,Weekly new hospital admissions,84,Singapore
2023-03-05,Weekly new hospital admissions,160,Singapore
2023-03-12,Weekly new hospital admissions,218,Singapore
2023-03-19,Weekly new hospital admissions,267,Singapore
2023-03-26,Weekly new hospital admissions,339,Singapore
2023-04-02,Weekly new hospital admissions,424,Singapore
2023-04-09,Weekly new hospital admissions,522,Singapore
2023-04-16,Weekly new hospital admissions,563,Singapore
2023-04-23,Weekly new hospital admissions,568,Singapore
2023-04-30,Weekly new hospital admissions,547,Singapore
2023-05-07,Weekly new hospital admissions,552,Singapore
2023-05-14,Weekly new hospital admissions,379,Singapore
2023-05-21,Weekly new hospital admissions,348,Singapore
2023-05-28,Weekly new hospital admissions,220,Singapore
2023-06-04,Weekly new hospital admissions,222,Singapore
2023-06-11,Weekly new hospital admissions,189,Singapore
2023-06-18,Weekly new hospital admissions,147,Singapore
2023-06-25,Weekly new hospital admissions,155,Singapore
2023-07-02,Weekly new hospital admissions,152,Singapore
2023-07-09,Weekly new hospital admissions,113,Singapore
2023-07-16,Weekly new hospital admissions,100,Singapore
2023-07-23,Weekly new hospital admissions,102,Singapore
2023-07-30,Weekly new hospital admissions,88,Singapore
2023-08-06,Weekly new hospital admissions,84,Singapore
2023-08-13,Weekly new hospital admissions,102,Singapore
2023-08-20,Weekly new hospital admissions,95,Singapore
2023-08-27,Weekly new hospital admissions,126,Singapore
2023-09-03,Weekly new hospital admissions,151,Singapore
2023-09-10,Weekly new hospital admissions,139,Singapore
2023-09-17,Weekly new hospital admissions,159,Singapore
2023-09-24,Weekly new hospital admissions,224,Singapore
2023-10-01,Weekly new hospital admissions,262,Singapore
2023-10-08,Weekly new hospital admissions,249,Singapore
2023-10-15,Weekly new hospital admissions,223,Singapore
2023-10-22,Weekly new hospital admissions,237,Singapore
2023-10-29,Weekly new hospital admissions,232,Singapore
2023-11-05,Weekly new hospital admissions,217,Singapore
2023-11-12,Weekly new hospital admissions,227,Singapore
2023-11-19,Weekly new hospital admissions,269,Singapore
2023-11-26,Weekly new hospital admissions,460,Singapore
2023-12-03,Weekly new hospital admissions,763,Singapore
2023-12-10,Weekly new hospital admissions,965,Singapore
2023-12-17,Weekly new hospital admissions,864,Singapore
2023-12-24,Weekly new hospital admissions,496,Singapore
2023-12-31,Weekly new hospital admissions,294,Singapore
2024-01-07,Weekly new hospital admissions,213,Singapore
2024-01-14,Weekly new hospital admissions,173,Singapore
2024-01-21,Weekly new hospital admissions,83,Singapore
2024-01-28,Weekly new hospital admissions,60,Singapore
2024-02-04,Weekly new hospital admissions,28,Singapore
2024-02-11,Weekly new hospital admissions,24,Singapore
2024-02-18,Weekly new hospital admissions,20,Singapore
