location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Belgium,2021-01-08,0,17,0.0,0.0,0.0
Belgium,2021-01-08,18,24,0.02,0.0,0.0
Belgium,2021-01-08,25,49,0.11,0.0,0.0
Belgium,2021-01-08,50,59,0.16,0.0,0.0
Belgium,2021-01-08,60,69,0.17,0.0,0.0
Belgium,2021-01-08,70,79,0.32,0.0,0.0
Belgium,2021-01-08,80,,2.47,0.0,0.0
Belgium,2021-01-15,0,17,0.0,0.0,0.0
Belgium,2021-01-15,18,24,0.14,0.0,0.0
Belgium,2021-01-15,25,49,0.51,0.0,0.0
Belgium,2021-01-15,50,59,0.72,0.0,0.0
Belgium,2021-01-15,60,69,0.75,0.0,0.0
Belgium,2021-01-15,70,79,1.31,0.0,0.0
Belgium,2021-01-15,80,,11.29,0.0,0.0
Belgium,2021-01-22,0,17,0.0,0.0,0.0
Belgium,2021-01-22,18,24,0.68,0.0,0.0
Belgium,2021-01-22,25,49,1.59,0.0,0.0
Belgium,2021-01-22,50,59,1.98,0.01,0.0
Belgium,2021-01-22,60,69,1.82,0.01,0.0
Belgium,2021-01-22,70,79,2.29,0.01,0.0
Belgium,2021-01-22,80,,16.34,0.08,0.0
Belgium,2021-01-29,0,17,0.0,0.0,0.0
Belgium,2021-01-29,18,24,1.07,0.02,0.0
Belgium,2021-01-29,25,49,2.33,0.1,0.0
Belgium,2021-01-29,50,59,2.8,0.15,0.0
Belgium,2021-01-29,60,69,2.48,0.17,0.0
Belgium,2021-01-29,70,79,2.72,0.3,0.0
Belgium,2021-01-29,80,,17.74,2.32,0.0
Belgium,2021-02-05,0,17,0.0,0.0,0.0
Belgium,2021-02-05,18,24,1.23,0.13,0.0
Belgium,2021-02-05,25,49,2.86,0.49,0.0
Belgium,2021-02-05,50,59,3.39,0.7,0.0
Belgium,2021-02-05,60,69,2.96,0.73,0.0
Belgium,2021-02-05,70,79,2.96,1.26,0.0
Belgium,2021-02-05,80,,18.44,10.73,0.0
Belgium,2021-02-12,0,17,0.0,0.0,0.0
Belgium,2021-02-12,18,24,1.33,0.64,0.0
Belgium,2021-02-12,25,49,3.25,1.45,0.0
Belgium,2021-02-12,50,59,3.89,1.85,0.0
Belgium,2021-02-12,60,69,3.35,1.73,0.0
Belgium,2021-02-12,70,79,3.12,2.22,0.0
Belgium,2021-02-12,80,,18.79,15.63,0.0
Belgium,2021-02-19,0,17,0.0,0.0,0.0
Belgium,2021-02-19,18,24,1.57,1.03,0.0
Belgium,2021-02-19,25,49,3.94,2.22,0.0
Belgium,2021-02-19,50,59,4.66,2.7,0.0
Belgium,2021-02-19,60,69,3.79,2.4,0.0
Belgium,2021-02-19,70,79,3.29,2.64,0.0
Belgium,2021-02-19,80,,18.97,17.03,0.0
Belgium,2021-02-26,0,17,0.0,0.0,0.0
Belgium,2021-02-26,18,24,1.96,1.19,0.0
Belgium,2021-02-26,25,49,5.27,2.64,0.0
Belgium,2021-02-26,50,59,6.17,3.18,0.0
Belgium,2021-02-26,60,69,4.45,2.79,0.0
Belgium,2021-02-26,70,79,3.49,2.87,0.0
Belgium,2021-02-26,80,,19.13,17.78,0.0
Belgium,2021-03-05,0,17,0.0,0.0,0.0
Belgium,2021-03-05,18,24,2.66,1.29,0.0
Belgium,2021-03-05,25,49,7.15,3.05,0.0
Belgium,2021-03-05,50,59,8.25,3.66,0.0
Belgium,2021-03-05,60,69,5.62,3.16,0.0
Belgium,2021-03-05,70,79,4.19,3.01,0.0
Belgium,2021-03-05,80,,20.42,18.13,0.0
Belgium,2021-03-12,0,17,0.0,0.0,0.0
Belgium,2021-03-12,18,24,3.35,1.5,0.0
Belgium,2021-03-12,25,49,8.72,3.67,0.0
Belgium,2021-03-12,50,59,9.85,4.35,0.0
Belgium,2021-03-12,60,69,7.42,3.7,0.0
Belgium,2021-03-12,70,79,5.89,3.2,0.0
Belgium,2021-03-12,80,,22.94,18.34,0.0
Belgium,2021-03-19,0,17,0.01,0.0,0.0
Belgium,2021-03-19,18,24,3.92,1.79,0.0
Belgium,2021-03-19,25,49,9.76,4.4,0.0
Belgium,2021-03-19,50,59,11.13,5.21,0.0
Belgium,2021-03-19,60,69,9.67,4.35,0.0
Belgium,2021-03-19,70,79,10.6,3.39,0.0
Belgium,2021-03-19,80,,37.85,18.52,0.0
Belgium,2021-03-26,0,17,0.01,0.0,0.0
Belgium,2021-03-26,18,24,4.28,2.11,0.0
Belgium,2021-03-26,25,49,10.4,5.1,0.0
Belgium,2021-03-26,50,59,11.99,6.07,0.0
Belgium,2021-03-26,60,69,11.18,5.21,0.0
Belgium,2021-03-26,70,79,17.04,3.91,0.0
Belgium,2021-03-26,80,,57.6,19.67,0.0
Belgium,2021-04-02,0,17,0.01,0.0,0.0
Belgium,2021-04-02,18,24,4.55,2.43,0.0
Belgium,2021-04-02,25,49,10.91,5.63,0.0
Belgium,2021-04-02,50,59,12.66,6.79,0.0
Belgium,2021-04-02,60,69,12.62,6.45,0.0
Belgium,2021-04-02,70,79,23.6,4.83,0.0
Belgium,2021-04-02,80,,83.02,20.88,0.0
Belgium,2021-04-09,0,17,0.01,0.0,0.0
Belgium,2021-04-09,18,24,4.78,2.6,0.0
Belgium,2021-04-09,25,49,11.35,5.96,0.0
Belgium,2021-04-09,50,59,13.35,7.2,0.0
Belgium,2021-04-09,60,69,16.22,7.08,0.0
Belgium,2021-04-09,70,79,44.42,6.03,0.0
Belgium,2021-04-09,80,,99.19,23.69,0.0
Belgium,2021-04-16,0,17,0.01,0.01,0.0
Belgium,2021-04-16,18,24,5.16,2.73,0.0
Belgium,2021-04-16,25,49,11.73,6.21,0.0
Belgium,2021-04-16,50,59,14.63,7.5,0.0
Belgium,2021-04-16,60,69,22.32,7.64,0.0
Belgium,2021-04-16,70,79,70.74,7.75,0.0
Belgium,2021-04-16,80,,102.43,31.98,0.0
Belgium,2021-04-23,0,17,0.01,0.01,0.0
Belgium,2021-04-23,18,24,5.61,2.82,0.0
Belgium,2021-04-23,25,49,12.28,6.37,0.0
Belgium,2021-04-23,50,59,17.52,7.69,0.0
Belgium,2021-04-23,60,69,31.83,7.93,0.0
Belgium,2021-04-23,70,79,89.75,8.63,0.0
Belgium,2021-04-23,80,,104.02,32.83,0.0
Belgium,2021-04-30,0,17,0.01,0.01,0.0
Belgium,2021-04-30,18,24,6.12,2.98,0.0
Belgium,2021-04-30,25,49,13.03,6.65,0.0
Belgium,2021-04-30,50,59,21.55,8.1,0.0
Belgium,2021-04-30,60,69,47.72,8.77,0.0
Belgium,2021-04-30,70,79,94.03,12.1,0.0
Belgium,2021-04-30,80,,105.33,36.76,0.0
Belgium,2021-05-07,0,17,0.01,0.01,0.0
Belgium,2021-05-07,18,24,6.62,3.21,0.0
Belgium,2021-05-07,25,49,14.88,7.12,0.0
Belgium,2021-05-07,50,59,28.66,8.95,0.0
Belgium,2021-05-07,60,69,68.13,10.56,0.0
Belgium,2021-05-07,70,79,95.9,18.51,0.0
Belgium,2021-05-07,80,,106.84,58.3,0.0
Belgium,2021-05-14,0,17,0.02,0.01,0.0
Belgium,2021-05-14,18,24,7.15,3.47,0.0
Belgium,2021-05-14,25,49,17.37,7.66,0.0
Belgium,2021-05-14,50,59,36.09,9.88,0.0
Belgium,2021-05-14,60,69,74.55,12.67,0.0
Belgium,2021-05-14,70,79,96.97,32.85,0.0
Belgium,2021-05-14,80,,107.66,71.66,0.0
Belgium,2021-05-21,0,17,0.02,0.01,0.0
Belgium,2021-05-21,18,24,7.63,4.21,0.0
Belgium,2021-05-21,25,49,20.49,9.12,0.0
Belgium,2021-05-21,50,59,52.66,12.44,0.0
Belgium,2021-05-21,60,69,79.12,18.02,0.0
Belgium,2021-05-21,70,79,97.69,45.91,0.0
Belgium,2021-05-21,80,,108.46,74.42,0.0
Belgium,2021-05-28,0,17,0.03,0.01,0.0
Belgium,2021-05-28,18,24,8.3,5.04,0.0
Belgium,2021-05-28,25,49,24.08,11.05,0.0
Belgium,2021-05-28,50,59,57.21,17.04,0.0
Belgium,2021-05-28,60,69,81.46,25.09,0.0
Belgium,2021-05-28,70,79,98.06,61.44,0.0
Belgium,2021-05-28,80,,108.89,76.34,0.0
Belgium,2021-06-04,0,17,0.03,0.02,0.0
Belgium,2021-06-04,18,24,9.78,5.83,0.0
Belgium,2021-06-04,25,49,29.88,13.21,0.0
Belgium,2021-06-04,50,59,66.67,22.1,0.0
Belgium,2021-06-04,60,69,89.65,39.23,0.0
Belgium,2021-06-04,70,79,98.54,65.93,0.0
Belgium,2021-06-04,80,,109.43,79.18,0.0
Belgium,2021-06-11,0,17,0.04,0.02,0.0
Belgium,2021-06-11,18,24,11.92,6.62,0.0
Belgium,2021-06-11,25,49,36.89,15.79,0.0
Belgium,2021-06-11,50,59,80.76,29.87,0.0
Belgium,2021-06-11,60,69,91.9,55.86,0.0
Belgium,2021-06-11,70,79,98.91,70.29,0.0
Belgium,2021-06-11,80,,109.83,91.4,0.0
Belgium,2021-06-18,0,17,0.06,0.02,0.0
Belgium,2021-06-18,18,24,17.19,7.43,0.0
Belgium,2021-06-18,25,49,52.06,19.36,0.0
Belgium,2021-06-18,50,59,84.9,35.99,0.0
Belgium,2021-06-18,60,69,92.58,61.67,0.0
Belgium,2021-06-18,70,79,99.23,73.53,0.0
Belgium,2021-06-18,80,,110.15,99.63,0.0
Belgium,2021-06-25,0,17,0.29,0.03,0.0
Belgium,2021-06-25,18,24,30.43,10.11,0.0
Belgium,2021-06-25,25,49,64.31,22.51,0.0
Belgium,2021-06-25,50,59,85.87,42.21,0.0
Belgium,2021-06-25,60,69,93.0,64.36,0.0
Belgium,2021-06-25,70,79,99.45,75.97,0.0
Belgium,2021-06-25,80,,110.4,104.11,0.0
Belgium,2021-07-02,0,17,0.61,0.03,0.0
Belgium,2021-07-02,18,24,42.61,12.13,0.0
Belgium,2021-07-02,25,49,72.06,25.89,0.0
Belgium,2021-07-02,50,59,86.45,46.39,0.0
Belgium,2021-07-02,60,69,93.3,68.13,0.0
Belgium,2021-07-02,70,79,99.64,80.65,0.0
Belgium,2021-07-02,80,,110.58,106.3,0.0
Belgium,2021-07-09,0,17,1.0,0.04,0.0
Belgium,2021-07-09,18,24,52.65,14.43,0.0
Belgium,2021-07-09,25,49,73.88,32.28,0.0
Belgium,2021-07-09,50,59,86.87,56.04,0.0
Belgium,2021-07-09,60,69,93.56,78.96,0.0
Belgium,2021-07-09,70,79,99.88,94.11,0.0
Belgium,2021-07-09,80,,110.79,107.62,0.0
Belgium,2021-07-16,0,17,2.36,0.08,0.0
Belgium,2021-07-16,18,24,61.27,17.76,0.0
Belgium,2021-07-16,25,49,75.06,39.38,0.0
Belgium,2021-07-16,50,59,87.37,71.2,0.0
Belgium,2021-07-16,60,69,93.91,84.46,0.0
Belgium,2021-07-16,70,79,100.2,97.3,0.0
Belgium,2021-07-16,80,,111.08,108.26,0.0
Belgium,2021-07-23,0,17,4.42,0.17,0.0
Belgium,2021-07-23,18,24,65.95,24.17,0.0
Belgium,2021-07-23,25,49,75.8,52.27,0.0
Belgium,2021-07-23,50,59,87.77,76.56,0.0
Belgium,2021-07-23,60,69,94.19,88.06,0.0
Belgium,2021-07-23,70,79,100.41,98.36,0.0
Belgium,2021-07-23,80,,111.28,108.76,0.0
Belgium,2021-07-30,0,17,8.17,0.49,0.0
Belgium,2021-07-30,18,24,67.92,35.57,0.0
Belgium,2021-07-30,25,49,76.46,63.61,0.0
Belgium,2021-07-30,50,59,88.14,79.73,0.0
Belgium,2021-07-30,60,69,94.44,91.46,0.0
Belgium,2021-07-30,70,79,100.58,99.05,0.0
Belgium,2021-07-30,80,,111.44,109.21,0.0
Belgium,2021-08-06,0,17,12.37,1.41,0.0
Belgium,2021-08-06,18,24,69.54,46.33,0.0
