location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Croatia,2021-01-01,18,24,0.01,0.0,0.0
Croatia,2021-01-01,25,49,0.03,0.0,0.0
Croatia,2021-01-01,50,59,0.05,0.0,0.0
Croatia,2021-01-01,60,69,0.03,0.0,0.0
Croatia,2021-01-01,70,79,0.09,0.0,0.0
Croatia,2021-01-01,80,,0.44,0.0,0.0
Croatia,2021-01-08,15,17,0.01,0.0,0.0
Croatia,2021-01-08,18,24,0.2,0.0,0.0
Croatia,2021-01-08,25,49,0.81,0.0,0.0
Croatia,2021-01-08,50,59,1.14,0.0,0.0
Croatia,2021-01-08,60,69,0.75,0.0,0.0
Croatia,2021-01-08,70,79,0.98,0.0,0.0
Croatia,2021-01-08,80,,3.57,0.0,0.0
Croatia,2021-01-15,15,17,0.01,0.0,0.0
Croatia,2021-01-15,18,24,0.33,0.0,0.0
Croatia,2021-01-15,25,49,1.32,0.01,0.0
Croatia,2021-01-15,5,9,0.0,0.0,0.0
Croatia,2021-01-15,50,59,1.96,0.01,0.0
Croatia,2021-01-15,60,69,1.28,0.01,0.0
Croatia,2021-01-15,70,79,1.53,0.02,0.0
Croatia,2021-01-15,80,,4.69,0.1,0.0
Croatia,2021-01-22,10,14,0.0,0.0,0.0
Croatia,2021-01-22,15,17,0.02,0.0,0.0
Croatia,2021-01-22,18,24,0.42,0.05,0.0
Croatia,2021-01-22,25,49,1.67,0.24,0.0
Croatia,2021-01-22,5,9,0.0,0.0,0.0
Croatia,2021-01-22,50,59,2.49,0.35,0.0
Croatia,2021-01-22,60,69,1.7,0.23,0.0
Croatia,2021-01-22,70,79,1.97,0.43,0.0
Croatia,2021-01-22,80,,5.53,1.91,0.0
Croatia,2021-01-29,10,14,0.0,0.0,0.0
Croatia,2021-01-29,15,17,0.02,0.0,0.0
Croatia,2021-01-29,18,24,0.44,0.15,0.0
Croatia,2021-01-29,25,49,1.72,0.67,0.0
Croatia,2021-01-29,5,9,0.0,0.0,0.0
Croatia,2021-01-29,50,59,2.55,0.96,0.0
Croatia,2021-01-29,60,69,1.76,0.63,0.0
Croatia,2021-01-29,70,79,2.04,0.82,0.0
Croatia,2021-01-29,80,,5.66,3.11,0.0
Croatia,2021-02-05,10,14,0.0,0.0,0.0
Croatia,2021-02-05,15,17,0.02,0.01,0.0
Croatia,2021-02-05,18,24,0.46,0.27,0.0
Croatia,2021-02-05,25,49,1.78,1.11,0.0
Croatia,2021-02-05,5,9,0.0,0.0,0.0
Croatia,2021-02-05,50,59,2.65,1.63,0.0
Croatia,2021-02-05,60,69,1.86,1.07,0.0
Croatia,2021-02-05,70,79,2.16,1.23,0.0
Croatia,2021-02-05,80,,5.82,4.06,0.0
Croatia,2021-02-12,10,14,0.0,0.0,0.0
Croatia,2021-02-12,15,17,0.03,0.02,0.0
Croatia,2021-02-12,18,24,0.53,0.38,0.0
Croatia,2021-02-12,25,49,2.01,1.55,0.0
Croatia,2021-02-12,5,9,0.0,0.0,0.0
Croatia,2021-02-12,50,59,3.06,2.3,0.0
Croatia,2021-02-12,60,69,2.43,1.55,0.0
Croatia,2021-02-12,70,79,3.06,1.72,0.0
Croatia,2021-02-12,80,,6.95,4.99,0.0
Croatia,2021-02-19,10,14,0.0,0.0,0.0
Croatia,2021-02-19,15,17,0.03,0.02,0.0
Croatia,2021-02-19,18,24,0.68,0.41,0.0
Croatia,2021-02-19,25,49,2.44,1.68,0.0
Croatia,2021-02-19,5,9,0.0,0.0,0.0
Croatia,2021-02-19,50,59,3.86,2.5,0.0
Croatia,2021-02-19,60,69,3.59,1.72,0.0
Croatia,2021-02-19,70,79,5.4,1.95,0.0
Croatia,2021-02-19,80,,12.27,5.37,0.0
Croatia,2021-02-26,10,14,0.0,0.0,0.0
Croatia,2021-02-26,15,17,0.05,0.02,0.0
Croatia,2021-02-26,18,24,0.8,0.43,0.0
Croatia,2021-02-26,25,49,2.81,1.73,0.0
Croatia,2021-02-26,5,9,0.0,0.0,0.0
Croatia,2021-02-26,50,59,4.62,2.57,0.0
Croatia,2021-02-26,60,69,5.37,1.8,0.0
Croatia,2021-02-26,70,79,10.42,2.06,0.0
Croatia,2021-02-26,80,,23.19,5.53,0.0
Croatia,2021-03-05,10,14,0.0,0.0,0.0
