location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Cyprus,2021-01-01,18,24,0.01,0.0,0.0
Cyprus,2021-01-01,25,49,0.02,0.0,0.0
Cyprus,2021-01-01,50,59,0.02,0.0,0.0
Cyprus,2021-01-01,60,69,0.04,0.0,0.0
Cyprus,2021-01-01,70,79,0.04,0.0,0.0
Cyprus,2021-01-01,80,,0.61,0.0,0.0
Cyprus,2021-01-08,18,24,0.09,0.0,0.0
Cyprus,2021-01-08,25,49,0.58,0.0,0.0
Cyprus,2021-01-08,50,59,0.84,0.0,0.0
Cyprus,2021-01-08,60,69,0.75,0.0,0.0
Cyprus,2021-01-08,70,79,0.7,0.0,0.0
Cyprus,2021-01-08,80,,5.42,0.0,0.0
Cyprus,2021-01-15,18,24,0.11,0.0,0.0
Cyprus,2021-01-15,25,49,0.78,0.02,0.0
Cyprus,2021-01-15,50,59,1.15,0.01,0.0
Cyprus,2021-01-15,60,69,1.05,0.03,0.0
Cyprus,2021-01-15,70,79,0.89,0.04,0.0
Cyprus,2021-01-15,80,,13.77,0.55,0.0
Cyprus,2021-01-22,18,24,0.15,0.03,0.0
Cyprus,2021-01-22,25,49,0.88,0.23,0.0
Cyprus,2021-01-22,50,59,1.32,0.34,0.0
Cyprus,2021-01-22,60,69,1.21,0.38,0.0
Cyprus,2021-01-22,70,79,1.09,0.41,0.0
Cyprus,2021-01-22,80,,25.16,2.44,0.0
Cyprus,2021-01-29,18,24,0.16,0.07,0.0
Cyprus,2021-01-29,25,49,0.92,0.53,0.0
Cyprus,2021-01-29,50,59,1.4,0.76,0.0
Cyprus,2021-01-29,60,69,1.28,0.7,0.0
Cyprus,2021-01-29,70,79,1.23,0.63,0.0
Cyprus,2021-01-29,80,,36.45,4.88,0.0
Cyprus,2021-02-05,18,24,0.18,0.09,0.0
Cyprus,2021-02-05,25,49,0.99,0.72,0.0
Cyprus,2021-02-05,50,59,1.51,1.06,0.0
Cyprus,2021-02-05,60,69,1.39,1.0,0.0
Cyprus,2021-02-05,70,79,1.49,0.81,0.0
Cyprus,2021-02-05,80,,44.26,13.09,0.0
Cyprus,2021-02-12,18,24,0.21,0.12,0.0
Cyprus,2021-02-12,25,49,1.14,0.81,0.0
Cyprus,2021-02-12,50,59,1.79,1.22,0.0
Cyprus,2021-02-12,60,69,1.69,1.15,0.0
Cyprus,2021-02-12,70,79,2.55,1.0,0.0
Cyprus,2021-02-12,80,,57.66,23.81,0.0
Cyprus,2021-02-19,18,24,0.4,0.14,0.0
Cyprus,2021-02-19,25,49,1.37,0.86,0.0
Cyprus,2021-02-19,50,59,2.09,1.3,0.0
Cyprus,2021-02-19,60,69,2.04,1.23,0.0
Cyprus,2021-02-19,70,79,9.47,1.14,0.0
Cyprus,2021-02-19,80,,67.07,34.96,0.0
Cyprus,2021-02-26,18,24,0.5,0.16,0.0
Cyprus,2021-02-26,25,49,1.5,0.93,0.0
Cyprus,2021-02-26,50,59,2.26,1.43,0.0
Cyprus,2021-02-26,60,69,2.24,1.35,0.0
Cyprus,2021-02-26,70,79,29.98,1.41,0.0
Cyprus,2021-02-26,80,,70.61,43.23,0.0
Cyprus,2021-03-05,18,24,0.56,0.18,0.0
Cyprus,2021-03-05,25,49,1.68,1.01,0.0
Cyprus,2021-03-05,50,59,2.49,1.57,0.0
Cyprus,2021-03-05,60,69,3.18,1.52,0.0
Cyprus,2021-03-05,70,79,47.52,2.42,0.0
Cyprus,2021-03-05,80,,73.07,56.43,0.0
Cyprus,2021-03-12,18,24,0.68,0.18,0.0
Cyprus,2021-03-12,25,49,1.84,1.03,0.0
Cyprus,2021-03-12,50,59,2.71,1.63,0.0
Cyprus,2021-03-12,60,69,9.09,1.58,0.0
Cyprus,2021-03-12,70,79,66.06,4.11,0.0
Cyprus,2021-03-12,80,,76.32,64.08,0.0
Cyprus,2021-03-19,18,24,0.69,0.19,0.0
Cyprus,2021-03-19,25,49,1.87,1.03,0.0
Cyprus,2021-03-19,50,59,2.78,1.64,0.0
Cyprus,2021-03-19,60,69,10.96,1.59,0.0
Cyprus,2021-03-19,70,79,67.97,9.79,0.0
Cyprus,2021-03-19,80,,76.84,65.16,0.0
Cyprus,2021-03-26,15,17,0.01,0.0,0.0
Cyprus,2021-03-26,18,24,0.71,0.19,0.0
Cyprus,2021-03-26,25,49,1.97,1.04,0.0
Cyprus,2021-03-26,50,59,2.93,1.66,0.0
Cyprus,2021-03-26,60,69,18.62,1.67,0.0
Cyprus,2021-03-26,70,79,73.27,15.01,0.0
Cyprus,2021-03-26,80,,78.64,65.68,0.0
Cyprus,2021-04-02,15,17,0.04,0.0,0.0
Cyprus,2021-04-02,18,24,0.86,0.19,0.0
Cyprus,2021-04-02,25,49,2.44,1.06,0.0
Cyprus,2021-04-02,50,59,4.31,1.68,0.0
