location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Denmark,2021-01-01,18,24,0.02,0.0,0.0
Denmark,2021-01-01,25,49,0.11,0.0,0.0
Denmark,2021-01-01,50,59,0.13,0.0,0.0
Denmark,2021-01-01,60,69,0.14,0.0,0.0
Denmark,2021-01-01,70,79,0.06,0.0,0.0
Denmark,2021-01-01,80,,0.23,0.0,0.0
Denmark,2021-01-08,15,17,0.0,0.0,0.0
Denmark,2021-01-08,18,24,0.3,0.0,0.0
Denmark,2021-01-08,25,49,1.71,0.0,0.0
Denmark,2021-01-08,50,59,2.51,0.0,0.0
Denmark,2021-01-08,60,69,2.88,0.0,0.0
Denmark,2021-01-08,70,79,1.16,0.0,0.0
Denmark,2021-01-08,80,,4.2,0.0,0.0
Denmark,2021-01-15,18,24,0.41,0.0,0.0
Denmark,2021-01-15,25,49,2.41,0.01,0.0
Denmark,2021-01-15,50,59,3.39,0.02,0.0
Denmark,2021-01-15,60,69,3.99,0.01,0.0
Denmark,2021-01-15,70,79,2.25,0.01,0.0
Denmark,2021-01-15,80,,7.54,0.02,0.0
Denmark,2021-01-22,15,17,0.0,0.0,0.0
Denmark,2021-01-22,18,24,0.46,0.06,0.0
Denmark,2021-01-22,25,49,2.55,0.36,0.0
Denmark,2021-01-22,50,59,3.57,0.54,0.0
Denmark,2021-01-22,60,69,4.21,0.64,0.0
Denmark,2021-01-22,70,79,2.5,0.32,0.0
Denmark,2021-01-22,80,,8.26,1.26,0.0
Denmark,2021-01-29,15,17,0.0,0.0,0.0
Denmark,2021-01-29,18,24,0.49,0.22,0.0
Denmark,2021-01-29,25,49,2.61,1.21,0.0
Denmark,2021-01-29,50,59,3.68,1.87,0.0
Denmark,2021-01-29,60,69,4.33,2.19,0.0
Denmark,2021-01-29,70,79,2.57,0.95,0.0
Denmark,2021-01-29,80,,8.38,3.54,0.0
Denmark,2021-02-05,18,24,0.52,0.34,0.0
Denmark,2021-02-05,25,49,2.69,1.9,0.0
Denmark,2021-02-05,50,59,3.78,2.82,0.0
Denmark,2021-02-05,60,69,4.45,3.37,0.0
Denmark,2021-02-05,70,79,2.74,1.87,0.0
Denmark,2021-02-05,80,,9.64,6.46,0.0
Denmark,2021-02-12,15,17,0.0,0.0,0.0
Denmark,2021-02-12,18,24,0.69,0.42,0.0
Denmark,2021-02-12,25,49,3.21,2.35,0.0
Denmark,2021-02-12,50,59,4.43,3.36,0.0
Denmark,2021-02-12,60,69,5.09,3.98,0.0
Denmark,2021-02-12,70,79,2.92,2.29,0.0
Denmark,2021-02-12,80,,14.4,7.84,0.0
Denmark,2021-02-19,18,24,0.93,0.45,0.0
Denmark,2021-02-19,25,49,3.95,2.47,0.0
Denmark,2021-02-19,50,59,5.45,3.51,0.0
Denmark,2021-02-19,60,69,6.18,4.16,0.0
Denmark,2021-02-19,70,79,3.66,2.46,0.0
Denmark,2021-02-19,80,,27.42,8.06,0.0
Denmark,2021-02-26,15,17,0.01,0.0,0.0
Denmark,2021-02-26,18,24,1.42,0.49,0.0
Denmark,2021-02-26,25,49,5.46,2.59,0.0
Denmark,2021-02-26,50,59,7.72,3.67,0.0
Denmark,2021-02-26,60,69,8.9,4.34,0.0
Denmark,2021-02-26,70,79,6.08,2.65,0.0
Denmark,2021-02-26,80,,34.21,8.63,0.0
Denmark,2021-03-05,15,17,0.01,0.0,0.0
Denmark,2021-03-05,18,24,1.99,0.52,0.0
Denmark,2021-03-05,25,49,7.15,2.69,0.0
Denmark,2021-03-05,5,9,0.0,0.0,0.0
Denmark,2021-03-05,50,59,10.0,3.8,0.0
Denmark,2021-03-05,60,69,11.72,4.49,0.0
Denmark,2021-03-05,70,79,9.16,2.82,0.0
Denmark,2021-03-05,80,,38.63,12.29,0.0
Denmark,2021-03-12,15,17,0.01,0.0,0.0
Denmark,2021-03-12,18,24,2.26,0.57,0.0
Denmark,2021-03-12,25,49,7.85,2.82,0.0
Denmark,2021-03-12,50,59,10.93,4.04,0.0
Denmark,2021-03-12,60,69,12.85,4.89,0.0
Denmark,2021-03-12,70,79,10.3,3.46,0.0
Denmark,2021-03-12,80,,40.81,23.85,0.0
Denmark,2021-03-19,15,17,0.02,0.0,0.0
Denmark,2021-03-19,18,24,2.41,0.67,0.0
Denmark,2021-03-19,25,49,8.18,3.08,0.0
Denmark,2021-03-19,50,59,11.47,4.53,0.0
Denmark,2021-03-19,60,69,13.63,5.85,0.0
Denmark,2021-03-19,70,79,11.46,5.04,0.0
Denmark,2021-03-19,80,,48.7,32.13,0.0
Denmark,2021-03-26,15,17,0.02,0.0,0.0
Denmark,2021-03-26,18,24,2.5,0.79,0.0
Denmark,2021-03-26,25,49,8.41,3.4,0.0
Denmark,2021-03-26,5,9,0.0,0.0,0.0
Denmark,2021-03-26,50,59,11.84,5.16,0.0
Denmark,2021-03-26,60,69,14.2,7.18,0.0
Denmark,2021-03-26,70,79,12.28,7.62,0.0
Denmark,2021-03-26,80,,60.4,35.5,0.0
Denmark,2021-04-02,10,14,0.0,0.0,0.0
Denmark,2021-04-02,15,17,0.02,0.01,0.0
Denmark,2021-04-02,18,24,2.61,0.9,0.0
Denmark,2021-04-02,25,49,8.66,3.63,0.0
Denmark,2021-04-02,5,9,0.0,0.0,0.0
Denmark,2021-04-02,50,59,12.34,5.61,0.0
Denmark,2021-04-02,60,69,15.0,8.18,0.0
Denmark,2021-04-02,70,79,15.54,9.48,0.0
Denmark,2021-04-02,80,,76.47,38.7,0.0
Denmark,2021-04-09,15,17,0.02,0.01,0.0
Denmark,2021-04-09,18,24,2.7,1.06,0.0
Denmark,2021-04-09,25,49,8.86,4.0,0.0
Denmark,2021-04-09,50,59,12.66,6.18,0.0
Denmark,2021-04-09,60,69,15.45,9.04,0.0
Denmark,2021-04-09,70,79,24.61,10.71,0.0
Denmark,2021-04-09,80,,90.15,42.98,0.0
Denmark,2021-04-16,15,17,0.02,0.01,0.0
Denmark,2021-04-16,18,24,2.78,1.17,0.0
Denmark,2021-04-16,25,49,9.03,4.27,0.0
Denmark,2021-04-16,50,59,12.95,6.65,0.0
Denmark,2021-04-16,60,69,15.97,9.76,0.0
Denmark,2021-04-16,70,79,49.76,11.78,0.0
Denmark,2021-04-16,80,,99.74,52.96,0.0
Denmark,2021-04-23,10,14,0.0,0.0,0.0
Denmark,2021-04-23,15,17,0.02,0.01,0.0
Denmark,2021-04-23,18,24,2.87,1.27,0.0
Denmark,2021-04-23,25,49,9.21,4.5,0.0
Denmark,2021-04-23,50,59,13.21,7.1,0.0
Denmark,2021-04-23,60,69,17.66,10.54,0.0
Denmark,2021-04-23,70,79,70.96,13.89,0.0
Denmark,2021-04-23,80,,101.66,67.64,0.0
Denmark,2021-04-30,15,17,0.02,0.01,0.0
Denmark,2021-04-30,18,24,2.94,1.4,0.0
Denmark,2021-04-30,25,49,9.38,4.86,0.0
Denmark,2021-04-30,5,9,0.0,0.0,0.0
Denmark,2021-04-30,50,59,13.51,7.65,0.0
Denmark,2021-04-30,60,69,25.0,11.21,0.0
Denmark,2021-04-30,70,79,85.25,19.35,0.0
Denmark,2021-04-30,80,,102.96,80.91,0.01
Denmark,2021-05-07,15,17,0.02,0.01,0.0
Denmark,2021-05-07,18,24,3.04,1.62,0.0
Denmark,2021-05-07,25,49,9.59,5.51,0.0
Denmark,2021-05-07,50,59,13.88,8.61,0.0
Denmark,2021-05-07,60,69,38.95,12.22,0.0
Denmark,2021-05-07,70,79,90.89,40.76,0.0
Denmark,2021-05-07,80,,103.6,94.29,0.01
Denmark,2021-05-14,10,14,0.0,0.0,0.0
Denmark,2021-05-14,15,17,0.04,0.01,0.0
Denmark,2021-05-14,18,24,3.12,1.88,0.0
Denmark,2021-05-14,25,49,9.78,6.31,0.0
Denmark,2021-05-14,50,59,15.47,9.72,0.0
Denmark,2021-05-14,60,69,56.78,13.48,0.0
Denmark,2021-05-14,70,79,93.92,61.31,0.0
Denmark,2021-05-14,80,,104.09,99.65,0.01
Denmark,2021-05-21,10,14,0.0,0.0,0.0
Denmark,2021-05-21,15,17,0.05,0.02,0.0
Denmark,2021-05-21,18,24,3.26,2.32,0.0
Denmark,2021-05-21,25,49,10.01,7.57,0.0
Denmark,2021-05-21,50,59,25.21,11.43,0.0
Denmark,2021-05-21,60,69,73.72,15.35,0.01
Denmark,2021-05-21,70,79,95.26,75.47,0.0
Denmark,2021-05-21,80,,104.45,101.7,0.01
Denmark,2021-05-28,10,14,0.0,0.0,0.0
Denmark,2021-05-28,15,17,0.06,0.02,0.0
Denmark,2021-05-28,18,24,4.18,2.64,0.0
Denmark,2021-05-28,25,49,10.34,8.48,0.0
Denmark,2021-05-28,50,59,44.45,12.56,0.0
Denmark,2021-05-28,60,69,86.69,17.1,0.01
Denmark,2021-05-28,70,79,95.91,80.07,0.0
Denmark,2021-05-28,80,,104.74,102.3,0.01
Denmark,2021-06-04,0,4,0.0,0.0,0.0
Denmark,2021-06-04,10,14,0.01,0.0,0.0
Denmark,2021-06-04,15,17,0.07,0.03,0.0
Denmark,2021-06-04,18,24,9.95,2.91,0.0
Denmark,2021-06-04,25,49,12.25,9.48,0.0
Denmark,2021-06-04,50,59,63.36,13.27,0.0
Denmark,2021-06-04,60,69,92.45,24.34,0.01
Denmark,2021-06-04,70,79,96.3,86.67,0.0
Denmark,2021-06-04,80,,104.94,103.05,0.01
Denmark,2021-06-11,10,14,0.01,0.0,0.0
Denmark,2021-06-11,15,17,0.07,0.04,0.0
Denmark,2021-06-11,18,24,25.53,3.17,0.0
Denmark,2021-06-11,25,49,18.38,10.69,0.0
