location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Finland,2021-01-01,25,49,0.0,0.0,0.0
Finland,2021-01-01,50,59,0.0,0.0,0.0
Finland,2021-01-01,60,69,0.0,0.0,0.0
Finland,2021-01-01,80,,0.0,0.0,0.0
Finland,2021-01-08,15,17,0.0,0.0,0.0
Finland,2021-01-08,18,24,0.17,0.0,0.0
Finland,2021-01-08,25,49,0.72,0.0,0.0
Finland,2021-01-08,50,59,0.69,0.0,0.0
Finland,2021-01-08,60,69,0.29,0.0,0.0
Finland,2021-01-08,70,79,0.07,0.0,0.0
Finland,2021-01-08,80,,0.34,0.0,0.0
Finland,2021-01-15,15,17,0.02,0.0,0.0
Finland,2021-01-15,18,24,0.49,0.0,0.0
Finland,2021-01-15,25,49,1.66,0.0,0.0
Finland,2021-01-15,50,59,1.87,0.0,0.0
Finland,2021-01-15,60,69,0.92,0.0,0.0
Finland,2021-01-15,70,79,0.48,0.0,0.0
Finland,2021-01-15,80,,2.7,0.0,0.0
Finland,2021-01-22,15,17,0.06,0.0,0.0
Finland,2021-01-22,18,24,0.93,0.03,0.0
Finland,2021-01-22,25,49,2.5,0.18,0.0
Finland,2021-01-22,50,59,3.1,0.17,0.0
Finland,2021-01-22,60,69,1.7,0.06,0.0
Finland,2021-01-22,70,79,1.34,0.0,0.0
Finland,2021-01-22,80,,7.95,0.0,0.0
Finland,2021-01-29,15,17,0.09,0.0,0.0
Finland,2021-01-29,18,24,1.23,0.16,0.0
Finland,2021-01-29,25,49,2.98,0.67,0.0
Finland,2021-01-29,50,59,3.82,0.65,0.0
Finland,2021-01-29,60,69,2.2,0.28,0.0
Finland,2021-01-29,70,79,2.06,0.05,0.0
Finland,2021-01-29,80,,13.63,0.26,0.0
Finland,2021-02-05,15,17,0.1,0.01,0.0
Finland,2021-02-05,18,24,1.37,0.42,0.0
Finland,2021-02-05,25,49,3.19,1.51,0.0
Finland,2021-02-05,50,59,4.13,1.66,0.0
Finland,2021-02-05,60,69,2.43,0.81,0.0
Finland,2021-02-05,70,79,2.38,0.34,0.0
Finland,2021-02-05,80,,17.38,1.85,0.0
Finland,2021-02-12,15,17,0.11,0.03,0.0
Finland,2021-02-12,18,24,1.49,0.56,0.0
Finland,2021-02-12,25,49,3.4,1.85,0.0
Finland,2021-02-12,50,59,4.46,2.13,0.0
Finland,2021-02-12,60,69,2.96,1.1,0.0
Finland,2021-02-12,70,79,3.12,0.55,0.0
Finland,2021-02-12,80,,24.98,3.03,0.0
Finland,2021-02-19,15,17,0.12,0.03,0.0
Finland,2021-02-19,18,24,1.67,0.6,0.0
Finland,2021-02-19,25,49,3.73,1.94,0.0
Finland,2021-02-19,50,59,5.12,2.28,0.0
Finland,2021-02-19,60,69,4.72,1.19,0.0
Finland,2021-02-19,70,79,4.67,0.65,0.0
Finland,2021-02-19,80,,38.69,3.82,0.0
Finland,2021-02-26,15,17,0.13,0.03,0.0
Finland,2021-02-26,18,24,1.8,0.64,0.0
Finland,2021-02-26,25,49,4.03,2.01,0.0
Finland,2021-02-26,50,59,6.18,2.37,0.0
Finland,2021-02-26,60,69,7.73,1.26,0.0
Finland,2021-02-26,70,79,7.07,0.76,0.0
Finland,2021-02-26,80,,52.61,5.46,0.0
Finland,2021-03-05,15,17,0.15,0.04,0.0
Finland,2021-03-05,18,24,1.96,0.65,0.0
Finland,2021-03-05,25,49,4.36,2.03,0.0
Finland,2021-03-05,50,59,7.77,2.4,0.0
Finland,2021-03-05,60,69,11.28,1.27,0.0
Finland,2021-03-05,70,79,11.61,0.8,0.0
Finland,2021-03-05,80,,65.07,6.2,0.0
Finland,2021-03-12,15,17,0.18,0.04,0.0
Finland,2021-03-12,18,24,2.16,0.65,0.0
Finland,2021-03-12,25,49,4.87,2.04,0.0
Finland,2021-03-12,50,59,9.85,2.41,0.0
Finland,2021-03-12,60,69,14.48,1.29,0.0
Finland,2021-03-12,70,79,19.27,0.81,0.0
Finland,2021-03-12,80,,74.46,6.34,0.0
Finland,2021-03-19,15,17,0.21,0.04,0.0
Finland,2021-03-19,18,24,2.35,0.66,0.0
Finland,2021-03-19,25,49,5.35,2.06,0.0
Finland,2021-03-19,50,59,11.47,2.44,0.0
Finland,2021-03-19,60,69,17.17,1.3,0.0
Finland,2021-03-19,70,79,31.03,0.83,0.0
Finland,2021-03-19,80,,79.56,6.45,0.0
Finland,2021-03-26,15,17,0.23,0.04,0.0
Finland,2021-03-26,18,24,2.39,0.67,0.0
Finland,2021-03-26,25,49,5.44,2.08,0.0
Finland,2021-03-26,50,59,11.75,2.47,0.0
Finland,2021-03-26,60,69,18.12,1.32,0.0
Finland,2021-03-26,70,79,46.14,0.84,0.0
Finland,2021-03-26,80,,82.41,6.49,0.0
Finland,2021-04-02,15,17,0.28,0.04,0.0
Finland,2021-04-02,18,24,2.52,0.68,0.0
Finland,2021-04-02,25,49,5.69,2.1,0.0
Finland,2021-04-02,50,59,12.26,2.5,0.0
Finland,2021-04-02,60,69,20.55,1.34,0.0
Finland,2021-04-02,70,79,63.19,0.87,0.0
Finland,2021-04-02,80,,83.99,6.64,0.0
Finland,2021-04-09,15,17,0.36,0.04,0.0
Finland,2021-04-09,18,24,2.92,0.74,0.0
Finland,2021-04-09,25,49,6.55,2.19,0.0
Finland,2021-04-09,50,59,14.09,2.65,0.0
Finland,2021-04-09,60,69,27.23,1.44,0.0
Finland,2021-04-09,70,79,77.88,1.0,0.0
Finland,2021-04-09,80,,85.0,7.31,0.0
Finland,2021-04-16,15,17,0.55,0.06,0.0
Finland,2021-04-16,18,24,3.86,0.97,0.0
Finland,2021-04-16,25,49,8.45,2.62,0.0
Finland,2021-04-16,50,59,18.05,3.32,0.0
