location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
France,2021-01-01,0,17,0.0,0.0,0.0
France,2021-01-01,18,24,0.0,0.0,0.0
France,2021-01-01,25,49,0.0,0.0,0.0
France,2021-01-01,50,59,0.0,0.0,0.0
France,2021-01-01,60,69,0.0,0.0,0.0
France,2021-01-01,70,79,0.0,0.0,0.0
France,2021-01-01,80,,0.0,0.0,0.0
France,2021-01-08,0,17,0.0,0.0,0.0
France,2021-01-08,18,24,0.03,0.0,0.0
France,2021-01-08,25,49,0.09,0.0,0.0
France,2021-01-08,50,59,0.45,0.0,0.0
France,2021-01-08,60,69,0.29,0.0,0.0
France,2021-01-08,70,79,0.16,0.0,0.0
France,2021-01-08,80,,0.42,0.0,0.0
France,2021-01-15,0,17,0.0,0.0,0.0
France,2021-01-15,18,24,0.08,0.0,0.0
France,2021-01-15,25,49,0.39,0.0,0.0
France,2021-01-15,50,59,1.74,0.0,0.0
France,2021-01-15,60,69,1.04,0.0,0.0
France,2021-01-15,70,79,0.79,0.0,0.0
France,2021-01-15,80,,2.13,0.0,0.0
France,2021-01-22,0,17,0.01,0.0,0.0
France,2021-01-22,18,24,0.15,0.0,0.0
France,2021-01-22,25,49,0.71,0.0,0.0
France,2021-01-22,50,59,2.71,0.0,0.0
France,2021-01-22,60,69,1.75,0.0,0.0
France,2021-01-22,70,79,3.76,0.01,0.0
France,2021-01-22,80,,9.1,0.01,0.0
France,2021-01-29,0,17,0.01,0.0,0.0
France,2021-01-29,18,24,0.2,0.0,0.0
France,2021-01-29,25,49,0.9,0.03,0.0
France,2021-01-29,50,59,3.22,0.22,0.0
France,2021-01-29,60,69,2.23,0.14,0.0
France,2021-01-29,70,79,6.39,0.09,0.0
France,2021-01-29,80,,15.13,0.29,0.0
France,2021-02-05,0,17,0.01,0.0,0.0
France,2021-02-05,18,24,0.24,0.03,0.0
France,2021-02-05,25,49,1.03,0.2,0.0
France,2021-02-05,50,59,3.51,1.04,0.0
France,2021-02-05,60,69,2.56,0.65,0.0
France,2021-02-05,70,79,8.37,0.47,0.0
France,2021-02-05,80,,19.34,1.52,0.0
France,2021-02-12,0,17,0.01,0.0,0.0
France,2021-02-12,18,24,0.35,0.08,0.0
France,2021-02-12,25,49,1.33,0.47,0.0
France,2021-02-12,50,59,3.86,2.01,0.0
France,2021-02-12,60,69,2.92,1.29,0.0
France,2021-02-12,70,79,10.12,1.62,0.0
France,2021-02-12,80,,22.77,5.2,0.0
France,2021-02-19,0,17,0.01,0.0,0.0
France,2021-02-19,18,24,0.51,0.12,0.0
France,2021-02-19,25,49,1.67,0.69,0.0
France,2021-02-19,50,59,4.18,2.71,0.0
France,2021-02-19,60,69,3.25,1.83,0.0
France,2021-02-19,70,79,11.25,4.14,0.0
France,2021-02-19,80,,25.0,10.64,0.0
France,2021-02-26,0,17,0.01,0.0,0.0
France,2021-02-26,18,24,0.69,0.15,0.0
France,2021-02-26,25,49,2.01,0.83,0.0
France,2021-02-26,50,59,5.13,3.1,0.0
France,2021-02-26,60,69,4.22,2.21,0.0
France,2021-02-26,70,79,12.57,6.46,0.0
France,2021-02-26,80,,27.41,15.3,0.0
France,2021-03-05,0,17,0.02,0.0,0.0
France,2021-03-05,18,24,0.94,0.18,0.0
France,2021-03-05,25,49,2.51,0.95,0.0
France,2021-03-05,50,59,7.08,3.37,0.0
France,2021-03-05,60,69,6.87,2.52,0.0
France,2021-03-05,70,79,16.65,8.36,0.0
France,2021-03-05,80,,32.76,18.98,0.0
France,2021-03-12,0,17,0.02,0.0,0.0
France,2021-03-12,18,24,1.25,0.21,0.0
France,2021-03-12,25,49,3.17,1.05,0.0
France,2021-03-12,50,59,9.15,3.59,0.0
France,2021-03-12,60,69,10.56,2.81,0.0
France,2021-03-12,70,79,22.87,10.01,0.0
France,2021-03-12,80,,39.32,22.14,0.0
France,2021-03-19,0,17,0.02,0.0,0.0
France,2021-03-19,18,24,1.42,0.23,0.0
France,2021-03-19,25,49,3.58,1.14,0.0
France,2021-03-19,50,59,10.22,3.75,0.0
France,2021-03-19,60,69,12.93,3.05,0.0
France,2021-03-19,70,79,28.9,11.07,0.0
France,2021-03-19,80,,46.85,24.18,0.0
France,2021-03-26,0,17,0.03,0.0,0.0
France,2021-03-26,18,24,1.7,0.26,0.0
France,2021-03-26,25,49,4.23,1.22,0.0
France,2021-03-26,50,59,12.34,3.9,0.0
France,2021-03-26,60,69,18.08,3.31,0.0
France,2021-03-26,70,79,37.99,12.35,0.0
France,2021-03-26,80,,54.5,26.5,0.0
France,2021-04-02,0,17,0.03,0.0,0.0
France,2021-04-02,18,24,2.15,0.29,0.0
France,2021-04-02,25,49,5.14,1.33,0.0
France,2021-04-02,50,59,14.5,4.15,0.0
France,2021-04-02,60,69,22.66,3.83,0.0
France,2021-04-02,70,79,46.65,15.25,0.0
France,2021-04-02,80,,59.87,31.35,0.0
France,2021-04-09,0,17,0.04,0.01,0.0
