location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Hungary,2021-01-01,18,24,0.0,0.0,0.0
Hungary,2021-01-01,25,49,0.02,0.0,0.0
Hungary,2021-01-01,50,59,0.02,0.0,0.0
Hungary,2021-01-01,60,69,0.01,0.0,0.0
Hungary,2021-01-01,70,79,0.0,0.0,0.0
Hungary,2021-01-01,80,,0.0,0.0,0.0
Hungary,2021-01-08,18,24,0.35,0.0,0.0
Hungary,2021-01-08,25,49,0.94,0.0,0.0
Hungary,2021-01-08,50,59,1.47,0.0,0.0
Hungary,2021-01-08,60,69,0.88,0.0,0.0
Hungary,2021-01-08,70,79,0.53,0.0,0.0
Hungary,2021-01-08,80,,0.63,0.0,0.0
Hungary,2021-01-15,18,24,0.83,0.0,0.0
Hungary,2021-01-15,25,49,1.58,0.01,0.0
Hungary,2021-01-15,50,59,2.44,0.01,0.0
Hungary,2021-01-15,60,69,1.51,0.01,0.0
Hungary,2021-01-15,70,79,0.93,0.0,0.0
Hungary,2021-01-15,80,,1.1,0.0,0.0
Hungary,2021-01-22,18,24,1.17,0.04,0.0
Hungary,2021-01-22,25,49,1.88,0.18,0.0
Hungary,2021-01-22,50,59,2.8,0.23,0.0
Hungary,2021-01-22,60,69,1.76,0.12,0.0
Hungary,2021-01-22,70,79,1.07,0.06,0.0
Hungary,2021-01-22,80,,1.16,0.02,0.0
Hungary,2021-01-29,18,24,1.67,0.31,0.0
Hungary,2021-01-29,25,49,2.67,0.9,0.0
Hungary,2021-01-29,50,59,4.16,1.42,0.0
Hungary,2021-01-29,60,69,2.86,0.86,0.0
Hungary,2021-01-29,70,79,2.25,0.51,0.0
Hungary,2021-01-29,80,,5.05,0.61,0.0
Hungary,2021-02-05,18,24,1.85,0.76,0.0
Hungary,2021-02-05,25,49,2.82,1.52,0.0
Hungary,2021-02-05,50,59,4.34,2.36,0.0
Hungary,2021-02-05,60,69,2.97,1.46,0.0
Hungary,2021-02-05,70,79,2.35,0.85,0.0
Hungary,2021-02-05,80,,12.87,0.79,0.0
Hungary,2021-02-12,18,24,1.9,1.1,0.0
Hungary,2021-02-12,25,49,3.0,1.83,0.0
Hungary,2021-02-12,50,59,5.62,2.76,0.0
Hungary,2021-02-12,60,69,3.12,1.74,0.0
Hungary,2021-02-12,70,79,3.2,1.05,0.0
Hungary,2021-02-12,80,,18.77,1.1,0.0
Hungary,2021-02-19,18,24,2.2,1.57,0.0
Hungary,2021-02-19,25,49,3.37,2.58,0.0
Hungary,2021-02-19,50,59,7.29,4.05,0.0
Hungary,2021-02-19,60,69,4.29,2.79,0.0
Hungary,2021-02-19,70,79,5.43,2.18,0.0
Hungary,2021-02-19,80,,24.62,4.78,0.0
Hungary,2021-02-26,18,24,2.32,1.73,0.0
Hungary,2021-02-26,25,49,3.96,2.72,0.0
Hungary,2021-02-26,50,59,9.7,4.22,0.0
Hungary,2021-02-26,60,69,9.97,2.9,0.0
Hungary,2021-02-26,70,79,16.22,2.27,0.0
Hungary,2021-02-26,80,,34.09,10.09,0.0
Hungary,2021-03-05,18,24,2.46,1.75,0.0
Hungary,2021-03-05,25,49,4.31,2.77,0.0
Hungary,2021-03-05,50,59,11.24,4.29,0.0
Hungary,2021-03-05,60,69,18.26,3.04,0.0
Hungary,2021-03-05,70,79,32.63,3.09,0.0
Hungary,2021-03-05,80,,43.55,18.07,0.0
Hungary,2021-03-12,18,24,3.05,1.99,0.0
Hungary,2021-03-12,25,49,5.92,3.04,0.0
Hungary,2021-03-12,50,59,15.23,5.67,0.0
Hungary,2021-03-12,60,69,26.13,4.15,0.0
Hungary,2021-03-12,70,79,44.23,5.21,0.0
Hungary,2021-03-12,80,,50.51,23.68,0.0
Hungary,2021-03-19,18,24,3.59,2.06,0.0
Hungary,2021-03-19,25,49,6.82,3.31,0.0
Hungary,2021-03-19,50,59,16.56,7.11,0.0
Hungary,2021-03-19,60,69,33.48,4.77,0.0
Hungary,2021-03-19,70,79,53.74,7.48,0.0
Hungary,2021-03-19,80,,55.67,28.88,0.0
Hungary,2021-03-26,18,24,4.08,2.16,0.0
Hungary,2021-03-26,25,49,7.94,3.79,0.0
Hungary,2021-03-26,50,59,18.78,9.26,0.0
Hungary,2021-03-26,60,69,45.92,9.88,0.0
Hungary,2021-03-26,70,79,63.77,16.11,0.0
Hungary,2021-03-26,80,,59.54,33.31,0.0
Hungary,2021-04-02,18,24,5.21,2.21,0.0
Hungary,2021-04-02,25,49,11.89,4.05,0.0
Hungary,2021-04-02,50,59,27.76,9.88,0.0
Hungary,2021-04-02,60,69,55.8,16.45,0.0
Hungary,2021-04-02,70,79,69.62,27.35,0.0
Hungary,2021-04-02,80,,62.68,38.18,0.0
Hungary,2021-04-09,18,24,8.37,2.61,0.0
Hungary,2021-04-09,25,49,20.05,4.71,0.0
Hungary,2021-04-09,50,59,39.04,10.97,0.0
Hungary,2021-04-09,60,69,61.21,25.37,0.0
Hungary,2021-04-09,70,79,71.86,40.28,0.0
Hungary,2021-04-09,80,,64.13,45.49,0.0
Hungary,2021-04-16,18,24,11.27,2.95,0.0
Hungary,2021-04-16,25,49,25.69,5.73,0.0
Hungary,2021-04-16,50,59,44.2,12.27,0.0
Hungary,2021-04-16,60,69,65.33,30.81,0.0
Hungary,2021-04-16,70,79,74.34,44.45,0.0
Hungary,2021-04-16,80,,66.13,48.0,0.0
Hungary,2021-04-23,18,24,13.82,3.5,0.0
Hungary,2021-04-23,25,49,30.68,7.34,0.0
Hungary,2021-04-23,50,59,49.25,16.97,0.0
Hungary,2021-04-23,60,69,69.31,36.45,0.0
Hungary,2021-04-23,70,79,76.8,51.38,0.0
Hungary,2021-04-23,80,,68.18,52.29,0.0
