location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Iceland,2021-01-08,10,14,0.0,0.0,0.0
Iceland,2021-01-08,15,17,0.02,0.0,0.0
Iceland,2021-01-08,18,24,0.31,0.0,0.0
Iceland,2021-01-08,25,49,0.81,0.0,0.0
Iceland,2021-01-08,50,59,0.82,0.0,0.0
Iceland,2021-01-08,60,69,1.24,0.0,0.0
Iceland,2021-01-08,70,79,2.28,0.0,0.0
Iceland,2021-01-08,80,,17.63,0.0,0.0
Iceland,2021-01-15,10,14,0.0,0.0,0.0
Iceland,2021-01-15,15,17,0.02,0.0,0.0
Iceland,2021-01-15,18,24,0.6,0.0,0.0
Iceland,2021-01-15,25,49,1.39,0.0,0.0
Iceland,2021-01-15,50,59,1.28,0.0,0.0
Iceland,2021-01-15,60,69,1.68,0.0,0.0
Iceland,2021-01-15,70,79,2.29,0.0,0.0
Iceland,2021-01-15,80,,17.63,0.0,0.0
Iceland,2021-01-22,10,14,0.0,0.0,0.0
Iceland,2021-01-22,15,17,0.06,0.02,0.0
Iceland,2021-01-22,18,24,0.77,0.26,0.0
Iceland,2021-01-22,25,49,1.91,0.79,0.0
Iceland,2021-01-22,50,59,1.99,0.82,0.0
Iceland,2021-01-22,60,69,2.75,1.22,0.0
Iceland,2021-01-22,70,79,5.27,2.07,0.0
Iceland,2021-01-22,80,,33.3,17.34,0.0
Iceland,2021-01-29,10,14,0.0,0.0,0.0
Iceland,2021-01-29,15,17,0.06,0.02,0.0
Iceland,2021-01-29,18,24,0.77,0.26,0.0
Iceland,2021-01-29,25,49,1.95,0.79,0.0
Iceland,2021-01-29,50,59,2.05,0.82,0.0
Iceland,2021-01-29,60,69,2.79,1.23,0.0
Iceland,2021-01-29,70,79,5.42,2.09,0.0
Iceland,2021-01-29,80,,34.14,17.47,0.0
Iceland,2021-02-05,10,14,0.0,0.0,0.0
Iceland,2021-02-05,15,17,0.08,0.02,0.0
Iceland,2021-02-05,18,24,0.83,0.26,0.0
Iceland,2021-02-05,25,49,2.3,0.79,0.0
Iceland,2021-02-05,50,59,2.48,0.82,0.0
Iceland,2021-02-05,60,69,3.14,1.24,0.0
Iceland,2021-02-05,70,79,5.95,2.11,0.0
Iceland,2021-02-05,80,,43.04,17.66,0.0
Iceland,2021-02-12,10,14,0.0,0.0,0.0
Iceland,2021-02-12,15,17,0.08,0.02,0.0
Iceland,2021-02-12,18,24,1.97,0.41,0.0
Iceland,2021-02-12,25,49,2.69,1.23,0.0
Iceland,2021-02-12,50,59,2.96,1.14,0.0
Iceland,2021-02-12,60,69,3.44,1.53,0.0
Iceland,2021-02-12,70,79,5.97,2.12,0.0
Iceland,2021-02-12,80,,43.04,17.67,0.0
Iceland,2021-02-19,10,14,0.0,0.0,0.0
Iceland,2021-02-19,15,17,0.08,0.05,0.0
Iceland,2021-02-19,18,24,2.89,0.64,0.0
Iceland,2021-02-19,25,49,3.67,1.91,0.0
Iceland,2021-02-19,50,59,4.21,2.04,0.0
Iceland,2021-02-19,60,69,5.15,2.82,0.0
Iceland,2021-02-19,70,79,6.29,5.16,0.0
Iceland,2021-02-19,80,,44.43,33.84,0.0
Iceland,2021-02-26,10,14,0.0,0.0,0.0
Iceland,2021-02-26,15,17,0.12,0.08,0.0
Iceland,2021-02-26,18,24,4.25,0.7,0.0
Iceland,2021-02-26,25,49,4.56,2.26,0.0
Iceland,2021-02-26,50,59,5.45,2.46,0.0
Iceland,2021-02-26,60,69,6.1,3.16,0.0
Iceland,2021-02-26,70,79,7.23,5.71,0.0
Iceland,2021-02-26,80,,52.3,42.73,0.0
Iceland,2021-03-05,10,14,0.0,0.0,0.0
Iceland,2021-03-05,15,17,0.12,0.08,0.0
Iceland,2021-03-05,18,24,5.48,0.7,0.0
Iceland,2021-03-05,25,49,5.82,2.27,0.0
Iceland,2021-03-05,50,59,6.92,2.48,0.0
Iceland,2021-03-05,60,69,7.18,3.17,0.0
Iceland,2021-03-05,70,79,7.57,5.72,0.0
Iceland,2021-03-05,80,,90.27,42.89,0.0
Iceland,2021-03-12,10,14,0.0,0.0,0.0
Iceland,2021-03-12,15,17,0.16,0.08,0.0
Iceland,2021-03-12,18,24,5.81,0.72,0.0
Iceland,2021-03-12,25,49,6.29,2.29,0.0
Iceland,2021-03-12,50,59,7.66,2.51,0.0
Iceland,2021-03-12,60,69,8.87,3.25,0.0
Iceland,2021-03-12,70,79,14.17,5.79,0.0
Iceland,2021-03-12,80,,101.24,43.53,0.0
Iceland,2021-03-19,10,14,0.0,0.0,0.0
Iceland,2021-03-19,15,17,0.16,0.1,0.0
Iceland,2021-03-19,18,24,5.81,0.85,0.0
Iceland,2021-03-19,25,49,6.32,2.56,0.0
Iceland,2021-03-19,50,59,7.7,2.92,0.0
Iceland,2021-03-19,60,69,9.08,4.31,0.0
Iceland,2021-03-19,70,79,28.13,6.88,0.0
Iceland,2021-03-19,80,,102.05,50.42,0.0
Iceland,2021-03-26,10,14,0.0,0.0,0.0
Iceland,2021-03-26,15,17,0.17,0.11,0.0
Iceland,2021-03-26,18,24,6.11,0.96,0.0
Iceland,2021-03-26,25,49,6.82,2.76,0.0
Iceland,2021-03-26,50,59,8.4,3.13,0.0
Iceland,2021-03-26,60,69,9.65,4.9,0.0
Iceland,2021-03-26,70,79,52.57,7.25,0.0
Iceland,2021-03-26,80,,102.32,88.35,0.0
Iceland,2021-04-02,10,14,0.0,0.0,0.0
Iceland,2021-04-02,15,17,0.17,0.12,0.0
Iceland,2021-04-02,18,24,6.42,1.07,0.0
Iceland,2021-04-02,25,49,7.45,2.8,0.0
Iceland,2021-04-02,50,59,9.2,3.19,0.0
Iceland,2021-04-02,60,69,10.54,6.11,0.0
Iceland,2021-04-02,70,79,65.14,13.5,0.0
Iceland,2021-04-02,80,,102.52,99.38,0.0
Iceland,2021-04-09,10,14,0.0,0.0,0.0
Iceland,2021-04-09,15,17,0.2,0.14,0.0
Iceland,2021-04-09,18,24,6.82,1.09,0.0
Iceland,2021-04-09,25,49,8.07,2.83,0.0
Iceland,2021-04-09,50,59,11.34,3.24,0.0
Iceland,2021-04-09,60,69,17.32,6.31,0.0
Iceland,2021-04-09,70,79,90.03,26.69,0.0
Iceland,2021-04-09,80,,102.9,101.13,0.0
Iceland,2021-04-16,10,14,0.0,0.0,0.0
Iceland,2021-04-16,15,17,0.22,0.15,0.0
Iceland,2021-04-16,18,24,7.25,1.35,0.0
Iceland,2021-04-16,25,49,9.95,3.26,0.0
Iceland,2021-04-16,50,59,14.25,3.85,0.0
Iceland,2021-04-16,60,69,29.57,6.91,0.0
Iceland,2021-04-16,70,79,92.59,28.3,0.0
Iceland,2021-04-16,80,,103.04,101.74,0.0
Iceland,2021-04-23,10,14,0.0,0.0,0.0
Iceland,2021-04-23,15,17,0.3,0.16,0.0
Iceland,2021-04-23,18,24,8.66,1.69,0.0
Iceland,2021-04-23,25,49,12.63,3.94,0.0
Iceland,2021-04-23,50,59,19.77,4.7,0.0
Iceland,2021-04-23,60,69,39.56,7.58,0.0
Iceland,2021-04-23,70,79,93.09,33.81,0.0
Iceland,2021-04-23,80,,103.11,101.87,0.0
Iceland,2021-04-30,10,14,0.0,0.0,0.0
Iceland,2021-04-30,15,17,0.41,0.17,0.0
Iceland,2021-04-30,18,24,9.82,1.99,0.0
Iceland,2021-04-30,25,49,14.94,4.45,0.0
Iceland,2021-04-30,50,59,36.07,5.91,0.0
Iceland,2021-04-30,60,69,85.94,12.56,0.0
Iceland,2021-04-30,70,79,94.3,35.3,0.0
Iceland,2021-04-30,80,,103.33,101.93,0.0
Iceland,2021-05-07,10,14,0.0,0.0,0.0
Iceland,2021-05-07,15,17,1.56,0.19,0.0
Iceland,2021-05-07,18,24,16.62,7.99,0.0
Iceland,2021-05-07,25,49,25.12,10.65,0.0
Iceland,2021-05-07,50,59,65.48,14.18,0.0
Iceland,2021-05-07,60,69,88.64,25.34,0.0
Iceland,2021-05-07,70,79,94.6,36.27,0.0
Iceland,2021-05-07,80,,103.4,102.02,0.0
Iceland,2021-05-14,10,14,0.0,0.0,0.0
Iceland,2021-05-14,15,17,2.26,0.28,0.0
Iceland,2021-05-14,18,24,18.25,9.87,0.0
Iceland,2021-05-14,25,49,28.04,13.12,0.0
Iceland,2021-05-14,50,59,70.06,17.98,0.0
Iceland,2021-05-14,60,69,89.39,35.73,0.0
Iceland,2021-05-14,70,79,94.81,36.65,0.0
Iceland,2021-05-14,80,,103.46,102.12,0.0
Iceland,2021-05-21,10,14,0.0,0.0,0.0
Iceland,2021-05-21,15,17,3.0,0.41,0.0
Iceland,2021-05-21,18,24,23.15,14.28,0.0
Iceland,2021-05-21,25,49,34.47,18.55,0.0
Iceland,2021-05-21,50,59,81.18,31.07,0.0
Iceland,2021-05-21,60,69,89.93,38.65,0.0
Iceland,2021-05-21,70,79,94.96,37.1,0.0
Iceland,2021-05-21,80,,103.54,102.17,0.0
Iceland,2021-05-28,10,14,0.0,0.0,0.0
Iceland,2021-05-28,15,17,3.61,1.48,0.0
Iceland,2021-05-28,18,24,24.79,17.28,0.0
Iceland,2021-05-28,25,49,37.9,22.7,0.0
Iceland,2021-05-28,50,59,83.4,38.78,0.0
Iceland,2021-05-28,60,69,91.52,40.44,0.0
Iceland,2021-05-28,70,79,95.89,39.14,0.0
Iceland,2021-05-28,80,,103.59,102.23,0.0
Iceland,2021-06-04,10,14,0.0,0.0,0.0
Iceland,2021-06-04,15,17,5.25,2.07,0.0
Iceland,2021-06-04,18,24,30.93,20.5,0.0
Iceland,2021-06-04,25,49,46.56,27.06,0.0
Iceland,2021-06-04,50,59,86.43,44.99,0.0
Iceland,2021-06-04,60,69,92.79,41.23,0.0
Iceland,2021-06-04,70,79,96.65,39.98,0.0
Iceland,2021-06-04,80,,103.84,102.28,0.0
Iceland,2021-06-11,10,14,0.01,0.0,0.0
Iceland,2021-06-11,15,17,10.02,2.76,0.0
Iceland,2021-06-11,18,24,53.45,30.46,0.0
Iceland,2021-06-11,25,49,59.33,35.46,0.0
Iceland,2021-06-11,50,59,87.71,51.38,0.0
Iceland,2021-06-11,60,69,93.23,43.72,0.0
Iceland,2021-06-11,70,79,96.9,72.68,0.0
Iceland,2021-06-11,80,,103.93,102.63,0.0
Iceland,2021-06-18,10,14,0.01,0.0,0.0
Iceland,2021-06-18,15,17,32.69,3.49,0.0
Iceland,2021-06-18,18,24,70.36,42.75,0.0
Iceland,2021-06-18,25,49,70.71,46.77,0.0
Iceland,2021-06-18,50,59,88.98,57.96,0.0
Iceland,2021-06-18,60,69,93.44,46.25,0.0
Iceland,2021-06-18,70,79,97.01,83.88,0.0
Iceland,2021-06-18,80,,103.93,102.74,0.0
Iceland,2021-06-25,10,14,0.49,0.0,0.0
Iceland,2021-06-25,15,17,54.91,5.06,0.0
Iceland,2021-06-25,18,24,80.17,53.7,0.0
Iceland,2021-06-25,25,49,78.51,57.06,0.0
Iceland,2021-06-25,50,59,90.73,60.85,0.0
Iceland,2021-06-25,60,69,94.5,51.57,0.0
Iceland,2021-06-25,70,79,97.67,88.86,0.0
Iceland,2021-06-25,80,,104.19,103.19,0.0
Iceland,2021-07-02,10,14,0.68,0.0,0.0
Iceland,2021-07-02,15,17,55.71,9.23,0.0
Iceland,2021-07-02,18,24,80.88,68.5,0.0
Iceland,2021-07-02,25,49,78.95,69.28,0.0
Iceland,2021-07-02,50,59,90.92,82.58,0.0
Iceland,2021-07-02,60,69,94.68,88.83,0.0
Iceland,2021-07-02,70,79,97.77,95.55,0.0
Iceland,2021-07-02,80,,104.22,103.55,0.0
Iceland,2021-07-09,10,14,0.75,0.01,0.0
Iceland,2021-07-09,15,17,56.15,29.67,0.0
Iceland,2021-07-09,18,24,82.39,76.75,0.0
Iceland,2021-07-09,25,49,80.14,74.47,0.0
Iceland,2021-07-09,50,59,91.37,87.38,0.0
Iceland,2021-07-09,60,69,94.92,91.6,0.01
Iceland,2021-07-09,70,79,97.86,96.3,0.0
Iceland,2021-07-09,80,,104.29,103.66,0.0
Iceland,2021-07-16,10,14,1.57,0.41,0.0
Iceland,2021-07-16,15,17,58.92,50.86,0.0
Iceland,2021-07-16,18,24,83.35,80.87,0.0
Iceland,2021-07-16,25,49,80.91,78.85,0.0
Iceland,2021-07-16,50,59,91.67,90.18,0.0
Iceland,2021-07-16,60,69,95.07,94.16,0.01
Iceland,2021-07-16,70,79,97.98,96.85,0.0
Iceland,2021-07-16,80,,104.34,103.82,0.0
Iceland,2021-07-23,10,14,1.61,0.56,0.0
Iceland,2021-07-23,15,17,59.14,53.16,0.0
Iceland,2021-07-23,18,24,83.62,81.49,0.0
Iceland,2021-07-23,25,49,81.14,79.25,0.0
Iceland,2021-07-23,50,59,91.71,90.39,0.0
Iceland,2021-07-23,60,69,95.11,94.3,0.01
Iceland,2021-07-23,70,79,98.0,96.9,0.0
Iceland,2021-07-23,80,,104.36,103.82,0.0
Iceland,2021-07-30,10,14,1.63,0.61,0.0
Iceland,2021-07-30,15,17,59.32,54.06,0.0
Iceland,2021-07-30,18,24,83.88,81.71,0.42
Iceland,2021-07-30,25,49,81.63,79.47,0.18
Iceland,2021-07-30,50,59,91.76,90.77,0.17
Iceland,2021-07-30,60,69,95.14,94.4,0.04
Iceland,2021-07-30,70,79,98.03,96.96,0.01
Iceland,2021-07-30,80,,104.4,103.83,0.0
Iceland,2021-08-06,10,14,1.76,0.88,0.0
Iceland,2021-08-06,15,17,59.89,55.08,0.02
Iceland,2021-08-06,18,24,84.22,82.04,4.25
Iceland,2021-08-06,25,49,82.01,79.75,2.82
Iceland,2021-08-06,50,59,91.85,90.92,1.62
Iceland,2021-08-06,60,69,95.21,94.49,0.18
Iceland,2021-08-06,70,79,98.06,97.02,0.04
Iceland,2021-08-06,80,,104.45,103.85,0.01
Iceland,2021-08-13,10,14,2.98,1.02,0.0
Iceland,2021-08-13,15,17,61.16,55.68,0.04
Iceland,2021-08-13,18,24,84.59,82.29,9.06
Iceland,2021-08-13,25,49,82.37,79.96,6.55
Iceland,2021-08-13,50,59,91.96,91.01,3.35
Iceland,2021-08-13,60,69,95.28,94.54,0.49
Iceland,2021-08-13,70,79,98.11,97.05,0.18
Iceland,2021-08-13,80,,104.53,103.88,0.92
Iceland,2021-08-20,10,14,10.75,1.42,0.0
Iceland,2021-08-20,15,17,67.43,58.11,0.08
Iceland,2021-08-20,18,24,85.08,83.11,23.05
Iceland,2021-08-20,25,49,82.75,80.84,16.62
Iceland,2021-08-20,50,59,92.11,91.21,5.18
Iceland,2021-08-20,60,69,95.38,94.65,1.08
Iceland,2021-08-20,70,79,98.17,97.15,1.81
Iceland,2021-08-20,80,,104.65,103.94,16.74
Iceland,2021-08-27,10,14,33.97,1.61,0.0
Iceland,2021-08-27,15,17,83.73,58.47,0.1
Iceland,2021-08-27,18,24,85.3,83.34,23.57
Iceland,2021-08-27,25,49,82.91,81.13,17.25
Iceland,2021-08-27,50,59,92.16,91.28,5.78
Iceland,2021-08-27,60,69,95.4,94.71,1.32
Iceland,2021-08-27,70,79,98.18,97.17,2.67
Iceland,2021-08-27,80,,104.79,104.0,22.9
Iceland,2021-09-03,10,14,35.38,2.54,0.0
Iceland,2021-09-03,15,17,84.41,59.44,0.1
Iceland,2021-09-03,18,24,85.41,83.58,23.74
Iceland,2021-09-03,25,49,83.05,81.37,17.46
Iceland,2021-09-03,50,59,92.2,91.35,5.9
Iceland,2021-09-03,60,69,95.44,94.77,1.45
Iceland,2021-09-03,70,79,98.21,97.22,4.0
Iceland,2021-09-03,80,,104.81,104.03,27.71
Iceland,2021-09-10,10,14,35.81,5.51,0.0
Iceland,2021-09-10,15,17,84.89,61.67,0.1
Iceland,2021-09-10,18,24,85.55,83.81,24.6
Iceland,2021-09-10,25,49,83.17,81.64,18.12
Iceland,2021-09-10,50,59,92.24,91.45,6.31
Iceland,2021-09-10,60,69,95.46,94.83,2.12
Iceland,2021-09-10,70,79,98.22,97.28,6.57
Iceland,2021-09-10,80,,104.83,104.06,34.38
Iceland,2021-09-17,10,14,37.02,27.5,0.0
Iceland,2021-09-17,15,17,85.79,78.23,0.1
Iceland,2021-09-17,18,24,85.65,84.0,24.72
Iceland,2021-09-17,25,49,83.26,81.85,18.24
Iceland,2021-09-17,50,59,92.27,91.53,6.41
Iceland,2021-09-17,60,69,95.47,94.87,2.5
Iceland,2021-09-17,70,79,98.24,97.34,14.56
Iceland,2021-09-17,80,,104.83,104.11,43.56
Iceland,2021-09-24,10,14,37.55,31.72,0.0
Iceland,2021-09-24,15,17,86.09,80.7,0.11
Iceland,2021-09-24,18,24,85.72,84.17,24.76
