location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Ireland,2021-01-08,10,14,0.0,0.0,0.0
Ireland,2021-01-08,15,17,0.0,0.0,0.0
Ireland,2021-01-08,18,24,0.35,0.0,0.0
Ireland,2021-01-08,25,49,1.83,0.0,0.0
Ireland,2021-01-08,5,9,0.0,0.0,0.0
Ireland,2021-01-08,50,59,1.95,0.0,0.0
Ireland,2021-01-08,60,69,1.14,0.0,0.0
Ireland,2021-01-08,70,79,0.16,0.0,0.0
Ireland,2021-01-08,80,,0.52,0.01,0.0
Ireland,2021-01-15,18,24,0.71,0.0,0.0
Ireland,2021-01-15,25,49,3.09,0.01,0.0
Ireland,2021-01-15,5,9,0.0,0.0,0.0
Ireland,2021-01-15,50,59,3.65,0.0,0.0
Ireland,2021-01-15,60,69,2.44,0.0,0.0
Ireland,2021-01-15,70,79,0.82,0.0,0.0
Ireland,2021-01-15,80,,3.89,0.01,0.0
Ireland,2021-01-22,15,17,0.0,0.0,0.0
Ireland,2021-01-22,18,24,1.06,0.02,0.0
Ireland,2021-01-22,25,49,4.03,0.15,0.0
Ireland,2021-01-22,50,59,4.95,0.13,0.0
Ireland,2021-01-22,60,69,3.57,0.07,0.0
Ireland,2021-01-22,70,79,1.86,0.01,0.0
Ireland,2021-01-22,80,,10.03,0.01,0.0
Ireland,2021-01-29,10,14,0.0,0.0,0.0
Ireland,2021-01-29,15,17,0.0,0.0,0.0
Ireland,2021-01-29,18,24,1.11,0.33,0.0
Ireland,2021-01-29,25,49,4.24,1.73,0.0
Ireland,2021-01-29,50,59,5.17,1.87,0.0
Ireland,2021-01-29,60,69,3.84,1.1,0.0
Ireland,2021-01-29,70,79,2.2,0.14,0.0
Ireland,2021-01-29,80,,10.27,0.44,0.0
Ireland,2021-02-05,15,17,0.01,0.0,0.0
Ireland,2021-02-05,18,24,1.2,0.66,0.0
Ireland,2021-02-05,25,49,4.53,2.88,0.0
Ireland,2021-02-05,50,59,5.48,3.43,0.0
Ireland,2021-02-05,60,69,4.07,2.27,0.0
Ireland,2021-02-05,70,79,2.31,0.71,0.0
Ireland,2021-02-05,80,,10.48,3.39,0.0
Ireland,2021-02-12,18,24,1.43,0.68,0.0
Ireland,2021-02-12,25,49,5.27,3.04,0.0
Ireland,2021-02-12,50,59,6.52,3.62,0.0
Ireland,2021-02-12,60,69,4.91,2.39,0.0
Ireland,2021-02-12,70,79,2.78,0.75,0.0
Ireland,2021-02-12,80,,11.79,3.45,0.0
Ireland,2021-02-19,10,14,0.0,0.0,0.0
Ireland,2021-02-19,15,17,0.01,0.0,0.0
Ireland,2021-02-19,18,24,1.81,1.02,0.0
Ireland,2021-02-19,25,49,6.04,3.94,0.0
Ireland,2021-02-19,50,59,7.48,4.86,0.0
Ireland,2021-02-19,60,69,5.65,3.48,0.0
Ireland,2021-02-19,70,79,3.07,1.7,0.0
Ireland,2021-02-19,80,,20.78,8.97,0.0
Ireland,2021-02-26,15,17,0.01,0.0,0.0
Ireland,2021-02-26,18,24,2.34,1.08,0.0
Ireland,2021-02-26,25,49,7.18,4.18,0.0
Ireland,2021-02-26,50,59,8.92,5.14,0.0
Ireland,2021-02-26,60,69,6.84,3.79,0.0
Ireland,2021-02-26,70,79,4.16,2.04,0.0
Ireland,2021-02-26,80,,42.04,9.4,0.0
Ireland,2021-03-05,15,17,0.01,0.0,0.0
Ireland,2021-03-05,18,24,2.75,1.16,0.0
Ireland,2021-03-05,25,49,8.08,4.41,0.0
Ireland,2021-03-05,50,59,10.06,5.42,0.0
Ireland,2021-03-05,60,69,7.9,4.0,0.0
Ireland,2021-03-05,70,79,6.13,2.14,0.0
Ireland,2021-03-05,80,,65.78,9.75,0.0
Ireland,2021-03-12,15,17,0.01,0.0,0.0
Ireland,2021-03-12,18,24,3.29,1.23,0.0
Ireland,2021-03-12,25,49,9.11,4.64,0.0
Ireland,2021-03-12,50,59,11.39,5.75,0.0
Ireland,2021-03-12,60,69,9.16,4.35,0.0
Ireland,2021-03-12,70,79,8.09,2.56,0.0
Ireland,2021-03-12,80,,86.13,11.22,0.0
Ireland,2021-03-19,15,17,0.01,0.0,0.0
Ireland,2021-03-19,18,24,3.4,1.28,0.0
Ireland,2021-03-19,25,49,9.25,4.77,0.0
Ireland,2021-03-19,50,59,11.62,5.91,0.0
