location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Italy,2021-01-01,18,24,0.0,0.0,0.0
Italy,2021-01-01,25,49,0.02,0.0,0.0
Italy,2021-01-01,50,59,0.02,0.0,0.0
Italy,2021-01-01,60,69,0.02,0.0,0.0
Italy,2021-01-01,70,79,0.0,0.0,0.0
Italy,2021-01-01,80,,0.0,0.0,0.0
Italy,2021-01-08,0,17,0.0,0.0,0.0
Italy,2021-01-08,18,24,0.36,0.0,0.0
Italy,2021-01-08,25,49,1.65,0.0,0.0
Italy,2021-01-08,50,59,1.95,0.0,0.0
Italy,2021-01-08,60,69,1.54,0.0,0.0
Italy,2021-01-08,70,79,0.28,0.0,0.0
Italy,2021-01-08,80,,0.78,0.0,0.0
Italy,2021-01-15,0,17,0.0,0.0,0.0
Italy,2021-01-15,18,24,0.91,0.0,0.0
Italy,2021-01-15,25,49,2.83,0.01,0.0
Italy,2021-01-15,50,59,3.34,0.01,0.0
Italy,2021-01-15,60,69,2.59,0.01,0.0
Italy,2021-01-15,70,79,0.69,0.0,0.0
Italy,2021-01-15,80,,2.26,0.0,0.0
Italy,2021-01-22,0,17,0.0,0.0,0.0
Italy,2021-01-22,18,24,1.02,0.03,0.0
Italy,2021-01-22,25,49,3.09,0.29,0.0
Italy,2021-01-22,50,59,3.63,0.34,0.0
Italy,2021-01-22,60,69,2.82,0.26,0.0
Italy,2021-01-22,70,79,0.84,0.03,0.0
Italy,2021-01-22,80,,2.93,0.11,0.0
Italy,2021-01-29,0,17,0.0,0.0,0.0
Italy,2021-01-29,18,24,1.04,0.33,0.0
Italy,2021-01-29,25,49,3.15,1.59,0.0
Italy,2021-01-29,50,59,3.69,1.89,0.0
Italy,2021-01-29,60,69,2.87,1.51,0.0
Italy,2021-01-29,70,79,0.88,0.25,0.0
Italy,2021-01-29,80,,3.1,0.66,0.0
Italy,2021-02-05,0,17,0.0,0.0,0.0
Italy,2021-02-05,18,24,1.13,0.87,0.0
Italy,2021-02-05,25,49,3.31,2.77,0.0
Italy,2021-02-05,50,59,3.86,3.27,0.0
Italy,2021-02-05,60,69,3.01,2.57,0.0
Italy,2021-02-05,70,79,0.95,0.65,0.0
Italy,2021-02-05,80,,3.35,2.01,0.0
Italy,2021-02-12,0,17,0.0,0.0,0.0
Italy,2021-02-12,18,24,1.47,0.99,0.0
Italy,2021-02-12,25,49,3.92,3.04,0.0
Italy,2021-02-12,50,59,4.41,3.59,0.0
Italy,2021-02-12,60,69,3.45,2.8,0.0
Italy,2021-02-12,70,79,1.18,0.8,0.0
Italy,2021-02-12,80,,4.88,2.69,0.0
Italy,2021-02-19,0,17,0.0,0.0,0.0
Italy,2021-02-19,18,24,1.82,1.02,0.0
Italy,2021-02-19,25,49,4.74,3.12,0.0
Italy,2021-02-19,50,59,5.15,3.68,0.0
Italy,2021-02-19,60,69,3.85,2.88,0.0
Italy,2021-02-19,70,79,1.42,0.85,0.0
Italy,2021-02-19,80,,9.42,2.9,0.0
Italy,2021-02-26,0,17,0.0,0.0,0.0
Italy,2021-02-26,18,24,2.1,1.09,0.0
Italy,2021-02-26,25,49,5.66,3.26,0.0
Italy,2021-02-26,50,59,6.27,3.82,0.0
Italy,2021-02-26,60,69,4.44,2.99,0.0
Italy,2021-02-26,70,79,1.6,0.91,0.0
Italy,2021-02-26,80,,18.31,3.14,0.0
Italy,2021-03-05,0,17,0.01,0.0,0.0
Italy,2021-03-05,18,24,2.39,1.41,0.0
Italy,2021-03-05,25,49,6.78,3.77,0.0
Italy,2021-03-05,50,59,7.91,4.31,0.0
Italy,2021-03-05,60,69,5.62,3.42,0.0
Italy,2021-03-05,70,79,1.94,1.13,0.0
Italy,2021-03-05,80,,27.78,4.44,0.0
Italy,2021-03-12,0,17,0.01,0.0,0.0
Italy,2021-03-12,18,24,2.73,1.69,0.0
Italy,2021-03-12,25,49,8.01,4.2,0.0
Italy,2021-03-12,50,59,9.55,4.73,0.0
Italy,2021-03-12,60,69,6.85,3.79,0.0
Italy,2021-03-12,70,79,2.51,1.35,0.0
Italy,2021-03-12,80,,37.08,8.47,0.0
Italy,2021-03-19,0,17,0.01,0.0,0.0
Italy,2021-03-19,18,24,2.95,1.87,0.0
Italy,2021-03-19,25,49,8.55,4.48,0.0
