location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Latvia,2021-01-08,18,24,0.31,0.0,0.0
Latvia,2021-01-08,25,49,0.56,0.0,0.0
Latvia,2021-01-08,50,59,0.68,0.0,0.0
Latvia,2021-01-08,60,69,0.48,0.0,0.0
Latvia,2021-01-08,70,79,0.12,0.0,0.0
Latvia,2021-01-08,80,,0.02,0.0,0.0
Latvia,2021-01-15,18,24,0.69,0.0,0.0
Latvia,2021-01-15,25,49,1.2,0.0,0.0
Latvia,2021-01-15,50,59,1.59,0.0,0.0
Latvia,2021-01-15,60,69,1.21,0.0,0.0
Latvia,2021-01-15,70,79,0.36,0.0,0.0
Latvia,2021-01-15,80,,0.07,0.0,0.0
Latvia,2021-01-22,18,24,0.74,0.1,0.0
Latvia,2021-01-22,25,49,1.28,0.2,0.0
Latvia,2021-01-22,50,59,1.68,0.19,0.0
Latvia,2021-01-22,60,69,1.27,0.11,0.0
Latvia,2021-01-22,70,79,0.39,0.03,0.0
Latvia,2021-01-22,80,,0.08,0.0,0.0
Latvia,2021-01-29,15,17,0.0,0.0,0.0
Latvia,2021-01-29,18,24,0.75,0.29,0.0
Latvia,2021-01-29,25,49,1.29,0.54,0.0
Latvia,2021-01-29,50,59,1.7,0.66,0.0
Latvia,2021-01-29,60,69,1.29,0.46,0.0
Latvia,2021-01-29,70,79,0.39,0.11,0.0
Latvia,2021-01-29,80,,0.08,0.01,0.0
Latvia,2021-02-05,18,24,0.76,0.61,0.0
Latvia,2021-02-05,25,49,1.33,1.08,0.0
Latvia,2021-02-05,50,59,1.79,1.46,0.0
Latvia,2021-02-05,60,69,1.36,1.11,0.0
Latvia,2021-02-05,70,79,0.41,0.32,0.0
Latvia,2021-02-05,80,,0.09,0.06,0.0
Latvia,2021-02-12,10,14,0.0,0.0,0.0
Latvia,2021-02-12,18,24,0.97,0.69,0.0
Latvia,2021-02-12,25,49,1.54,1.23,0.0
Latvia,2021-02-12,50,59,2.07,1.61,0.0
Latvia,2021-02-12,60,69,1.62,1.23,0.0
Latvia,2021-02-12,70,79,0.56,0.37,0.0
Latvia,2021-02-12,80,,0.26,0.08,0.0
Latvia,2021-02-19,18,24,1.15,0.72,0.0
Latvia,2021-02-19,25,49,1.89,1.27,0.0
Latvia,2021-02-19,50,59,2.67,1.67,0.0
Latvia,2021-02-19,60,69,2.24,1.27,0.0
Latvia,2021-02-19,70,79,1.49,0.39,0.0
Latvia,2021-02-19,80,,1.41,0.08,0.0
Latvia,2021-02-26,15,17,0.0,0.0,0.0
