location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Liechtenstein,2021-01-08,50,59,0.02,0.0,0.0
Liechtenstein,2021-01-08,80,,0.18,0.0,0.0
Liechtenstein,2021-01-15,25,49,0.07,0.0,0.0
Liechtenstein,2021-01-15,50,59,0.19,0.0,0.0
Liechtenstein,2021-01-15,60,69,0.12,0.0,0.0
Liechtenstein,2021-01-15,70,79,0.22,0.0,0.0
Liechtenstein,2021-01-15,80,,0.53,0.0,0.0
Liechtenstein,2021-01-22,18,24,0.31,0.0,0.0
Liechtenstein,2021-01-22,25,49,0.49,0.0,0.0
Liechtenstein,2021-01-22,50,59,1.08,0.0,0.0
Liechtenstein,2021-01-22,60,69,0.97,0.0,0.0
Liechtenstein,2021-01-22,70,79,1.85,0.0,0.0
Liechtenstein,2021-01-22,80,,7.13,0.0,0.0
Liechtenstein,2021-01-29,15,17,0.25,0.0,0.0
Liechtenstein,2021-01-29,18,24,1.04,0.0,0.0
Liechtenstein,2021-01-29,25,49,1.57,0.0,0.0
Liechtenstein,2021-01-29,50,59,2.72,0.0,0.0
Liechtenstein,2021-01-29,60,69,2.46,0.0,0.0
Liechtenstein,2021-01-29,70,79,3.42,0.0,0.0
Liechtenstein,2021-01-29,80,,9.47,0.0,0.0
Liechtenstein,2021-02-05,15,17,0.25,0.0,0.0
Liechtenstein,2021-02-05,18,24,1.08,0.0,0.0
Liechtenstein,2021-02-05,25,49,1.66,0.03,0.0
Liechtenstein,2021-02-05,50,59,2.87,0.14,0.0
Liechtenstein,2021-02-05,60,69,2.84,0.1,0.0
Liechtenstein,2021-02-05,70,79,4.23,0.22,0.0
Liechtenstein,2021-02-05,80,,9.77,0.35,0.0
Liechtenstein,2021-02-12,15,17,0.25,0.0,0.0
Liechtenstein,2021-02-12,18,24,1.15,0.24,0.0
Liechtenstein,2021-02-12,25,49,1.7,0.41,0.0
Liechtenstein,2021-02-12,50,59,2.9,1.03,0.0
Liechtenstein,2021-02-12,60,69,2.9,0.89,0.0
Liechtenstein,2021-02-12,70,79,4.37,1.74,0.0
Liechtenstein,2021-02-12,80,,9.88,6.78,0.0
Liechtenstein,2021-02-19,15,17,0.25,0.0,0.0
Liechtenstein,2021-02-19,18,24,1.18,0.42,0.0
Liechtenstein,2021-02-19,25,49,1.73,0.65,0.0
Liechtenstein,2021-02-19,50,59,3.05,1.45,0.0
Liechtenstein,2021-02-19,60,69,3.07,1.4,0.0
Liechtenstein,2021-02-19,70,79,4.43,2.77,0.0
Liechtenstein,2021-02-19,80,,39.59,8.77,0.0
Liechtenstein,2021-02-26,15,17,0.33,0.25,0.0
Liechtenstein,2021-02-26,18,24,1.35,1.01,0.0
Liechtenstein,2021-02-26,25,49,1.77,1.52,0.0
Liechtenstein,2021-02-26,50,59,3.09,2.64,0.0
Liechtenstein,2021-02-26,60,69,3.09,2.5,0.0
Liechtenstein,2021-02-26,70,79,4.74,3.89,0.0
Liechtenstein,2021-02-26,80,,62.4,9.12,0.0
Liechtenstein,2021-03-05,15,17,0.33,0.25,0.0
Liechtenstein,2021-03-05,18,24,1.46,1.08,0.0
Liechtenstein,2021-03-05,25,49,1.86,1.62,0.0
Liechtenstein,2021-03-05,50,59,3.3,2.73,0.0
Liechtenstein,2021-03-05,60,69,3.19,2.74,0.0
Liechtenstein,2021-03-05,70,79,16.17,4.09,0.0
Liechtenstein,2021-03-05,80,,68.36,9.36,0.0
Liechtenstein,2021-03-12,15,17,0.33,0.25,0.0
Liechtenstein,2021-03-12,18,24,1.7,1.08,0.0
Liechtenstein,2021-03-12,25,49,1.9,1.66,0.0
Liechtenstein,2021-03-12,50,59,3.44,2.81,0.0
Liechtenstein,2021-03-12,60,69,3.25,2.84,0.0
Liechtenstein,2021-03-12,70,79,29.81,4.2,0.0
Liechtenstein,2021-03-12,80,,76.96,9.47,0.0
Liechtenstein,2021-03-19,15,17,0.33,0.25,0.0
Liechtenstein,2021-03-19,18,24,1.94,1.11,0.0
Liechtenstein,2021-03-19,25,49,2.03,1.72,0.0
Liechtenstein,2021-03-19,50,59,3.64,3.0,0.0
Liechtenstein,2021-03-19,60,69,3.45,3.03,0.0
Liechtenstein,2021-03-19,70,79,30.06,4.37,0.0
Liechtenstein,2021-03-19,80,,78.71,39.47,0.0
Liechtenstein,2021-03-26,15,17,0.42,0.33,0.0
Liechtenstein,2021-03-26,18,24,1.98,1.28,0.0
Liechtenstein,2021-03-26,25,49,2.16,1.75,0.0
Liechtenstein,2021-03-26,50,59,3.72,3.06,0.0
Liechtenstein,2021-03-26,60,69,3.57,3.05,0.0
Liechtenstein,2021-03-26,70,79,49.51,4.6,0.0
Liechtenstein,2021-03-26,80,,80.0,61.87,0.0
Liechtenstein,2021-04-02,15,17,0.42,0.33,0.0
Liechtenstein,2021-04-02,18,24,2.12,1.46,0.0
Liechtenstein,2021-04-02,25,49,2.2,1.83,0.0
Liechtenstein,2021-04-02,50,59,3.83,3.2,0.0
Liechtenstein,2021-04-02,60,69,3.68,3.13,0.0
Liechtenstein,2021-04-02,70,79,62.29,15.89,0.0
Liechtenstein,2021-04-02,80,,80.99,68.07,0.0
Liechtenstein,2021-04-09,15,17,0.42,0.33,0.0
Liechtenstein,2021-04-09,18,24,2.29,1.7,0.0
Liechtenstein,2021-04-09,25,49,2.26,1.87,0.0
Liechtenstein,2021-04-09,50,59,4.04,3.39,0.0
Liechtenstein,2021-04-09,60,69,4.33,3.19,0.0
Liechtenstein,2021-04-09,70,79,67.5,29.36,0.0
Liechtenstein,2021-04-09,80,,81.29,76.73,0.0
Liechtenstein,2021-04-16,15,17,0.58,0.33,0.0
Liechtenstein,2021-04-16,18,24,3.02,1.91,0.0
Liechtenstein,2021-04-16,25,49,3.8,2.0,0.0
Liechtenstein,2021-04-16,50,59,8.61,3.58,0.0
Liechtenstein,2021-04-16,60,69,15.07,3.37,0.0
Liechtenstein,2021-04-16,70,79,76.72,29.73,0.0
Liechtenstein,2021-04-16,80,,81.87,78.36,0.0
Liechtenstein,2021-04-23,15,17,0.67,0.42,0.0
Liechtenstein,2021-04-23,18,24,6.73,1.98,0.0
Liechtenstein,2021-04-23,25,49,7.66,2.08,0.0
Liechtenstein,2021-04-23,50,59,12.63,3.69,0.0
Liechtenstein,2021-04-23,60,69,34.07,3.49,0.0
Liechtenstein,2021-04-23,70,79,78.57,49.01,0.0
Liechtenstein,2021-04-23,80,,82.46,79.65,0.0
Liechtenstein,2021-04-30,15,17,0.67,0.42,0.0
Liechtenstein,2021-04-30,18,24,8.71,2.12,0.0
Liechtenstein,2021-04-30,25,49,11.49,2.15,0.0
Liechtenstein,2021-04-30,50,59,17.74,3.72,0.0
Liechtenstein,2021-04-30,60,69,37.95,3.57,0.0
Liechtenstein,2021-04-30,70,79,78.62,61.7,0.0
Liechtenstein,2021-04-30,80,,82.63,80.76,0.0
Liechtenstein,2021-05-07,15,17,0.67,0.42,0.0
Liechtenstein,2021-05-07,18,24,12.18,2.22,0.0
Liechtenstein,2021-05-07,25,49,14.47,2.22,0.0
Liechtenstein,2021-05-07,50,59,22.27,3.92,0.0
Liechtenstein,2021-05-07,60,69,43.15,4.16,0.0
Liechtenstein,2021-05-07,70,79,80.47,66.88,0.0
Liechtenstein,2021-05-07,80,,83.63,81.05,0.0
Liechtenstein,2021-05-14,15,17,0.75,0.58,0.0
Liechtenstein,2021-05-14,18,24,14.13,2.88,0.0
Liechtenstein,2021-05-14,25,49,16.43,3.72,0.0
Liechtenstein,2021-05-14,50,59,25.11,8.4,0.0
Liechtenstein,2021-05-14,60,69,45.34,14.76,0.0
Liechtenstein,2021-05-14,70,79,80.75,75.9,0.0
Liechtenstein,2021-05-14,80,,83.68,81.64,0.0
Liechtenstein,2021-05-21,15,17,0.75,0.67,0.0
Liechtenstein,2021-05-21,18,24,16.77,6.53,0.0
Liechtenstein,2021-05-21,25,49,19.11,7.48,0.0
Liechtenstein,2021-05-21,50,59,28.88,12.42,0.0
Liechtenstein,2021-05-21,60,69,49.12,33.42,0.0
Liechtenstein,2021-05-21,70,79,81.56,77.89,0.0
Liechtenstein,2021-05-21,80,,84.21,82.4,0.0
Liechtenstein,2021-05-28,15,17,1.42,0.67,0.0
Liechtenstein,2021-05-28,18,24,20.34,8.47,0.0
Liechtenstein,2021-05-28,25,49,22.99,11.25,0.0
Liechtenstein,2021-05-28,50,59,34.23,17.52,0.0
Liechtenstein,2021-05-28,60,69,52.97,37.4,0.0
Liechtenstein,2021-05-28,70,79,81.79,78.09,0.0
Liechtenstein,2021-05-28,80,,84.39,82.57,0.0
Liechtenstein,2021-06-04,15,17,1.42,0.67,0.0
Liechtenstein,2021-06-04,18,24,26.48,11.87,0.0
Liechtenstein,2021-06-04,25,49,28.83,14.13,0.0
Liechtenstein,2021-06-04,50,59,41.59,21.96,0.0
Liechtenstein,2021-06-04,60,69,58.46,42.52,0.0
Liechtenstein,2021-06-04,70,79,82.43,79.91,0.0
Liechtenstein,2021-06-04,80,,84.68,83.57,0.0
Liechtenstein,2021-06-11,15,17,3.68,0.75,0.0
Liechtenstein,2021-06-11,18,24,33.84,13.81,0.0
Liechtenstein,2021-06-11,25,49,37.49,16.21,0.0
Liechtenstein,2021-06-11,50,59,50.98,24.89,0.0
Liechtenstein,2021-06-11,60,69,64.2,44.81,0.0
Liechtenstein,2021-06-11,70,79,82.68,80.3,0.0
Liechtenstein,2021-06-11,80,,84.97,83.57,0.0
Liechtenstein,2021-06-18,15,17,3.68,0.84,0.0
Liechtenstein,2021-06-18,18,24,40.65,16.28,0.0
Liechtenstein,2021-06-18,25,49,45.71,18.75,0.0
Liechtenstein,2021-06-18,50,59,59.16,28.55,0.0
Liechtenstein,2021-06-18,60,69,68.12,48.49,0.0
Liechtenstein,2021-06-18,70,79,82.77,81.06,0.0
Liechtenstein,2021-06-18,80,,85.15,83.98,0.0
Liechtenstein,2021-06-25,15,17,11.95,1.42,0.0
Liechtenstein,2021-06-25,18,24,42.97,19.68,0.0
Liechtenstein,2021-06-25,25,49,47.32,22.54,0.0
Liechtenstein,2021-06-25,50,59,60.46,34.05,0.0
Liechtenstein,2021-06-25,60,69,68.85,52.26,0.0
Liechtenstein,2021-06-25,70,79,82.77,81.26,0.0
Liechtenstein,2021-06-25,80,,85.15,84.15,0.0
Liechtenstein,2021-07-02,15,17,11.95,1.42,0.0
Liechtenstein,2021-07-02,18,24,45.78,25.55,0.0
Liechtenstein,2021-07-02,25,49,50.01,28.14,0.0
Liechtenstein,2021-07-02,50,59,62.94,41.03,0.0
Liechtenstein,2021-07-02,60,69,69.97,57.66,0.0
Liechtenstein,2021-07-02,70,79,83.05,81.93,0.0
Liechtenstein,2021-07-02,80,,85.2,84.5,0.0
Liechtenstein,2021-07-09,10,14,0.15,0.0,0.0
Liechtenstein,2021-07-09,15,17,16.96,3.34,0.0
Liechtenstein,2021-07-09,18,24,48.11,32.91,0.0
Liechtenstein,2021-07-09,25,49,51.54,36.41,0.0
Liechtenstein,2021-07-09,50,59,64.36,49.93,0.0
Liechtenstein,2021-07-09,60,69,70.76,63.27,0.0
Liechtenstein,2021-07-09,70,79,83.16,82.21,0.0
Liechtenstein,2021-07-09,80,,85.44,84.8,0.0
Liechtenstein,2021-07-16,10,14,0.15,0.0,0.0
Liechtenstein,2021-07-16,15,17,16.96,3.34,0.0
Liechtenstein,2021-07-16,18,24,50.09,39.29,0.0
Liechtenstein,2021-07-16,25,49,53.1,44.3,0.0
Liechtenstein,2021-07-16,50,59,65.81,57.96,0.0
Liechtenstein,2021-07-16,60,69,71.7,67.39,0.0
Liechtenstein,2021-07-16,70,79,83.47,82.29,0.0
Liechtenstein,2021-07-16,80,,85.73,84.97,0.0
Liechtenstein,2021-07-23,10,14,0.36,0.0,0.0
Liechtenstein,2021-07-23,15,17,17.38,11.11,0.0
Liechtenstein,2021-07-23,18,24,50.26,42.07,0.0
Liechtenstein,2021-07-23,25,49,53.24,46.45,0.0
Liechtenstein,2021-07-23,50,59,65.88,59.75,0.0
Liechtenstein,2021-07-23,60,69,71.74,68.28,0.0
Liechtenstein,2021-07-23,70,79,83.47,82.32,0.0
Liechtenstein,2021-07-23,80,,85.73,84.97,0.0
Liechtenstein,2021-07-30,10,14,0.36,0.0,0.0
Liechtenstein,2021-07-30,15,17,17.38,11.11,0.0
Liechtenstein,2021-07-30,18,24,50.33,42.1,0.0
Liechtenstein,2021-07-30,25,49,53.27,46.47,0.0
Liechtenstein,2021-07-30,50,59,65.89,59.77,0.0
Liechtenstein,2021-07-30,60,69,71.78,68.28,0.0
Liechtenstein,2021-07-30,70,79,83.5,82.32,0.0
Liechtenstein,2021-07-30,80,,85.73,84.97,0.0
Liechtenstein,2021-08-06,10,14,0.36,0.0,0.0
Liechtenstein,2021-08-06,15,17,17.38,11.11,0.0
Liechtenstein,2021-08-06,18,24,50.36,42.1,0.0
Liechtenstein,2021-08-06,25,49,53.27,46.47,0.0
Liechtenstein,2021-08-06,50,59,65.91,59.77,0.0
Liechtenstein,2021-08-06,60,69,71.78,68.28,0.0
Liechtenstein,2021-08-06,70,79,83.5,82.32,0.0
Liechtenstein,2021-08-06,80,,85.73,84.97,0.0
Liechtenstein,2021-08-13,10,14,5.33,0.15,0.0
Liechtenstein,2021-08-13,15,17,30.24,16.71,0.0
Liechtenstein,2021-08-13,18,24,52.13,47.07,0.0
Liechtenstein,2021-08-13,25,49,54.51,51.0,0.0
Liechtenstein,2021-08-13,50,59,66.52,63.97,0.0
Liechtenstein,2021-08-13,60,69,72.22,70.33,0.0
Liechtenstein,2021-08-13,70,79,83.69,82.77,0.0
Liechtenstein,2021-08-13,80,,85.96,85.38,0.0
Liechtenstein,2021-08-20,10,14,9.18,0.36,0.0
Liechtenstein,2021-08-20,15,17,39.01,17.29,0.0
Liechtenstein,2021-08-20,18,24,55.54,48.98,0.0
Liechtenstein,2021-08-20,25,49,57.19,52.52,0.0
Liechtenstein,2021-08-20,50,59,68.33,65.31,0.0
Liechtenstein,2021-08-20,60,69,73.54,71.17,0.0
Liechtenstein,2021-08-20,70,79,84.14,83.02,0.0
Liechtenstein,2021-08-20,80,,86.32,85.5,0.0
Liechtenstein,2021-08-27,10,14,13.23,0.36,0.0
Liechtenstein,2021-08-27,15,17,44.86,17.46,0.0
Liechtenstein,2021-08-27,18,24,59.77,49.67,0.0
Liechtenstein,2021-08-27,25,49,60.36,52.76,0.0
Liechtenstein,2021-08-27,50,59,70.42,65.48,0.0
Liechtenstein,2021-08-27,60,69,75.31,71.21,0.0
Liechtenstein,2021-08-27,70,79,84.81,83.05,0.0
Liechtenstein,2021-08-27,80,,86.67,85.5,0.0
Liechtenstein,2021-09-03,10,14,13.28,0.36,0.0
Liechtenstein,2021-09-03,15,17,44.95,17.46,0.0
Liechtenstein,2021-09-03,18,24,59.81,49.67,0.0
Liechtenstein,2021-09-03,25,49,60.4,52.76,0.0
Liechtenstein,2021-09-03,50,59,70.42,65.48,0.0
Liechtenstein,2021-09-03,60,69,75.33,71.21,0.0
Liechtenstein,2021-09-03,70,79,84.84,83.05,0.0
Liechtenstein,2021-09-03,80,,86.67,85.5,0.0
Liechtenstein,2021-09-10,10,14,13.38,5.23,0.0
Liechtenstein,2021-09-10,15,17,45.2,29.57,0.0
Liechtenstein,2021-09-10,18,24,59.94,51.27,0.0
Liechtenstein,2021-09-10,25,49,60.48,53.6,0.0
Liechtenstein,2021-09-10,50,59,70.55,66.05,0.0
Liechtenstein,2021-09-10,60,69,75.39,71.55,0.0
Liechtenstein,2021-09-10,70,79,84.87,83.22,0.0
Liechtenstein,2021-09-10,80,,86.73,85.61,0.0
Liechtenstein,2021-09-17,10,14,16.72,8.36,0.0
Liechtenstein,2021-09-17,15,17,53.63,37.76,0.0
Liechtenstein,2021-09-17,18,24,65.29,54.56,0.0
Liechtenstein,2021-09-17,25,49,63.46,56.38,0.0
Liechtenstein,2021-09-17,50,59,72.61,68.0,0.0
Liechtenstein,2021-09-17,60,69,76.71,72.97,0.0
Liechtenstein,2021-09-17,70,79,85.43,83.72,0.0
Liechtenstein,2021-09-17,80,,87.31,86.08,0.0
Liechtenstein,2021-09-24,10,14,18.1,12.97,0.0
Liechtenstein,2021-09-24,15,17,57.56,44.7,0.0
Liechtenstein,2021-09-24,18,24,66.75,58.87,0.0
Liechtenstein,2021-09-24,25,49,64.81,59.71,0.0
Liechtenstein,2021-09-24,50,59,73.34,70.08,0.02
Liechtenstein,2021-09-24,60,69,77.12,74.82,0.0
Liechtenstein,2021-09-24,70,79,85.91,84.39,0.0
Liechtenstein,2021-09-24,80,,87.54,86.43,0.0
Liechtenstein,2021-10-01,10,14,19.13,13.13,0.0
Liechtenstein,2021-10-01,15,17,58.65,44.86,0.0
Liechtenstein,2021-10-01,18,24,67.23,59.04,0.0
Liechtenstein,2021-10-01,25,49,65.34,59.77,0.0
Liechtenstein,2021-10-01,50,59,73.84,70.11,0.02
Liechtenstein,2021-10-01,60,69,77.5,74.88,0.0
Liechtenstein,2021-10-01,70,79,86.16,84.45,0.0
Liechtenstein,2021-10-01,80,,87.89,86.43,0.0
Liechtenstein,2021-10-08,10,14,19.69,13.18,0.0
Liechtenstein,2021-10-08,15,17,59.73,45.11,0.0
Liechtenstein,2021-10-08,18,24,68.24,59.22,0.0
Liechtenstein,2021-10-08,25,49,65.96,59.84,0.0
Liechtenstein,2021-10-08,50,59,74.36,70.15,0.02
Liechtenstein,2021-10-08,60,69,77.67,74.92,0.0
Liechtenstein,2021-10-08,70,79,86.21,84.53,0.0
Liechtenstein,2021-10-08,80,,87.95,86.43,0.0
Liechtenstein,2021-10-15,10,14,19.85,13.85,0.0
Liechtenstein,2021-10-15,15,17,59.98,46.2,0.0
Liechtenstein,2021-10-15,18,24,68.27,59.49,0.0
Liechtenstein,2021-10-15,25,49,66.13,60.33,0.0
Liechtenstein,2021-10-15,50,59,74.4,70.62,0.02
