location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Lithuania,2021-01-01,18,24,0.04,0.0,0.0
Lithuania,2021-01-01,25,49,0.14,0.0,0.0
Lithuania,2021-01-01,50,59,0.17,0.0,0.0
Lithuania,2021-01-01,60,69,0.09,0.0,0.0
Lithuania,2021-01-01,70,79,0.01,0.0,0.0
Lithuania,2021-01-08,15,17,0.0,0.0,0.0
Lithuania,2021-01-08,18,24,0.39,0.0,0.0
Lithuania,2021-01-08,25,49,1.05,0.0,0.0
Lithuania,2021-01-08,50,59,1.78,0.0,0.0
Lithuania,2021-01-08,60,69,1.28,0.0,0.0
Lithuania,2021-01-08,70,79,0.25,0.0,0.0
Lithuania,2021-01-08,80,,0.12,0.0,0.0
Lithuania,2021-01-15,15,17,0.17,0.0,0.0
Lithuania,2021-01-15,18,24,0.79,0.03,0.0
Lithuania,2021-01-15,25,49,2.04,0.07,0.0
Lithuania,2021-01-15,50,59,3.58,0.05,0.0
Lithuania,2021-01-15,60,69,2.79,0.02,0.0
Lithuania,2021-01-15,70,79,1.08,0.0,0.0
Lithuania,2021-01-15,80,,1.66,0.0,0.0
Lithuania,2021-01-22,15,17,0.18,0.0,0.0
Lithuania,2021-01-22,18,24,0.9,0.15,0.0
Lithuania,2021-01-22,25,49,2.3,0.45,0.0
Lithuania,2021-01-22,50,59,4.02,0.67,0.0
Lithuania,2021-01-22,60,69,3.21,0.41,0.0
Lithuania,2021-01-22,70,79,1.35,0.06,0.0
Lithuania,2021-01-22,80,,2.59,0.0,0.0
Lithuania,2021-01-29,15,17,0.21,0.0,0.0
Lithuania,2021-01-29,18,24,1.3,0.34,0.0
Lithuania,2021-01-29,25,49,2.95,0.97,0.0
Lithuania,2021-01-29,50,59,4.75,1.64,0.0
Lithuania,2021-01-29,60,69,3.74,1.17,0.0
Lithuania,2021-01-29,70,79,1.52,0.23,0.0
Lithuania,2021-01-29,80,,3.07,0.08,0.0
Lithuania,2021-02-05,15,17,0.21,0.14,0.0
Lithuania,2021-02-05,18,24,1.42,0.67,0.0
Lithuania,2021-02-05,25,49,3.23,1.82,0.0
Lithuania,2021-02-05,50,59,5.19,3.22,0.0
Lithuania,2021-02-05,60,69,4.11,2.47,0.0
Lithuania,2021-02-05,70,79,1.62,0.91,0.0
Lithuania,2021-02-05,80,,3.4,1.41,0.0
Lithuania,2021-02-12,10,14,0.0,0.0,0.0
Lithuania,2021-02-12,15,17,0.22,0.15,0.0
Lithuania,2021-02-12,18,24,1.74,0.8,0.0
Lithuania,2021-02-12,25,49,4.08,2.1,0.0
Lithuania,2021-02-12,50,59,6.74,3.67,0.0
Lithuania,2021-02-12,60,69,5.23,2.87,0.0
Lithuania,2021-02-12,70,79,1.87,1.13,0.0
Lithuania,2021-02-12,80,,3.8,2.24,0.0
Lithuania,2021-02-19,10,14,0.0,0.0,0.0
Lithuania,2021-02-19,15,17,0.23,0.18,0.0
Lithuania,2021-02-19,18,24,1.9,1.17,0.0
Lithuania,2021-02-19,25,49,4.53,2.72,0.0
Lithuania,2021-02-19,50,59,7.73,4.41,0.0
Lithuania,2021-02-19,60,69,6.09,3.42,0.0
Lithuania,2021-02-19,70,79,2.91,1.31,0.0
Lithuania,2021-02-19,80,,9.39,2.74,0.0
Lithuania,2021-02-26,10,14,0.0,0.0,0.0
Lithuania,2021-02-26,15,17,0.23,0.19,0.0
Lithuania,2021-02-26,18,24,1.98,1.28,0.0
Lithuania,2021-02-26,25,49,4.72,2.95,0.0
Lithuania,2021-02-26,50,59,8.16,4.76,0.0
Lithuania,2021-02-26,60,69,7.12,3.72,0.0
Lithuania,2021-02-26,70,79,8.01,1.38,0.0
Lithuania,2021-02-26,80,,24.32,3.01,0.0
Lithuania,2021-03-05,10,14,0.0,0.0,0.0
Lithuania,2021-03-05,15,17,0.24,0.2,0.0
Lithuania,2021-03-05,18,24,2.08,1.48,0.0
Lithuania,2021-03-05,25,49,4.87,3.28,0.0
Lithuania,2021-03-05,50,59,8.46,5.79,0.0
Lithuania,2021-03-05,60,69,8.41,4.82,0.0
Lithuania,2021-03-05,70,79,17.87,1.6,0.0
Lithuania,2021-03-05,80,,33.58,3.41,0.0
Lithuania,2021-03-12,10,14,0.0,0.0,0.0
Lithuania,2021-03-12,15,17,0.24,0.2,0.0
Lithuania,2021-03-12,18,24,2.18,1.56,0.0
Lithuania,2021-03-12,25,49,4.99,3.43,0.0
Lithuania,2021-03-12,50,59,8.69,6.33,0.0
Lithuania,2021-03-12,60,69,11.02,5.47,0.0
Lithuania,2021-03-12,70,79,28.56,2.33,0.0
Lithuania,2021-03-12,80,,37.26,6.98,0.0
Lithuania,2021-03-19,10,14,0.0,0.0,0.0
Lithuania,2021-03-19,15,17,0.25,0.21,0.0
Lithuania,2021-03-19,18,24,2.25,1.62,0.0
Lithuania,2021-03-19,25,49,5.08,3.58,0.0
Lithuania,2021-03-19,50,59,8.91,6.72,0.0
Lithuania,2021-03-19,60,69,12.96,6.19,0.0
Lithuania,2021-03-19,70,79,32.9,4.61,0.0
Lithuania,2021-03-19,80,,38.45,16.07,0.0
Lithuania,2021-03-26,10,14,0.0,0.0,0.0
Lithuania,2021-03-26,15,17,0.26,0.22,0.0
Lithuania,2021-03-26,18,24,2.67,1.71,0.0
Lithuania,2021-03-26,25,49,5.68,3.71,0.0
Lithuania,2021-03-26,50,59,10.02,6.97,0.0
Lithuania,2021-03-26,60,69,17.49,6.74,0.0
Lithuania,2021-03-26,70,79,39.95,9.41,0.0
Lithuania,2021-03-26,80,,41.14,22.56,0.0
Lithuania,2021-04-02,10,14,0.0,0.0,0.0
Lithuania,2021-04-02,15,17,0.31,0.22,0.0
Lithuania,2021-04-02,18,24,4.77,1.8,0.0
Lithuania,2021-04-02,25,49,7.08,3.8,0.0
Lithuania,2021-04-02,50,59,12.05,7.15,0.0
Lithuania,2021-04-02,60,69,22.5,7.72,0.0
Lithuania,2021-04-02,70,79,46.69,15.37,0.0
Lithuania,2021-04-02,80,,43.76,26.36,0.0
Lithuania,2021-04-09,10,14,0.0,0.0,0.0
Lithuania,2021-04-09,15,17,0.51,0.22,0.0
Lithuania,2021-04-09,18,24,8.96,1.86,0.0
Lithuania,2021-04-09,25,49,9.71,3.88,0.0
Lithuania,2021-04-09,50,59,15.98,7.32,0.0
Lithuania,2021-04-09,60,69,29.79,8.7,0.0
Lithuania,2021-04-09,70,79,53.14,17.85,0.0
Lithuania,2021-04-09,80,,46.28,27.5,0.0
Lithuania,2021-04-16,10,14,0.0,0.0,0.0
Lithuania,2021-04-16,15,17,0.68,0.22,0.0
Lithuania,2021-04-16,18,24,11.15,1.94,0.0
Lithuania,2021-04-16,25,49,12.05,4.03,0.0
Lithuania,2021-04-16,50,59,19.59,7.64,0.0
Lithuania,2021-04-16,60,69,35.92,10.25,0.0
Lithuania,2021-04-16,70,79,58.12,21.67,0.0
Lithuania,2021-04-16,80,,48.93,28.98,0.0
Lithuania,2021-04-23,10,14,0.0,0.0,0.0
Lithuania,2021-04-23,15,17,0.91,0.24,0.0
Lithuania,2021-04-23,18,24,14.03,2.17,0.0
Lithuania,2021-04-23,25,49,14.32,4.51,0.0
Lithuania,2021-04-23,50,59,22.9,8.4,0.0
Lithuania,2021-04-23,60,69,40.17,13.19,0.0
Lithuania,2021-04-23,70,79,60.92,27.66,0.0
Lithuania,2021-04-23,80,,50.6,31.39,0.0
Lithuania,2021-04-30,10,14,0.0,0.0,0.0
Lithuania,2021-04-30,15,17,1.09,0.38,0.0
Lithuania,2021-04-30,18,24,15.91,4.21,0.0
Lithuania,2021-04-30,25,49,16.63,5.56,0.0
Lithuania,2021-04-30,50,59,26.98,10.31,0.0
Lithuania,2021-04-30,60,69,44.15,18.51,0.0
Lithuania,2021-04-30,70,79,62.19,33.59,0.0
Lithuania,2021-04-30,80,,51.56,33.82,0.0
Lithuania,2021-05-07,10,14,0.0,0.0,0.0
Lithuania,2021-05-07,15,17,1.22,0.53,0.0
Lithuania,2021-05-07,18,24,18.55,6.33,0.0
Lithuania,2021-05-07,25,49,21.18,7.38,0.0
Lithuania,2021-05-07,50,59,32.36,13.44,0.0
Lithuania,2021-05-07,60,69,47.88,25.09,0.0
Lithuania,2021-05-07,70,79,63.55,40.1,0.0
Lithuania,2021-05-07,80,,52.52,37.5,0.0
Lithuania,2021-05-14,10,14,0.0,0.0,0.0
Lithuania,2021-05-14,15,17,1.38,0.71,0.0
Lithuania,2021-05-14,18,24,21.29,8.75,0.0
Lithuania,2021-05-14,25,49,25.49,9.09,0.0
Lithuania,2021-05-14,50,59,37.77,16.11,0.0
Lithuania,2021-05-14,60,69,51.74,29.04,0.0
Lithuania,2021-05-14,70,79,64.67,43.94,0.0
Lithuania,2021-05-14,80,,53.47,40.6,0.0
Lithuania,2021-05-21,10,14,0.0,0.0,0.0
Lithuania,2021-05-21,15,17,1.59,0.91,0.0
Lithuania,2021-05-21,18,24,23.46,10.69,0.0
Lithuania,2021-05-21,25,49,29.06,11.43,0.0
Lithuania,2021-05-21,50,59,42.22,20.06,0.0
Lithuania,2021-05-21,60,69,54.22,33.34,0.0
Lithuania,2021-05-21,70,79,65.44,47.68,0.0
Lithuania,2021-05-21,80,,54.15,45.62,0.0
Lithuania,2021-05-28,10,14,0.0,0.0,0.0
Lithuania,2021-05-28,15,17,2.26,1.02,0.0
Lithuania,2021-05-28,18,24,25.93,12.19,0.0
Lithuania,2021-05-28,25,49,33.82,13.96,0.0
Lithuania,2021-05-28,50,59,45.83,23.79,0.0
Lithuania,2021-05-28,60,69,56.32,36.84,0.0
Lithuania,2021-05-28,70,79,66.2,51.92,0.0
Lithuania,2021-05-28,80,,54.79,48.42,0.0
Lithuania,2021-06-04,10,14,0.0,0.0,0.0
Lithuania,2021-06-04,15,17,9.32,1.2,0.0
Lithuania,2021-06-04,18,24,37.17,15.09,0.0
Lithuania,2021-06-04,25,49,39.92,17.46,0.0
Lithuania,2021-06-04,50,59,48.17,28.79,0.0
