location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Luxembourg,2021-01-01,60,69,0.0,0.0,0.0
Luxembourg,2021-01-08,18,24,0.02,0.0,0.0
Luxembourg,2021-01-08,25,49,0.19,0.0,0.0
Luxembourg,2021-01-08,50,59,0.27,0.0,0.0
Luxembourg,2021-01-08,60,69,0.21,0.0,0.0
Luxembourg,2021-01-08,70,79,0.17,0.0,0.0
Luxembourg,2021-01-08,80,,1.36,0.0,0.0
Luxembourg,2021-01-15,18,24,0.04,0.0,0.0
Luxembourg,2021-01-15,25,49,0.4,0.0,0.0
Luxembourg,2021-01-15,50,59,0.54,0.0,0.0
Luxembourg,2021-01-15,60,69,0.38,0.0,0.0
Luxembourg,2021-01-15,70,79,0.36,0.0,0.0
Luxembourg,2021-01-15,80,,3.45,0.0,0.0
Luxembourg,2021-01-22,18,24,0.2,0.02,0.0
Luxembourg,2021-01-22,25,49,0.8,0.18,0.0
Luxembourg,2021-01-22,50,59,1.07,0.27,0.0
Luxembourg,2021-01-22,60,69,0.62,0.17,0.0
Luxembourg,2021-01-22,70,79,0.43,0.02,0.0
Luxembourg,2021-01-22,80,,3.46,0.01,0.0
Luxembourg,2021-01-29,15,17,0.01,0.0,0.0
Luxembourg,2021-01-29,18,24,0.36,0.02,0.0
Luxembourg,2021-01-29,25,49,1.29,0.19,0.0
Luxembourg,2021-01-29,50,59,1.68,0.28,0.0
Luxembourg,2021-01-29,60,69,0.97,0.21,0.0
Luxembourg,2021-01-29,70,79,0.87,0.17,0.0
Luxembourg,2021-01-29,80,,6.07,1.29,0.0
Luxembourg,2021-02-05,15,17,0.01,0.0,0.0
Luxembourg,2021-02-05,18,24,0.5,0.04,0.0
Luxembourg,2021-02-05,25,49,1.61,0.39,0.0
Luxembourg,2021-02-05,50,59,2.07,0.54,0.0
Luxembourg,2021-02-05,60,69,1.19,0.38,0.0
Luxembourg,2021-02-05,70,79,1.17,0.35,0.0
Luxembourg,2021-02-05,80,,9.7,3.29,0.0
Luxembourg,2021-02-12,15,17,0.01,0.0,0.0
Luxembourg,2021-02-12,18,24,0.72,0.16,0.0
Luxembourg,2021-02-12,25,49,2.07,0.67,0.0
Luxembourg,2021-02-12,50,59,2.56,0.88,0.0
Luxembourg,2021-02-12,60,69,1.53,0.52,0.0
Luxembourg,2021-02-12,70,79,1.41,0.4,0.0
Luxembourg,2021-02-12,80,,10.74,3.32,0.0
Luxembourg,2021-02-19,15,17,0.02,0.0,0.0
Luxembourg,2021-02-19,18,24,1.16,0.25,0.0
Luxembourg,2021-02-19,25,49,2.76,0.98,0.0
Luxembourg,2021-02-19,50,59,3.35,1.3,0.0
Luxembourg,2021-02-19,60,69,1.92,0.68,0.0
Luxembourg,2021-02-19,70,79,1.89,0.45,0.0
Luxembourg,2021-02-19,80,,17.0,3.37,0.0
Luxembourg,2021-02-26,15,17,0.03,0.01,0.0
Luxembourg,2021-02-26,18,24,1.34,0.36,0.0
Luxembourg,2021-02-26,25,49,3.08,1.29,0.0
Luxembourg,2021-02-26,50,59,3.74,1.69,0.0
Luxembourg,2021-02-26,60,69,2.12,0.96,0.0
Luxembourg,2021-02-26,70,79,2.02,0.86,0.0
Luxembourg,2021-02-26,80,,23.29,5.87,0.0
Luxembourg,2021-03-05,15,17,0.03,0.01,0.0
Luxembourg,2021-03-05,18,24,1.49,0.51,0.0
Luxembourg,2021-03-05,25,49,3.23,1.65,0.0
Luxembourg,2021-03-05,50,59,3.95,2.14,0.0
Luxembourg,2021-03-05,60,69,3.51,1.19,0.0
Luxembourg,2021-03-05,70,79,2.31,1.14,0.0
Luxembourg,2021-03-05,80,,37.28,9.35,0.0
Luxembourg,2021-03-12,15,17,0.03,0.01,0.0
Luxembourg,2021-03-12,18,24,1.7,0.61,0.0
Luxembourg,2021-03-12,25,49,3.34,1.79,0.0
Luxembourg,2021-03-12,50,59,4.21,2.29,0.0
Luxembourg,2021-03-12,60,69,4.81,1.35,0.0
Luxembourg,2021-03-12,70,79,7.16,1.36,0.0
Luxembourg,2021-03-12,80,,66.16,10.39,0.0
Luxembourg,2021-03-19,15,17,0.03,0.02,0.0
Luxembourg,2021-03-19,18,24,1.84,0.77,0.0
Luxembourg,2021-03-19,25,49,3.49,1.88,0.0
Luxembourg,2021-03-19,50,59,4.55,2.4,0.0
Luxembourg,2021-03-19,60,69,5.46,1.55,0.0
Luxembourg,2021-03-19,70,79,23.37,1.83,0.0
Luxembourg,2021-03-19,80,,85.68,16.22,0.0
Luxembourg,2021-03-26,15,17,0.03,0.03,0.0
Luxembourg,2021-03-26,18,24,2.0,0.89,0.0
Luxembourg,2021-03-26,25,49,3.72,2.04,0.0
