location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Malta,2021-01-01,18,24,0.01,0.0,0.0
Malta,2021-01-01,25,49,0.02,0.0,0.0
Malta,2021-01-01,50,59,0.03,0.0,0.0
Malta,2021-01-01,60,69,0.01,0.0,0.0
Malta,2021-01-08,18,24,0.45,0.0,0.0
Malta,2021-01-08,25,49,1.09,0.0,0.0
Malta,2021-01-08,50,59,1.7,0.0,0.0
Malta,2021-01-08,60,69,0.74,0.0,0.0
Malta,2021-01-08,70,79,0.32,0.0,0.0
Malta,2021-01-08,80,,2.13,0.01,0.0
Malta,2021-01-15,0,17,0.0,0.0,0.0
Malta,2021-01-15,18,24,0.9,0.01,0.0
Malta,2021-01-15,25,49,1.92,0.02,0.0
Malta,2021-01-15,50,59,2.93,0.03,0.0
Malta,2021-01-15,60,69,1.34,0.01,0.0
Malta,2021-01-15,70,79,0.75,0.0,0.0
Malta,2021-01-15,80,,16.48,0.03,0.0
Malta,2021-01-22,0,17,0.0,0.0,0.0
Malta,2021-01-22,18,24,1.42,0.16,0.0
Malta,2021-01-22,25,49,2.78,0.43,0.0
Malta,2021-01-22,50,59,4.43,0.6,0.0
Malta,2021-01-22,60,69,1.97,0.21,0.0
Malta,2021-01-22,70,79,1.4,0.05,0.0
Malta,2021-01-22,80,,28.89,0.48,0.0
Malta,2021-01-29,0,17,0.0,0.0,0.0
Malta,2021-01-29,18,24,1.75,0.45,0.0
Malta,2021-01-29,25,49,3.63,1.12,0.0
Malta,2021-01-29,50,59,5.8,1.72,0.0
Malta,2021-01-29,60,69,2.59,0.74,0.0
Malta,2021-01-29,70,79,1.92,0.3,0.0
Malta,2021-01-29,80,,34.61,2.02,0.0
Malta,2021-02-05,0,17,0.01,0.0,0.0
Malta,2021-02-05,18,24,2.16,0.88,0.0
Malta,2021-02-05,25,49,4.43,2.01,0.0
Malta,2021-02-05,50,59,7.01,2.93,0.0
Malta,2021-02-05,60,69,3.29,1.32,0.0
Malta,2021-02-05,70,79,2.46,0.7,0.0
Malta,2021-02-05,80,,49.15,15.99,0.0
Malta,2021-02-12,0,17,0.01,0.0,0.0
Malta,2021-02-12,18,24,2.82,1.17,0.0
Malta,2021-02-12,25,49,5.19,2.19,0.0
Malta,2021-02-12,50,59,7.92,4.4,0.0
Malta,2021-02-12,60,69,3.93,1.93,0.0
Malta,2021-02-12,70,79,2.84,1.33,0.0
Malta,2021-02-12,80,,64.29,28.09,0.0
Malta,2021-02-19,0,17,0.01,0.0,0.0
Malta,2021-02-19,18,24,4.32,1.53,0.0
Malta,2021-02-19,25,49,7.7,3.03,0.0
Malta,2021-02-19,50,59,10.27,5.79,0.0
Malta,2021-02-19,60,69,5.73,2.54,0.0
Malta,2021-02-19,70,79,4.89,1.85,0.0
Malta,2021-02-19,80,,73.36,33.68,0.0
Malta,2021-02-26,0,17,0.06,0.0,0.0
Malta,2021-02-26,18,24,8.17,1.93,0.0
Malta,2021-02-26,25,49,12.33,3.85,0.0
Malta,2021-02-26,50,59,14.59,7.0,0.0
Malta,2021-02-26,60,69,9.23,3.24,0.0
Malta,2021-02-26,70,79,8.57,2.4,0.0
Malta,2021-02-26,80,,77.47,47.29,0.0
Malta,2021-03-05,0,17,0.08,0.0,0.0
Malta,2021-03-05,18,24,10.28,2.41,0.0
Malta,2021-03-05,25,49,16.79,4.5,0.0
Malta,2021-03-05,50,59,21.65,7.79,0.0
