location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Netherlands,2021-01-08,18,24,0.05,0.0,0.0
Netherlands,2021-01-08,25,49,0.39,0.0,0.0
Netherlands,2021-01-08,50,59,0.3,0.0,0.0
Netherlands,2021-01-08,60,69,0.23,0.0,0.0
Netherlands,2021-01-08,70,79,0.01,0.0,0.0
Netherlands,2021-01-08,80,,0.0,0.0,0.0
Netherlands,2021-01-15,18,24,0.19,0.0,0.0
Netherlands,2021-01-15,25,49,0.67,0.0,0.0
Netherlands,2021-01-15,50,59,0.78,0.0,0.0
Netherlands,2021-01-15,60,69,0.74,0.0,0.0
Netherlands,2021-01-15,70,79,0.04,0.0,0.0
Netherlands,2021-01-15,80,,0.01,0.0,0.0
Netherlands,2021-01-22,15,17,0.0,0.0,0.0
Netherlands,2021-01-22,18,24,0.53,0.0,0.0
Netherlands,2021-01-22,25,49,1.21,0.0,0.0
Netherlands,2021-01-22,50,59,1.75,0.0,0.0
Netherlands,2021-01-22,60,69,1.78,0.0,0.0
Netherlands,2021-01-22,70,79,0.19,0.0,0.0
Netherlands,2021-01-22,80,,0.2,0.0,0.0
Netherlands,2021-01-29,15,17,0.0,0.0,0.0
Netherlands,2021-01-29,18,24,0.9,0.03,0.0
Netherlands,2021-01-29,25,49,1.81,0.22,0.0
Netherlands,2021-01-29,50,59,2.77,0.18,0.0
Netherlands,2021-01-29,60,69,2.93,0.13,0.0
Netherlands,2021-01-29,70,79,0.56,0.0,0.0
Netherlands,2021-01-29,80,,3.11,0.0,0.0
Netherlands,2021-02-05,15,17,0.0,0.0,0.0
Netherlands,2021-02-05,18,24,1.12,0.14,0.0
Netherlands,2021-02-05,25,49,2.23,0.57,0.0
Netherlands,2021-02-05,50,59,3.39,0.61,0.0
Netherlands,2021-02-05,60,69,3.6,0.56,0.0
Netherlands,2021-02-05,70,79,0.84,0.03,0.0
Netherlands,2021-02-05,80,,11.59,0.0,0.0
Netherlands,2021-02-12,15,17,0.0,0.0,0.0
Netherlands,2021-02-12,18,24,1.15,0.48,0.0
Netherlands,2021-02-12,25,49,2.28,1.05,0.0
Netherlands,2021-02-12,50,59,3.45,1.54,0.0
Netherlands,2021-02-12,60,69,3.68,1.58,0.0
Netherlands,2021-02-12,70,79,0.88,0.17,0.0
Netherlands,2021-02-12,80,,23.06,0.19,0.0
Netherlands,2021-02-19,15,17,0.0,0.0,0.0
Netherlands,2021-02-19,18,24,1.37,0.78,0.0
Netherlands,2021-02-19,25,49,2.71,1.48,0.0
Netherlands,2021-02-19,50,59,4.03,2.33,0.0
Netherlands,2021-02-19,60,69,4.68,2.42,0.0
Netherlands,2021-02-19,70,79,0.98,0.23,0.0
Netherlands,2021-02-19,80,,31.89,0.21,0.0
Netherlands,2021-02-26,15,17,0.0,0.0,0.0
Netherlands,2021-02-26,18,24,1.66,1.01,0.0
Netherlands,2021-02-26,25,49,3.35,1.88,0.0
Netherlands,2021-02-26,50,59,4.84,2.98,0.0
Netherlands,2021-02-26,60,69,7.81,3.15,0.0
Netherlands,2021-02-26,70,79,1.19,0.56,0.0
Netherlands,2021-02-26,80,,41.2,1.72,0.0
Netherlands,2021-03-05,15,17,0.0,0.0,0.0
Netherlands,2021-03-05,18,24,1.77,1.09,0.0
Netherlands,2021-03-05,25,49,3.62,2.15,0.0
Netherlands,2021-03-05,50,59,5.22,3.3,0.0
Netherlands,2021-03-05,60,69,10.1,3.5,0.0
Netherlands,2021-03-05,70,79,1.39,0.81,0.0
Netherlands,2021-03-05,80,,52.98,3.82,0.0
Netherlands,2021-03-12,15,17,0.0,0.0,0.0
Netherlands,2021-03-12,18,24,2.06,1.11,0.0
Netherlands,2021-03-12,25,49,4.11,2.19,0.0
Netherlands,2021-03-12,50,59,5.95,3.34,0.0
Netherlands,2021-03-12,60,69,11.83,3.56,0.0
Netherlands,2021-03-12,70,79,1.59,0.83,0.0
Netherlands,2021-03-12,80,,61.49,10.85,0.0
Netherlands,2021-03-19,15,17,0.0,0.0,0.0
