location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Norway,2021-01-01,18,24,0.0,0.0,0.0
Norway,2021-01-01,25,49,0.0,0.0,0.0
Norway,2021-01-01,50,59,0.0,0.0,0.0
Norway,2021-01-01,60,69,0.0,0.0,0.0
Norway,2021-01-01,70,79,0.0,0.0,0.0
Norway,2021-01-01,80,,0.0,0.0,0.0
Norway,2021-01-08,0,17,0.0,0.0,0.0
Norway,2021-01-08,18,24,0.03,0.0,0.0
Norway,2021-01-08,25,49,0.06,0.0,0.0
Norway,2021-01-08,50,59,0.1,0.0,0.0
Norway,2021-01-08,60,69,0.25,0.0,0.0
Norway,2021-01-08,70,79,0.88,0.0,0.0
Norway,2021-01-08,80,,6.67,0.0,0.0
Norway,2021-01-15,0,17,0.0,0.0,0.0
Norway,2021-01-15,18,24,0.17,0.0,0.0
Norway,2021-01-15,25,49,0.53,0.0,0.0
Norway,2021-01-15,50,59,0.55,0.0,0.0
Norway,2021-01-15,60,69,0.62,0.0,0.0
Norway,2021-01-15,70,79,1.41,0.0,0.0
Norway,2021-01-15,80,,11.73,0.0,0.0
Norway,2021-01-22,0,17,0.0,0.0,0.0
Norway,2021-01-22,18,24,0.3,0.0,0.0
Norway,2021-01-22,25,49,1.0,0.01,0.0
Norway,2021-01-22,50,59,0.96,0.01,0.0
Norway,2021-01-22,60,69,0.95,0.03,0.0
Norway,2021-01-22,70,79,1.78,0.09,0.0
Norway,2021-01-22,80,,17.02,0.56,0.0
Norway,2021-01-29,0,17,0.0,0.0,0.0
Norway,2021-01-29,18,24,0.44,0.02,0.0
Norway,2021-01-29,25,49,1.28,0.06,0.0
Norway,2021-01-29,50,59,1.27,0.09,0.0
Norway,2021-01-29,60,69,1.21,0.23,0.0
Norway,2021-01-29,70,79,2.09,0.8,0.0
Norway,2021-01-29,80,,24.94,6.12,0.0
Norway,2021-02-05,0,17,0.01,0.0,0.0
Norway,2021-02-05,18,24,0.64,0.14,0.0
Norway,2021-02-05,25,49,1.73,0.49,0.0
Norway,2021-02-05,50,59,1.8,0.51,0.0
Norway,2021-02-05,60,69,1.63,0.58,0.0
Norway,2021-02-05,70,79,3.53,1.32,0.0
Norway,2021-02-05,80,,45.06,10.95,0.0
Norway,2021-02-12,0,17,0.01,0.0,0.0
Norway,2021-02-12,18,24,0.8,0.27,0.0
Norway,2021-02-12,25,49,2.06,0.95,0.0
Norway,2021-02-12,50,59,2.19,0.92,0.0
Norway,2021-02-12,60,69,1.95,0.91,0.0
Norway,2021-02-12,70,79,6.15,1.65,0.0
Norway,2021-02-12,80,,59.98,15.6,0.0
Norway,2021-02-19,0,17,0.01,0.0,0.0
Norway,2021-02-19,18,24,1.14,0.4,0.0
Norway,2021-02-19,25,49,2.88,1.24,0.0
Norway,2021-02-19,50,59,3.08,1.23,0.0
Norway,2021-02-19,60,69,2.52,1.16,0.0
Norway,2021-02-19,70,79,8.36,1.96,0.0
Norway,2021-02-19,80,,69.52,23.72,0.0
Norway,2021-02-26,0,17,0.01,0.0,0.0
Norway,2021-02-26,18,24,1.95,0.56,0.0
Norway,2021-02-26,25,49,3.97,1.62,0.0
Norway,2021-02-26,50,59,4.41,1.7,0.0
Norway,2021-02-26,60,69,3.23,1.53,0.0
Norway,2021-02-26,70,79,8.65,3.32,0.0
Norway,2021-02-26,80,,70.3,43.22,0.0
Norway,2021-03-05,0,17,0.01,0.0,0.0
Norway,2021-03-05,18,24,3.15,0.69,0.0
Norway,2021-03-05,25,49,5.44,1.91,0.0
Norway,2021-03-05,50,59,6.15,2.06,0.0
Norway,2021-03-05,60,69,4.37,1.82,0.0
Norway,2021-03-05,70,79,9.82,5.03,0.0
Norway,2021-03-05,80,,73.19,56.32,0.0
Norway,2021-03-12,0,17,0.02,0.0,0.0
Norway,2021-03-12,18,24,3.94,0.82,0.0
Norway,2021-03-12,25,49,6.28,2.14,0.0
Norway,2021-03-12,50,59,7.45,2.34,0.0
Norway,2021-03-12,60,69,5.77,2.07,0.0
Norway,2021-03-12,70,79,11.38,7.92,0.0
Norway,2021-03-12,80,,77.54,67.6,0.0
Norway,2021-03-19,0,17,0.02,0.0,0.0
Norway,2021-03-19,18,24,4.05,0.85,0.0
Norway,2021-03-19,25,49,6.4,2.21,0.0
Norway,2021-03-19,50,59,7.64,2.41,0.0
Norway,2021-03-19,60,69,6.17,2.17,0.0
Norway,2021-03-19,70,79,18.75,8.21,0.0
Norway,2021-03-19,80,,85.23,68.57,0.0
Norway,2021-03-26,0,17,0.02,0.0,0.0
Norway,2021-03-26,18,24,4.46,0.88,0.0
Norway,2021-03-26,25,49,7.22,2.26,0.0
Norway,2021-03-26,50,59,8.6,2.48,0.0
Norway,2021-03-26,60,69,7.54,2.34,0.0
Norway,2021-03-26,70,79,34.54,8.81,0.0
Norway,2021-03-26,80,,88.53,70.25,0.0
Norway,2021-04-02,0,17,0.03,0.0,0.0
Norway,2021-04-02,18,24,4.78,0.9,0.0
Norway,2021-04-02,25,49,7.79,2.29,0.0
Norway,2021-04-02,50,59,9.59,2.54,0.0
Norway,2021-04-02,60,69,9.55,2.49,0.0
Norway,2021-04-02,70,79,46.78,9.9,0.0
Norway,2021-04-02,80,,89.47,73.69,0.0
Norway,2021-04-09,0,17,0.04,0.0,0.0
Norway,2021-04-09,18,24,5.39,0.96,0.0
Norway,2021-04-09,25,49,8.78,2.35,0.0
Norway,2021-04-09,50,59,11.91,2.62,0.0
Norway,2021-04-09,60,69,15.05,2.62,0.0
Norway,2021-04-09,70,79,67.4,10.95,0.0
Norway,2021-04-09,80,,90.26,75.7,0.0
Norway,2021-04-16,0,17,0.05,0.01,0.0
Norway,2021-04-16,18,24,6.02,1.0,0.0
Norway,2021-04-16,25,49,9.68,2.4,0.0
Norway,2021-04-16,50,59,14.57,2.71,0.0
Norway,2021-04-16,60,69,28.63,2.74,0.0
Norway,2021-04-16,70,79,83.75,11.31,0.0
Norway,2021-04-16,80,,90.89,76.04,0.0
Norway,2021-04-23,0,17,0.07,0.01,0.0
Norway,2021-04-23,18,24,6.58,1.08,0.0
Norway,2021-04-23,25,49,10.57,2.54,0.0
Norway,2021-04-23,50,59,17.28,2.98,0.0
Norway,2021-04-23,60,69,44.12,3.03,0.0
Norway,2021-04-23,70,79,89.29,11.58,0.0
Norway,2021-04-23,80,,91.24,76.46,0.0
Norway,2021-04-30,0,17,0.08,0.02,0.0
Norway,2021-04-30,18,24,7.35,1.23,0.0
Norway,2021-04-30,25,49,12.13,2.81,0.0
Norway,2021-04-30,50,59,23.16,3.42,0.0
Norway,2021-04-30,60,69,57.44,3.67,0.0
Norway,2021-04-30,70,79,91.33,18.56,0.0
Norway,2021-04-30,80,,91.56,83.78,0.01
Norway,2021-05-07,0,17,0.09,0.02,0.0
Norway,2021-05-07,18,24,8.16,1.61,0.0
Norway,2021-05-07,25,49,13.9,3.49,0.0
Norway,2021-05-07,50,59,27.11,4.32,0.0
