location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Peru,2021-02-13,0,17.0,0.0,,
Peru,2021-02-13,18,24.0,0.0429,,
Peru,2021-02-13,25,49.0,0.6269,,
Peru,2021-02-13,50,59.0,0.5704,,
Peru,2021-02-13,60,69.0,0.3279,,
Peru,2021-02-13,70,79.0,0.0059,,
Peru,2021-02-13,80,,0.001,,
Peru,2021-02-20,0,17.0,0.0001,,
Peru,2021-02-20,18,24.0,0.1561,,
Peru,2021-02-20,25,49.0,1.129,,
Peru,2021-02-20,50,59.0,1.0377,,
Peru,2021-02-20,60,69.0,0.7783,,
Peru,2021-02-20,70,79.0,0.018,,
Peru,2021-02-20,80,,0.0037,,
Peru,2021-02-27,0,17.0,0.0001,,
Peru,2021-02-27,18,24.0,0.3138,,
Peru,2021-02-27,25,49.0,1.7747,,
Peru,2021-02-27,50,59.0,1.6734,,
Peru,2021-02-27,60,69.0,1.503,,
Peru,2021-02-27,70,79.0,0.0571,,
Peru,2021-02-27,80,,0.0111,,
Peru,2021-03-06,0,17.0,0.0003,0.0,
Peru,2021-03-06,18,24.0,0.3675,0.0355,
Peru,2021-03-06,25,49.0,1.9587,0.5453,
Peru,2021-03-06,50,59.0,1.8282,0.5194,
Peru,2021-03-06,60,69.0,1.7263,0.3052,
Peru,2021-03-06,70,79.0,0.0798,0.0058,
Peru,2021-03-06,80,,0.0162,0.0001,
Peru,2021-03-13,0,17.0,0.0005,0.0001,
Peru,2021-03-13,18,24.0,0.6361,0.1227,
Peru,2021-03-13,25,49.0,2.2015,0.9892,
Peru,2021-03-13,50,59.0,2.2565,0.9401,
Peru,2021-03-13,60,69.0,1.9231,0.709,
Peru,2021-03-13,70,79.0,0.297,0.0184,
Peru,2021-03-13,80,,1.983,0.0054,
Peru,2021-03-20,0,17.0,0.0014,0.0001,
Peru,2021-03-20,18,24.0,1.0826,0.2722,
Peru,2021-03-20,25,49.0,2.6016,1.6196,
Peru,2021-03-20,50,59.0,2.5172,1.5745,
Peru,2021-03-20,60,69.0,2.2043,1.4265,
Peru,2021-03-20,70,79.0,1.1353,0.0568,
Peru,2021-03-20,80,,8.2837,0.0117,
Peru,2021-03-27,0,17.0,0.0016,0.0002,
Peru,2021-03-27,18,24.0,1.4362,0.328,
Peru,2021-03-27,25,49.0,2.7738,1.8293,
Peru,2021-03-27,50,59.0,2.6482,1.7449,
Peru,2021-03-27,60,69.0,2.4617,1.6577,
Peru,2021-03-27,70,79.0,1.8764,0.0798,
Peru,2021-03-27,80,,12.2643,0.016,
Peru,2021-04-03,0,17.0,0.0017,0.0003,
Peru,2021-04-03,18,24.0,1.4897,0.5686,
Peru,2021-04-03,25,49.0,2.8712,2.0384,
Peru,2021-04-03,50,59.0,2.7195,2.1476,
Peru,2021-04-03,60,69.0,2.5513,1.826,
Peru,2021-04-03,70,79.0,1.9912,0.2609,
Peru,2021-04-03,80,,13.1308,1.7913,
Peru,2021-04-10,0,17.0,0.0019,0.0006,
Peru,2021-04-10,18,24.0,1.7224,0.8309,
Peru,2021-04-10,25,49.0,3.2405,2.3439,
Peru,2021-04-10,50,59.0,2.9699,2.3728,
Peru,2021-04-10,60,69.0,2.7116,2.0887,
Peru,2021-04-10,70,79.0,2.1284,0.9609,
Peru,2021-04-10,80,,13.3971,6.8375,
Peru,2021-04-17,0,17.0,0.002,0.0007,
Peru,2021-04-17,18,24.0,1.8902,1.3327,
Peru,2021-04-17,25,49.0,3.2856,2.6579,
Peru,2021-04-17,50,59.0,3.0029,2.5722,
Peru,2021-04-17,60,69.0,2.7354,2.381,
Peru,2021-04-17,70,79.0,2.2067,1.767,
Peru,2021-04-17,80,,19.7336,11.5171,
Peru,2021-04-24,0,17.0,0.0023,0.0008,
Peru,2021-04-24,18,24.0,1.9781,1.4152,
Peru,2021-04-24,25,49.0,3.4794,2.7703,
Peru,2021-04-24,50,59.0,3.2066,2.6531,
Peru,2021-04-24,60,69.0,2.808,2.4815,
Peru,2021-04-24,70,79.0,3.1726,1.8758,
Peru,2021-04-24,80,,30.2918,12.5561,
Peru,2021-05-01,0,17.0,0.0024,0.001,
Peru,2021-05-01,18,24.0,2.0397,1.5883,
Peru,2021-05-01,25,49.0,3.5429,3.1035,
Peru,2021-05-01,50,59.0,3.2433,2.8799,
Peru,2021-05-01,60,69.0,3.5866,2.6272,
Peru,2021-05-01,70,79.0,13.9872,1.9867,
Peru,2021-05-01,80,,47.5263,12.7884,
Peru,2021-05-08,0,17.0,0.003,0.0011,
Peru,2021-05-08,18,24.0,2.1391,1.7341,
Peru,2021-05-08,25,49.0,3.5892,3.1686,
Peru,2021-05-08,50,59.0,3.262,2.9258,
Peru,2021-05-08,60,69.0,4.6874,2.6682,
Peru,2021-05-08,70,79.0,27.272,2.0947,
Peru,2021-05-08,80,,60.0507,17.9679,
Peru,2021-05-15,0,17.0,0.0039,0.0014,
Peru,2021-05-15,18,24.0,2.3375,1.873,
Peru,2021-05-15,25,49.0,3.7251,3.3116,
Peru,2021-05-15,50,59.0,3.3496,3.0904,
Peru,2021-05-15,60,69.0,7.182,2.7356,
Peru,2021-05-15,70,79.0,49.576,2.9548,
Peru,2021-05-15,80,,65.0641,28.342,
Peru,2021-05-22,0,17.0,0.0046,0.0015,
Peru,2021-05-22,18,24.0,2.4762,1.9217,
Peru,2021-05-22,25,49.0,3.8414,3.3891,
Peru,2021-05-22,50,59.0,3.526,3.1574,
Peru,2021-05-22,60,69.0,16.0878,2.9749,
Peru,2021-05-22,70,79.0,65.8502,9.7984,
Peru,2021-05-22,80,,68.8921,39.0444,
Peru,2021-05-29,0,17.0,0.0059,0.0018,
Peru,2021-05-29,18,24.0,2.6326,2.0314,
Peru,2021-05-29,25,49.0,4.0194,3.4837,
Peru,2021-05-29,50,59.0,4.2863,3.1977,
Peru,2021-05-29,60,69.0,35.8142,3.4339,
Peru,2021-05-29,70,79.0,70.5259,20.6532,
Peru,2021-05-29,80,,71.0496,51.1313,
Peru,2021-06-05,0,17.0,0.007,0.0023,
Peru,2021-06-05,18,24.0,2.7293,2.0978,
Peru,2021-06-05,25,49.0,4.146,3.5313,
Peru,2021-06-05,50,59.0,5.055,3.2313,
Peru,2021-06-05,60,69.0,46.8403,3.9901,
Peru,2021-06-05,70,79.0,72.1644,34.1609,
Peru,2021-06-05,80,,72.2719,54.2638,
Peru,2021-06-12,0,17.0,0.0078,0.0031,
Peru,2021-06-12,18,24.0,2.8055,2.2032,
Peru,2021-06-12,25,49.0,4.2612,3.6269,
Peru,2021-06-12,50,59.0,6.7677,3.3636,
Peru,2021-06-12,60,69.0,64.4694,11.8427,
Peru,2021-06-12,70,79.0,74.9782,58.8565,
Peru,2021-06-12,80,,74.5181,63.225,
Peru,2021-06-19,0,17.0,0.0088,0.0042,
Peru,2021-06-19,18,24.0,2.956,2.41,
Peru,2021-06-19,25,49.0,4.598,3.839,
Peru,2021-06-19,50,59.0,8.1432,4.0475,
Peru,2021-06-19,60,69.0,69.7393,31.7128,
Peru,2021-06-19,70,79.0,77.3271,66.7297,
Peru,2021-06-19,80,,76.4782,67.1431,
Peru,2021-06-26,0,17.0,0.0099,0.0048,
Peru,2021-06-26,18,24.0,3.2087,2.5847,
Peru,2021-06-26,25,49.0,5.0245,4.0195,
Peru,2021-06-26,50,59.0,13.957,4.7708,
Peru,2021-06-26,60,69.0,72.2289,44.0064,
Peru,2021-06-26,70,79.0,79.2203,69.1308,
Peru,2021-06-26,80,,78.2957,68.9581,
Peru,2021-07-03,0,17.0,0.0112,0.0054,
Peru,2021-07-03,18,24.0,3.3647,2.6727,
Peru,2021-07-03,25,49.0,5.3452,4.1256,
Peru,2021-07-03,50,59.0,27.0548,6.0988,
Peru,2021-07-03,60,69.0,74.1634,59.8788,
Peru,2021-07-03,70,79.0,80.6685,71.3888,
Peru,2021-07-03,80,,79.6119,70.6858,
Peru,2021-07-10,0,17.0,0.0136,0.006,
Peru,2021-07-10,18,24.0,3.6197,2.798,
Peru,2021-07-10,25,49.0,7.5164,4.422,
Peru,2021-07-10,50,59.0,47.606,7.4599,
Peru,2021-07-10,60,69.0,76.7034,65.9029,
Peru,2021-07-10,70,79.0,82.3122,73.658,
Peru,2021-07-10,80,,81.0109,72.6047,
Peru,2021-07-17,0,17.0,0.016,0.0068,
Peru,2021-07-17,18,24.0,3.8658,2.9998,
Peru,2021-07-17,25,49.0,11.2214,4.7844,
Peru,2021-07-17,50,59.0,61.027,12.4158,
Peru,2021-07-17,60,69.0,78.2812,68.9389,
Peru,2021-07-17,70,79.0,83.3331,75.8948,
Peru,2021-07-17,80,,81.806,74.6711,
Peru,2021-07-24,0,17.0,0.0294,0.0076,
Peru,2021-07-24,18,24.0,4.4869,3.1347,
Peru,2021-07-24,25,49.0,16.3841,5.0831,
Peru,2021-07-24,50,59.0,66.429,23.8206,
Peru,2021-07-24,60,69.0,79.4359,70.8985,
Peru,2021-07-24,70,79.0,84.0571,77.4912,
Peru,2021-07-24,80,,82.3244,76.0974,
Peru,2021-07-31,0,17.0,0.0379,0.0086,
Peru,2021-07-31,18,24.0,4.7525,3.2761,
Peru,2021-07-31,25,49.0,18.8957,6.5712,
Peru,2021-07-31,50,59.0,68.9014,41.1189,
Peru,2021-07-31,60,69.0,80.1019,73.1916,
Peru,2021-07-31,70,79.0,84.4945,79.0753,
Peru,2021-07-31,80,,82.6508,77.4817,
Peru,2021-08-07,0,17.0,0.0434,0.0106,
Peru,2021-08-07,18,24.0,5.249,3.4834,
Peru,2021-08-07,25,49.0,23.2384,9.8455,
Peru,2021-08-07,50,59.0,71.6284,54.884,
Peru,2021-08-07,60,69.0,80.9995,75.238,
Peru,2021-08-07,70,79.0,85.1313,80.4353,
Peru,2021-08-07,80,,83.0793,78.5761,
Peru,2021-08-14,0,17.0,0.0533,0.0181,
Peru,2021-08-14,18,24.0,5.6152,3.894,
Peru,2021-08-14,25,49.0,26.3616,13.5896,
Peru,2021-08-14,50,59.0,73.458,60.0923,
Peru,2021-08-14,60,69.0,81.785,76.4675,
Peru,2021-08-14,70,79.0,85.7732,81.2617,
Peru,2021-08-14,80,,83.5152,79.1944,
Peru,2021-08-21,0,17.0,0.0746,0.0276,
Peru,2021-08-21,18,24.0,5.8922,4.1647,
Peru,2021-08-21,25,49.0,29.1638,16.9612,
Peru,2021-08-21,50,59.0,74.9422,64.2018,
Peru,2021-08-21,60,69.0,82.5893,77.5193,
Peru,2021-08-21,70,79.0,86.4289,81.9714,
Peru,2021-08-21,80,,83.9558,79.7656,
Peru,2021-08-28,0,17.0,0.0956,0.0365,
Peru,2021-08-28,18,24.0,6.2498,4.5245,
Peru,2021-08-28,25,49.0,33.3948,20.3902,
Peru,2021-08-28,50,59.0,76.812,67.7199,
Peru,2021-08-28,60,69.0,83.5364,78.584,
Peru,2021-08-28,70,79.0,87.0858,82.7527,
Peru,2021-08-28,80,,84.4326,80.3485,
Peru,2021-09-04,0,17.0,0.1174,0.0455,
Peru,2021-09-04,18,24.0,6.7073,4.9718,
Peru,2021-09-04,25,49.0,39.7922,23.9931,
Peru,2021-09-04,50,59.0,78.705,69.8869,
Peru,2021-09-04,60,69.0,84.4593,79.3786,
Peru,2021-09-04,70,79.0,87.6858,83.3326,
Peru,2021-09-04,80,,84.8378,80.7512,
Peru,2021-09-11,0,17.0,0.2848,0.0623,
Peru,2021-09-11,18,24.0,9.6527,5.2041,
Peru,2021-09-11,25,49.0,53.4498,26.4609,
Peru,2021-09-11,50,59.0,81.0584,71.6399,
Peru,2021-09-11,60,69.0,85.7974,80.2101,
Peru,2021-09-11,70,79.0,88.5244,83.9626,
Peru,2021-09-11,80,,85.416,81.1625,
Peru,2021-09-18,0,17.0,0.7626,0.083,
Peru,2021-09-18,18,24.0,21.6188,5.5758,
Peru,2021-09-18,25,49.0,63.6542,30.0186,
Peru,2021-09-18,50,59.0,82.6487,73.3773,
Peru,2021-09-18,60,69.0,86.7633,81.1434,
Peru,2021-09-18,70,79.0,89.1692,84.6421,
Peru,2021-09-18,80,,85.8788,81.6282,
Peru,2021-09-25,0,17.0,0.8792,0.1028,
Peru,2021-09-25,18,24.0,28.9637,5.9182,
Peru,2021-09-25,25,49.0,67.8268,35.1823,
Peru,2021-09-25,50,59.0,83.5402,75.2524,
Peru,2021-09-25,60,69.0,87.3225,82.1063,
Peru,2021-09-25,70,79.0,89.5554,85.3398,
Peru,2021-09-25,80,,86.17,82.1067,
Peru,2021-10-02,0,17.0,0.9317,0.2406,
Peru,2021-10-02,18,24.0,39.1342,7.8833,
Peru,2021-10-02,25,49.0,70.8137,45.3934,
Peru,2021-10-02,50,59.0,84.3364,77.4427,
Peru,2021-10-02,60,69.0,87.8508,83.358,
Peru,2021-10-02,70,79.0,89.9178,86.1663,
Peru,2021-10-02,80,,86.4522,82.6831,
Peru,2021-10-09,0,17.0,0.9757,0.6046,
Peru,2021-10-09,18,24.0,45.7372,16.4078,
Peru,2021-10-09,25,49.0,73.3409,54.701,
Peru,2021-10-09,50,59.0,85.0088,79.0216,
Peru,2021-10-09,60,69.0,88.2942,84.2771,
Peru,2021-10-09,70,79.0,90.1959,86.7531,
Peru,2021-10-09,80,,86.66,83.1087,
Peru,2021-10-16,0,17.0,1.0976,0.7236,0.0
Peru,2021-10-16,18,24.0,56.0799,22.6755,0.0138
Peru,2021-10-16,25,49.0,75.853,59.6769,0.2549
Peru,2021-10-16,50,59.0,85.7599,80.0611,0.2633
Peru,2021-10-16,60,69.0,88.7528,84.8992,0.2121
Peru,2021-10-16,70,79.0,90.5051,87.168,0.0074
Peru,2021-10-16,80,,86.8803,83.421,0.0025
Peru,2021-10-23,0,17.0,2.0779,0.7838,0.0001
Peru,2021-10-23,18,24.0,62.9773,30.6592,0.0641
Peru,2021-10-23,25,49.0,77.5392,62.8335,0.9661
Peru,2021-10-23,50,59.0,86.3227,80.9139,0.9954
Peru,2021-10-23,60,69.0,89.11,85.4335,0.8523
Peru,2021-10-23,70,79.0,90.7331,87.5349,0.0306
Peru,2021-10-23,80,,87.0608,83.7,0.0052
Peru,2021-10-30,0,17.0,3.9026,0.827,0.0001
Peru,2021-10-30,18,24.0,66.7441,36.5571,0.0897
Peru,2021-10-30,25,49.0,78.69,65.3683,1.1913
Peru,2021-10-30,50,59.0,86.7383,81.6122,1.2594
Peru,2021-10-30,60,69.0,89.3873,85.8844,1.2554
Peru,2021-10-30,70,79.0,90.9097,87.8378,0.4207
Peru,2021-10-30,80,,87.183,83.9224,1.6432
Peru,2021-11-06,0,17.0,13.1854,0.8999,0.0002
Peru,2021-11-06,18,24.0,69.6723,40.2405,0.1113
Peru,2021-11-06,25,49.0,79.6562,67.2523,1.343
Peru,2021-11-06,50,59.0,87.1118,82.1639,1.4349
Peru,2021-11-06,60,69.0,89.6326,86.2301,1.6815
Peru,2021-11-06,70,79.0,91.0793,88.0645,0.9958
Peru,2021-11-06,80,,87.2957,84.0932,4.0923
Peru,2021-11-13,0,17.0,19.0468,1.7314,0.0002
Peru,2021-11-13,18,24.0,72.8147,47.0025,0.1571
Peru,2021-11-13,25,49.0,80.8583,69.2661,1.6932
Peru,2021-11-13,50,59.0,87.6112,82.8256,1.7414
Peru,2021-11-13,60,69.0,89.9512,86.6399,1.9819
Peru,2021-11-13,70,79.0,91.2928,88.332,1.3318
Peru,2021-11-13,80,,87.4606,84.3002,7.3457
Peru,2021-11-20,0,17.0,22.1513,2.9015,0.0004
Peru,2021-11-20,18,24.0,76.9801,53.5963,0.2019
Peru,2021-11-20,25,49.0,82.9716,71.3288,1.8493
Peru,2021-11-20,50,59.0,88.5598,83.535,1.8865
Peru,2021-11-20,60,69.0,90.5825,87.0593,2.1949
Peru,2021-11-20,70,79.0,91.7041,88.611,1.8927
Peru,2021-11-20,80,,87.7699,84.5104,13.803
Peru,2021-11-27,0,17.0,24.2964,9.7816,0.0008
Peru,2021-11-27,18,24.0,80.4073,57.9567,0.3579
Peru,2021-11-27,25,49.0,84.7844,72.9388,2.0724
Peru,2021-11-27,50,59.0,89.3955,84.1368,2.1805
Peru,2021-11-27,60,69.0,91.1545,87.4448,4.7612
Peru,2021-11-27,70,79.0,92.0966,88.9016,10.7115
Peru,2021-11-27,80,,88.0892,84.7261,22.3556
Peru,2021-12-04,0,17.0,25.6999,15.2622,0.0018
Peru,2021-12-04,18,24.0,83.0866,61.541,0.9476
Peru,2021-12-04,25,49.0,86.2814,74.3992,2.7196
Peru,2021-12-04,50,59.0,90.0985,84.6825,3.1935
Peru,2021-12-04,60,69.0,91.6472,87.817,17.7726
Peru,2021-12-04,70,79.0,92.4537,89.1936,30.3091
Peru,2021-12-04,80,,88.38,84.9382,34.5954
Peru,2021-12-11,0,17.0,26.8471,18.3489,0.0028
Peru,2021-12-11,18,24.0,86.4147,66.136,1.2755
Peru,2021-12-11,25,49.0,88.3288,76.8107,3.1688
Peru,2021-12-11,50,59.0,91.0595,85.5717,3.9796
Peru,2021-12-11,60,69.0,92.3371,88.4021,28.1097
Peru,2021-12-11,70,79.0,92.9523,89.6095,42.0733
Peru,2021-12-11,80,,88.7896,85.2418,42.4372
Peru,2021-12-18,0,17.0,27.9798,20.8391,0.0039
Peru,2021-12-18,18,24.0,90.3117,71.7339,1.5226
Peru,2021-12-18,25,49.0,90.7713,79.7797,3.5014
Peru,2021-12-18,50,59.0,92.4086,86.7875,5.3294
Peru,2021-12-18,60,69.0,93.4944,89.2439,35.8384
Peru,2021-12-18,70,79.0,94.0955,90.2947,49.9607
Peru,2021-12-18,80,,89.9276,85.8198,48.6106
Peru,2021-12-25,0,17.0,28.4495,21.9993,0.0153
Peru,2021-12-25,18,24.0,91.6978,74.3385,1.9035
Peru,2021-12-25,25,49.0,91.6215,81.1866,6.0802
Peru,2021-12-25,50,59.0,92.9186,87.4656,14.3138
Peru,2021-12-25,60,69.0,93.9411,89.732,42.0807
Peru,2021-12-25,70,79.0,94.5266,90.6924,54.9607
Peru,2021-12-25,80,,90.3982,86.1562,52.6348
Peru,2022-01-01,0,17.0,28.7876,22.8458,0.0261
Peru,2022-01-01,18,24.0,92.7019,76.5672,2.307
Peru,2022-01-01,25,49.0,92.2381,82.4732,9.5191
Peru,2022-01-01,50,59.0,93.2804,88.1079,22.8425
Peru,2022-01-01,60,69.0,94.2391,90.2122,47.0651
Peru,2022-01-01,70,79.0,94.7641,91.0427,58.5526
Peru,2022-01-01,80,,90.6728,86.4549,55.6173
Peru,2022-01-08,0,17.0,29.2073,23.7635,0.0421
Peru,2022-01-08,18,24.0,93.7636,79.4144,3.6662
Peru,2022-01-08,25,49.0,92.9368,84.2835,15.2532
Peru,2022-01-08,50,59.0,93.6571,89.1026,32.7721
Peru,2022-01-08,60,69.0,94.5252,91.0321,52.6514
Peru,2022-01-08,70,79.0,94.9821,91.7751,62.2221
Peru,2022-01-08,80,,90.9199,87.1481,58.4082
Peru,2022-01-15,0,17.0,29.5811,24.4924,0.057
Peru,2022-01-15,18,24.0,94.6437,81.8269,5.6663
Peru,2022-01-15,25,49.0,93.4981,85.6756,20.593
Peru,2022-01-15,50,59.0,93.9672,89.8696,40.724
