location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Poland,2021-01-01,15,17,0.0,0.0,0.0
Poland,2021-01-01,18,24,0.0,0.0,0.0
Poland,2021-01-01,25,49,0.01,0.0,0.0
Poland,2021-01-01,50,59,0.01,0.0,0.0
Poland,2021-01-01,60,69,0.01,0.0,0.0
Poland,2021-01-01,70,79,0.0,0.0,0.0
Poland,2021-01-01,80,,0.0,0.0,0.0
Poland,2021-01-08,10,14,0.0,0.0,0.0
Poland,2021-01-08,15,17,0.01,0.0,0.0
Poland,2021-01-08,18,24,0.34,0.0,0.0
Poland,2021-01-08,25,49,0.71,0.0,0.0
Poland,2021-01-08,50,59,1.4,0.0,0.0
Poland,2021-01-08,60,69,0.68,0.0,0.0
Poland,2021-01-08,70,79,0.22,0.0,0.0
Poland,2021-01-08,80,,0.13,0.0,0.0
Poland,2021-01-15,10,14,0.0,0.0,0.0
Poland,2021-01-15,15,17,0.02,0.0,0.0
Poland,2021-01-15,18,24,1.21,0.0,0.0
Poland,2021-01-15,25,49,1.63,0.0,0.0
Poland,2021-01-15,5,9,0.0,0.0,0.0
Poland,2021-01-15,50,59,2.97,0.0,0.0
Poland,2021-01-15,60,69,1.48,0.0,0.0
Poland,2021-01-15,70,79,0.5,0.0,0.0
Poland,2021-01-15,80,,0.3,0.0,0.0
Poland,2021-01-22,10,14,0.0,0.0,0.0
Poland,2021-01-22,15,17,0.04,0.0,0.0
Poland,2021-01-22,18,24,1.59,0.04,0.0
Poland,2021-01-22,25,49,2.1,0.16,0.0
Poland,2021-01-22,5,9,0.0,0.0,0.0
Poland,2021-01-22,50,59,3.75,0.33,0.0
Poland,2021-01-22,60,69,2.07,0.16,0.0
Poland,2021-01-22,70,79,1.1,0.05,0.0
Poland,2021-01-22,80,,2.54,0.03,0.0
Poland,2021-01-29,10,14,0.0,0.0,0.0
Poland,2021-01-29,15,17,0.04,0.01,0.0
Poland,2021-01-29,18,24,1.95,0.3,0.0
Poland,2021-01-29,25,49,2.48,0.67,0.0
Poland,2021-01-29,5,9,0.0,0.0,0.0
Poland,2021-01-29,50,59,4.28,1.34,0.0
Poland,2021-01-29,60,69,2.4,0.66,0.0
Poland,2021-01-29,70,79,2.23,0.22,0.0
Poland,2021-01-29,80,,13.58,0.13,0.0
Poland,2021-02-05,0,4,0.0,0.0,0.0
Poland,2021-02-05,10,14,0.0,0.0,0.0
Poland,2021-02-05,15,17,0.04,0.02,0.0
Poland,2021-02-05,18,24,2.1,1.1,0.0
Poland,2021-02-05,25,49,2.59,1.52,0.0
Poland,2021-02-05,5,9,0.0,0.0,0.0
Poland,2021-02-05,50,59,4.44,2.82,0.0
Poland,2021-02-05,60,69,2.6,1.42,0.0
Poland,2021-02-05,70,79,4.27,0.48,0.0
Poland,2021-02-05,80,,22.24,0.29,0.0
Poland,2021-02-12,0,4,0.0,0.0,0.0
Poland,2021-02-12,10,14,0.0,0.0,0.0
Poland,2021-02-12,15,17,0.04,0.03,0.0
Poland,2021-02-12,18,24,2.22,1.47,0.0
Poland,2021-02-12,25,49,2.8,2.03,0.0
Poland,2021-02-12,5,9,0.0,0.0,0.0
Poland,2021-02-12,50,59,4.74,3.64,0.0
Poland,2021-02-12,60,69,2.88,2.02,0.0
Poland,2021-02-12,70,79,7.7,1.07,0.0
Poland,2021-02-12,80,,29.06,2.45,0.0
Poland,2021-02-19,0,4,0.0,0.0,0.0
Poland,2021-02-19,10,14,0.0,0.0,0.0
Poland,2021-02-19,15,17,0.05,0.04,0.0
Poland,2021-02-19,18,24,2.35,1.8,0.0
Poland,2021-02-19,25,49,3.34,2.37,0.0
Poland,2021-02-19,5,9,0.0,0.0,0.0
Poland,2021-02-19,50,59,5.69,4.14,0.0
Poland,2021-02-19,60,69,3.18,2.33,0.0
Poland,2021-02-19,70,79,10.97,2.0,0.0
Poland,2021-02-19,80,,33.46,12.61,0.0
Poland,2021-02-26,0,4,0.0,0.0,0.0
Poland,2021-02-26,10,14,0.0,0.0,0.0
Poland,2021-02-26,15,17,0.05,0.04,0.0
Poland,2021-02-26,18,24,2.47,2.01,0.0
Poland,2021-02-26,25,49,4.05,2.54,0.0
Poland,2021-02-26,5,9,0.0,0.0,0.0
Poland,2021-02-26,50,59,6.96,4.37,0.0
Poland,2021-02-26,60,69,3.7,2.56,0.0
Poland,2021-02-26,70,79,14.79,3.95,0.0
Poland,2021-02-26,80,,37.12,21.45,0.0
Poland,2021-03-05,0,4,0.0,0.0,0.0
Poland,2021-03-05,10,14,0.0,0.0,0.0
Poland,2021-03-05,15,17,0.05,0.04,0.0
Poland,2021-03-05,18,24,2.6,2.14,0.0
Poland,2021-03-05,25,49,4.87,2.66,0.0
Poland,2021-03-05,5,9,0.0,0.0,0.0
Poland,2021-03-05,50,59,8.28,4.52,0.0
Poland,2021-03-05,60,69,4.4,2.81,0.0
Poland,2021-03-05,70,79,19.05,7.01,0.0
Poland,2021-03-05,80,,40.26,28.16,0.0
Poland,2021-03-12,0,4,0.0,0.0,0.0
Poland,2021-03-12,10,14,0.0,0.0,0.0
Poland,2021-03-12,15,17,0.05,0.04,0.0
Poland,2021-03-12,18,24,3.05,2.21,0.0
Poland,2021-03-12,25,49,5.37,2.73,0.0
Poland,2021-03-12,5,9,0.0,0.0,0.0
Poland,2021-03-12,50,59,8.93,4.62,0.0
Poland,2021-03-12,60,69,5.23,3.0,0.0
Poland,2021-03-12,70,79,24.34,9.65,0.0
Poland,2021-03-12,80,,43.56,32.23,0.0
Poland,2021-03-19,0,4,0.0,0.0,0.0
Poland,2021-03-19,10,14,0.0,0.0,0.0
Poland,2021-03-19,15,17,0.06,0.04,0.0
Poland,2021-03-19,18,24,3.38,2.26,0.0
Poland,2021-03-19,25,49,5.63,2.79,0.0
Poland,2021-03-19,5,9,0.0,0.0,0.0
Poland,2021-03-19,50,59,9.27,4.7,0.0
Poland,2021-03-19,60,69,6.23,3.22,0.0
Poland,2021-03-19,70,79,29.62,12.86,0.0
Poland,2021-03-19,80,,46.27,35.64,0.0
Poland,2021-03-26,0,4,0.0,0.0,0.0
Poland,2021-03-26,10,14,0.0,0.0,0.0
Poland,2021-03-26,15,17,0.06,0.05,0.0
Poland,2021-03-26,18,24,3.56,2.29,0.0
Poland,2021-03-26,25,49,5.98,2.84,0.0
Poland,2021-03-26,5,9,0.0,0.0,0.0
Poland,2021-03-26,50,59,9.84,4.77,0.0
Poland,2021-03-26,60,69,13.03,3.51,0.0
Poland,2021-03-26,70,79,35.94,17.02,0.0
Poland,2021-03-26,80,,49.05,39.0,0.0
Poland,2021-04-02,0,4,0.0,0.0,0.0
Poland,2021-04-02,10,14,0.0,0.0,0.0
Poland,2021-04-02,15,17,0.07,0.05,0.0
Poland,2021-04-02,18,24,3.81,2.31,0.0
Poland,2021-04-02,25,49,6.57,2.86,0.0
Poland,2021-04-02,5,9,0.0,0.0,0.0
Poland,2021-04-02,50,59,10.77,4.81,0.0
Poland,2021-04-02,60,69,20.36,3.64,0.0
Poland,2021-04-02,70,79,41.53,18.75,0.0
Poland,2021-04-02,80,,51.24,39.96,0.0
Poland,2021-04-09,0,4,0.0,0.0,0.0
Poland,2021-04-09,10,14,0.0,0.0,0.0
Poland,2021-04-09,15,17,0.08,0.05,0.0
Poland,2021-04-09,18,24,4.18,2.32,0.0
Poland,2021-04-09,25,49,7.38,2.88,0.0
Poland,2021-04-09,5,9,0.0,0.0,0.0
Poland,2021-04-09,50,59,13.44,4.84,0.0
Poland,2021-04-09,60,69,29.56,3.71,0.0
Poland,2021-04-09,70,79,49.73,19.37,0.0
Poland,2021-04-09,80,,53.8,40.26,0.0
Poland,2021-04-16,0,4,0.0,0.0,0.0
Poland,2021-04-16,10,14,0.0,0.0,0.0
Poland,2021-04-16,15,17,0.09,0.05,0.0
Poland,2021-04-16,18,24,4.54,2.34,0.0
Poland,2021-04-16,25,49,8.21,2.94,0.0
Poland,2021-04-16,5,9,0.0,0.0,0.0
Poland,2021-04-16,50,59,17.9,5.03,0.0
Poland,2021-04-16,60,69,38.73,4.37,0.0
Poland,2021-04-16,70,79,55.98,23.29,0.0
Poland,2021-04-16,80,,55.69,42.79,0.0
Poland,2021-04-23,0,4,0.0,0.0,0.0
Poland,2021-04-23,10,14,0.0,0.0,0.0
Poland,2021-04-23,15,17,0.11,0.05,0.0
Poland,2021-04-23,18,24,5.01,2.42,0.0
Poland,2021-04-23,25,49,9.48,3.16,0.0
Poland,2021-04-23,5,9,0.0,0.0,0.0
Poland,2021-04-23,50,59,26.49,5.74,0.0
Poland,2021-04-23,60,69,46.45,5.39,0.0
Poland,2021-04-23,70,79,60.92,28.92,0.0
Poland,2021-04-23,80,,57.33,45.68,0.0
Poland,2021-04-30,0,4,0.0,0.0,0.0
Poland,2021-04-30,10,14,0.0,0.0,0.0
Poland,2021-04-30,15,17,0.13,0.06,0.0
Poland,2021-04-30,18,24,5.63,2.56,0.0
Poland,2021-04-30,25,49,13.13,3.82,0.0
Poland,2021-04-30,5,9,0.0,0.0,0.0
Poland,2021-04-30,50,59,33.29,6.88,0.0
Poland,2021-04-30,60,69,52.55,6.71,0.0
Poland,2021-04-30,70,79,64.49,35.08,0.0
Poland,2021-04-30,80,,58.6,48.52,0.0
Poland,2021-05-07,0,4,0.0,0.0,0.0
Poland,2021-05-07,10,14,0.0,0.0,0.0
Poland,2021-05-07,15,17,0.16,0.07,0.0
Poland,2021-05-07,18,24,7.37,2.77,0.0
Poland,2021-05-07,25,49,18.73,4.77,0.0
Poland,2021-05-07,5,9,0.0,0.0,0.0
Poland,2021-05-07,50,59,38.34,8.54,0.0
Poland,2021-05-07,60,69,56.06,9.75,0.0
Poland,2021-05-07,70,79,66.18,40.96,0.0
Poland,2021-05-07,80,,59.36,50.75,0.0
Poland,2021-05-14,0,4,0.0,0.0,0.0
Poland,2021-05-14,10,14,0.0,0.0,0.0
Poland,2021-05-14,15,17,0.22,0.08,0.0
Poland,2021-05-14,18,24,13.04,3.35,0.0
Poland,2021-05-14,25,49,24.45,6.32,0.0
Poland,2021-05-14,5,9,0.0,0.0,0.0
Poland,2021-05-14,50,59,42.3,11.87,0.0
Poland,2021-05-14,60,69,58.64,14.85,0.0
Poland,2021-05-14,70,79,67.39,49.26,0.0
Poland,2021-05-14,80,,59.98,53.42,0.0
Poland,2021-05-21,0,4,0.0,0.0,0.0
Poland,2021-05-21,10,14,0.0,0.0,0.0
Poland,2021-05-21,15,17,3.18,0.1,0.0
Poland,2021-05-21,18,24,18.56,4.27,0.0
Poland,2021-05-21,25,49,29.16,7.86,0.0
Poland,2021-05-21,5,9,0.0,0.0,0.0
Poland,2021-05-21,50,59,46.19,15.98,0.0
Poland,2021-05-21,60,69,61.1,21.65,0.0
Poland,2021-05-21,70,79,68.5,55.81,0.0
Poland,2021-05-21,80,,60.54,55.41,0.0
Poland,2021-05-28,0,4,0.0,0.0,0.0
Poland,2021-05-28,10,14,0.0,0.0,0.0
Poland,2021-05-28,15,17,5.28,0.12,0.0
Poland,2021-05-28,18,24,22.62,5.95,0.0
Poland,2021-05-28,25,49,32.62,10.24,0.0
Poland,2021-05-28,5,9,0.0,0.0,0.0
Poland,2021-05-28,50,59,49.09,23.56,0.0
Poland,2021-05-28,60,69,62.93,29.1,0.0
Poland,2021-05-28,70,79,69.42,60.65,0.0
Poland,2021-05-28,80,,61.04,57.03,0.0
Poland,2021-06-04,0,4,0.0,0.0,0.0
Poland,2021-06-04,10,14,0.01,0.0,0.0
Poland,2021-06-04,15,17,10.05,0.15,0.0
Poland,2021-06-04,18,24,28.22,7.56,0.0
Poland,2021-06-04,25,49,36.4,14.03,0.0
Poland,2021-06-04,5,9,0.0,0.0,0.0
Poland,2021-06-04,50,59,51.77,30.59,0.0
Poland,2021-06-04,60,69,64.76,35.85,0.0
Poland,2021-06-04,70,79,70.39,64.41,0.0
Poland,2021-06-04,80,,61.59,58.36,0.0
Poland,2021-06-11,0,4,0.0,0.0,0.0
Poland,2021-06-11,10,14,4.3,0.01,0.0
Poland,2021-06-11,15,17,17.5,0.42,0.0
Poland,2021-06-11,18,24,32.59,9.99,0.0
Poland,2021-06-11,25,49,39.64,19.53,0.0
Poland,2021-06-11,5,9,0.0,0.0,0.0
Poland,2021-06-11,50,59,54.17,36.08,0.0
Poland,2021-06-11,60,69,66.39,44.03,0.0
Poland,2021-06-11,70,79,71.29,66.39,0.0
Poland,2021-06-11,80,,62.16,59.25,0.0
Poland,2021-06-18,0,4,0.0,0.0,0.0
Poland,2021-06-18,10,14,6.66,0.01,0.0
Poland,2021-06-18,15,17,22.06,1.15,0.0
Poland,2021-06-18,18,24,35.55,14.76,0.0
Poland,2021-06-18,25,49,41.86,24.88,0.0
Poland,2021-06-18,5,9,0.01,0.0,0.0
Poland,2021-06-18,50,59,55.85,40.18,0.0
Poland,2021-06-18,60,69,67.6,50.85,0.0
Poland,2021-06-18,70,79,71.99,67.72,0.0
Poland,2021-06-18,80,,62.62,59.93,0.0
Poland,2021-06-25,0,4,0.0,0.0,0.0
Poland,2021-06-25,10,14,8.27,0.02,0.0
Poland,2021-06-25,15,17,25.19,4.12,0.0
Poland,2021-06-25,18,24,37.71,20.46,0.0
Poland,2021-06-25,25,49,43.52,29.93,0.0
Poland,2021-06-25,5,9,0.01,0.0,0.0
Poland,2021-06-25,50,59,57.11,44.71,0.0
Poland,2021-06-25,60,69,68.52,57.13,0.0
Poland,2021-06-25,70,79,72.53,68.97,0.0
Poland,2021-06-25,80,,62.99,60.57,0.0
Poland,2021-07-02,0,4,0.0,0.0,0.0
Poland,2021-07-02,10,14,9.76,1.84,0.0
Poland,2021-07-02,15,17,28.01,9.17,0.0
Poland,2021-07-02,18,24,39.53,25.2,0.0
Poland,2021-07-02,25,49,44.92,33.94,0.0
Poland,2021-07-02,5,9,0.01,0.0,0.0
Poland,2021-07-02,50,59,58.26,48.63,0.0
Poland,2021-07-02,60,69,69.38,61.5,0.0
Poland,2021-07-02,70,79,73.05,70.08,0.0
Poland,2021-07-02,80,,63.34,61.17,0.0
Poland,2021-07-09,0,4,0.0,0.0,0.0
Poland,2021-07-09,10,14,10.83,4.07,0.0
Poland,2021-07-09,15,17,29.75,15.9,0.0
Poland,2021-07-09,18,24,40.9,31.13,0.0
Poland,2021-07-09,25,49,45.99,38.36,0.0
Poland,2021-07-09,5,9,0.01,0.0,0.0
Poland,2021-07-09,50,59,59.1,52.52,0.0
Poland,2021-07-09,60,69,69.96,64.77,0.0
Poland,2021-07-09,70,79,73.41,71.32,0.0
Poland,2021-07-09,80,,63.59,61.91,0.0
Poland,2021-07-16,0,4,0.0,0.0,0.0
Poland,2021-07-16,10,14,11.83,6.72,0.0
Poland,2021-07-16,15,17,31.44,21.88,0.0
Poland,2021-07-16,18,24,42.25,35.98,0.0
Poland,2021-07-16,25,49,47.09,42.08,0.0
Poland,2021-07-16,5,9,0.01,0.0,0.0
Poland,2021-07-16,50,59,59.98,55.57,0.0
Poland,2021-07-16,60,69,70.58,67.05,0.0
Poland,2021-07-16,70,79,73.79,72.49,0.0
Poland,2021-07-16,80,,63.89,62.63,0.0
Poland,2021-07-23,0,4,0.0,0.0,0.0
Poland,2021-07-23,10,14,12.7,8.56,0.0
Poland,2021-07-23,15,17,32.9,25.8,0.0
Poland,2021-07-23,18,24,43.49,39.05,0.0
Poland,2021-07-23,25,49,48.12,44.65,0.0
Poland,2021-07-23,5,9,0.01,0.0,0.0
Poland,2021-07-23,50,59,60.8,57.71,0.0
Poland,2021-07-23,60,69,71.15,68.72,0.0
Poland,2021-07-23,70,79,74.15,73.28,0.0
Poland,2021-07-23,80,,64.18,63.14,0.0
Poland,2021-07-30,0,4,0.0,0.0,0.0
Poland,2021-07-30,10,14,13.56,9.92,0.0
Poland,2021-07-30,15,17,34.32,28.34,0.0
Poland,2021-07-30,18,24,44.74,41.29,0.0
Poland,2021-07-30,25,49,49.16,46.46,0.0
Poland,2021-07-30,5,9,0.01,0.0,0.0
Poland,2021-07-30,50,59,61.62,59.23,0.0
Poland,2021-07-30,60,69,71.71,69.85,0.0
Poland,2021-07-30,70,79,74.51,73.85,0.0
Poland,2021-07-30,80,,64.48,63.53,0.0
Poland,2021-08-06,0,4,0.0,0.0,0.0
Poland,2021-08-06,10,14,14.4,11.03,0.0
Poland,2021-08-06,15,17,35.64,30.36,0.0
Poland,2021-08-06,18,24,45.85,42.88,0.0
Poland,2021-08-06,25,49,50.1,47.78,0.0
Poland,2021-08-06,5,9,0.01,0.01,0.0
Poland,2021-08-06,50,59,62.35,60.33,0.0
Poland,2021-08-06,60,69,72.17,70.64,0.0
Poland,2021-08-06,70,79,74.8,74.33,0.0
Poland,2021-08-06,80,,64.72,63.88,0.0
Poland,2021-08-13,0,4,0.0,0.0,0.0
Poland,2021-08-13,10,14,15.09,11.88,0.0
Poland,2021-08-13,15,17,36.74,31.85,0.0
Poland,2021-08-13,18,24,46.81,44.13,0.0
Poland,2021-08-13,25,49,50.92,48.83,0.0
Poland,2021-08-13,5,9,0.01,0.01,0.0
Poland,2021-08-13,50,59,63.01,61.2,0.0
Poland,2021-08-13,60,69,72.61,71.25,0.0
Poland,2021-08-13,70,79,75.08,74.71,0.0
Poland,2021-08-13,80,,64.96,64.18,0.0
Poland,2021-08-20,0,4,0.0,0.0,0.0
Poland,2021-08-20,10,14,15.72,12.75,0.0
Poland,2021-08-20,15,17,37.66,33.33,0.0
Poland,2021-08-20,18,24,47.64,45.28,0.0
Poland,2021-08-20,25,49,51.62,49.79,0.0
Poland,2021-08-20,5,9,0.01,0.01,0.0
Poland,2021-08-20,50,59,63.54,61.97,0.0
Poland,2021-08-20,60,69,72.95,71.79,0.0
Poland,2021-08-20,70,79,75.3,75.06,0.0
Poland,2021-08-20,80,,65.15,64.47,0.0
Poland,2021-08-27,0,4,0.0,0.0,0.0
Poland,2021-08-27,10,14,16.43,13.64,0.0
Poland,2021-08-27,15,17,38.61,34.8,0.0
Poland,2021-08-27,18,24,48.42,46.35,0.0
Poland,2021-08-27,25,49,52.29,50.7,0.0
Poland,2021-08-27,5,9,0.01,0.01,0.0
Poland,2021-08-27,50,59,64.04,62.7,0.0
Poland,2021-08-27,60,69,73.27,72.28,0.0
Poland,2021-08-27,70,79,75.49,75.37,0.0
Poland,2021-08-27,80,,65.31,64.73,0.0
Poland,2021-09-03,0,4,0.0,0.0,0.0
Poland,2021-09-03,10,14,16.95,14.43,0.0
Poland,2021-09-03,15,17,39.25,36.04,0.0
Poland,2021-09-03,18,24,49.09,47.23,0.0
Poland,2021-09-03,25,49,52.84,51.42,0.0
Poland,2021-09-03,5,9,0.01,0.01,0.0
Poland,2021-09-03,50,59,64.43,63.26,0.01
Poland,2021-09-03,60,69,73.52,72.66,0.01
Poland,2021-09-03,70,79,75.65,75.63,0.01
Poland,2021-09-03,80,,65.45,64.94,0.0
Poland,2021-09-10,0,4,0.0,0.0,0.0
Poland,2021-09-10,10,14,17.33,14.99,0.0
Poland,2021-09-10,15,17,39.76,36.9,0.0
Poland,2021-09-10,18,24,49.65,47.93,0.0
Poland,2021-09-10,25,49,53.3,52.0,0.01
Poland,2021-09-10,5,9,0.01,0.01,0.0
Poland,2021-09-10,50,59,64.76,63.71,0.02
Poland,2021-09-10,60,69,73.74,72.97,0.02
Poland,2021-09-10,70,79,75.79,75.83,0.04
Poland,2021-09-10,80,,65.58,65.12,0.02
Poland,2021-09-17,0,4,0.0,0.0,0.0
Poland,2021-09-17,10,14,18.02,15.52,0.0
Poland,2021-09-17,15,17,40.52,37.68,0.0
Poland,2021-09-17,18,24,50.17,48.53,0.01
Poland,2021-09-17,25,49,53.71,52.51,0.02
Poland,2021-09-17,5,9,0.01,0.01,0.0
Poland,2021-09-17,50,59,65.03,64.09,0.04
Poland,2021-09-17,60,69,73.92,73.24,0.06
Poland,2021-09-17,70,79,75.91,76.01,0.09
Poland,2021-09-17,80,,65.69,65.28,0.06
Poland,2021-09-24,0,4,0.0,0.0,0.0
Poland,2021-09-24,10,14,18.68,16.06,0.0
Poland,2021-09-24,15,17,41.24,38.38,0.0
Poland,2021-09-24,18,24,50.68,49.13,0.02
Poland,2021-09-24,25,49,54.12,53.01,0.07
Poland,2021-09-24,5,9,0.01,0.01,0.0
Poland,2021-09-24,50,59,65.31,64.44,0.17
Poland,2021-09-24,60,69,74.11,73.47,0.17
Poland,2021-09-24,70,79,76.03,76.16,0.5
Poland,2021-09-24,80,,65.8,65.41,0.58
Poland,2021-10-01,0,4,0.0,0.0,0.0
Poland,2021-10-01,10,14,19.13,16.52,0.0
Poland,2021-10-01,15,17,41.78,39.02,0.0
Poland,2021-10-01,18,24,51.12,49.66,0.12
Poland,2021-10-01,25,49,54.47,53.44,0.28
Poland,2021-10-01,5,9,0.01,0.01,0.0
Poland,2021-10-01,50,59,65.54,64.74,0.74
