location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Portugal,2021-01-01,10,14,0.0,0.0,0.0
Portugal,2021-01-01,15,17,0.0,0.0,0.0
Portugal,2021-01-01,18,24,0.02,0.0,0.0
Portugal,2021-01-01,25,49,0.1,0.0,0.0
Portugal,2021-01-01,50,59,0.07,0.0,0.0
Portugal,2021-01-01,60,69,0.04,0.0,0.0
Portugal,2021-01-01,70,79,0.0,0.0,0.0
Portugal,2021-01-01,80,,0.0,0.0,0.0
Portugal,2021-01-08,0,4,0.0,0.0,0.0
Portugal,2021-01-08,10,14,0.0,0.0,0.0
Portugal,2021-01-08,15,17,0.0,0.0,0.0
Portugal,2021-01-08,18,24,0.42,0.0,0.0
Portugal,2021-01-08,25,49,1.6,0.0,0.0
Portugal,2021-01-08,5,9,0.0,0.0,0.0
Portugal,2021-01-08,50,59,1.11,0.0,0.0
Portugal,2021-01-08,60,69,0.58,0.0,0.0
Portugal,2021-01-08,70,79,0.12,0.0,0.0
Portugal,2021-01-08,80,,0.57,0.0,0.0
Portugal,2021-01-15,10,14,0.0,0.0,0.0
Portugal,2021-01-15,15,17,0.01,0.0,0.0
Portugal,2021-01-15,18,24,0.61,0.01,0.0
Portugal,2021-01-15,25,49,2.12,0.03,0.0
Portugal,2021-01-15,5,9,0.0,0.0,0.0
Portugal,2021-01-15,50,59,1.68,0.02,0.0
Portugal,2021-01-15,60,69,0.97,0.01,0.0
Portugal,2021-01-15,70,79,0.46,0.0,0.0
Portugal,2021-01-15,80,,2.59,0.0,0.0
Portugal,2021-01-22,10,14,0.01,0.0,0.0
Portugal,2021-01-22,15,17,0.03,0.0,0.0
Portugal,2021-01-22,18,24,1.12,0.16,0.0
Portugal,2021-01-22,25,49,3.29,0.69,0.01
Portugal,2021-01-22,5,9,0.0,0.0,0.0
Portugal,2021-01-22,50,59,3.02,0.44,0.0
Portugal,2021-01-22,60,69,1.83,0.23,0.01
Portugal,2021-01-22,70,79,1.39,0.01,0.0
Portugal,2021-01-22,80,,8.03,0.04,0.0
Portugal,2021-01-29,0,4,0.0,0.0,0.0
Portugal,2021-01-29,10,14,0.01,0.0,0.0
Portugal,2021-01-29,15,17,0.04,0.0,0.0
Portugal,2021-01-29,18,24,1.31,0.37,0.01
Portugal,2021-01-29,25,49,3.78,1.48,0.02
Portugal,2021-01-29,5,9,0.0,0.0,0.0
Portugal,2021-01-29,50,59,3.54,1.05,0.01
Portugal,2021-01-29,60,69,2.23,0.55,0.02
Portugal,2021-01-29,70,79,1.82,0.1,0.01
Portugal,2021-01-29,80,,9.07,0.49,0.02
Portugal,2021-02-05,10,14,0.01,0.0,0.0
Portugal,2021-02-05,15,17,0.05,0.0,0.0
Portugal,2021-02-05,18,24,1.45,0.48,0.03
Portugal,2021-02-05,25,49,4.11,1.83,0.06
Portugal,2021-02-05,5,9,0.0,0.0,0.0
Portugal,2021-02-05,50,59,3.82,1.45,0.05
Portugal,2021-02-05,60,69,2.44,0.84,0.04
Portugal,2021-02-05,70,79,1.99,0.31,0.05
Portugal,2021-02-05,80,,9.72,1.73,0.28
Portugal,2021-02-12,10,14,0.01,0.0,0.0
Portugal,2021-02-12,15,17,0.06,0.02,0.0
Portugal,2021-02-12,18,24,1.65,0.82,0.09
Portugal,2021-02-12,25,49,4.54,2.67,0.16
Portugal,2021-02-12,5,9,0.0,0.0,0.0
Portugal,2021-02-12,50,59,4.17,2.4,0.19
Portugal,2021-02-12,60,69,2.65,1.47,0.13
Portugal,2021-02-12,70,79,2.28,0.92,0.19
Portugal,2021-02-12,80,,11.79,5.25,1.17
Portugal,2021-02-19,10,14,0.01,0.0,0.0
Portugal,2021-02-19,15,17,0.07,0.03,0.0
Portugal,2021-02-19,18,24,1.95,1.03,0.11
Portugal,2021-02-19,25,49,5.23,3.22,0.2
Portugal,2021-02-19,5,9,0.01,0.0,0.0
Portugal,2021-02-19,50,59,5.05,2.98,0.23
Portugal,2021-02-19,60,69,3.72,1.89,0.17
Portugal,2021-02-19,70,79,2.56,1.33,0.24
Portugal,2021-02-19,80,,18.57,6.31,1.46
Portugal,2021-02-26,10,14,0.01,0.0,0.0
Portugal,2021-02-26,15,17,0.08,0.04,0.0
Portugal,2021-02-26,18,24,2.13,1.11,0.12
Portugal,2021-02-26,25,49,5.6,3.43,0.22
Portugal,2021-02-26,5,9,0.01,0.0,0.0
Portugal,2021-02-26,50,59,6.92,3.21,0.26
Portugal,2021-02-26,60,69,5.8,2.04,0.21
Portugal,2021-02-26,70,79,3.09,1.47,0.27
Portugal,2021-02-26,80,,32.85,6.91,1.68
Portugal,2021-03-05,10,14,0.01,0.0,0.0
Portugal,2021-03-05,15,17,0.09,0.04,0.01
Portugal,2021-03-05,18,24,2.26,1.24,0.13
Portugal,2021-03-05,25,49,5.85,3.72,0.25
Portugal,2021-03-05,50,59,8.12,3.48,0.28
Portugal,2021-03-05,60,69,7.14,2.24,0.23
Portugal,2021-03-05,70,79,3.86,1.71,0.3
Portugal,2021-03-05,80,,45.01,8.59,1.88
Portugal,2021-03-12,10,14,0.01,0.0,0.0
Portugal,2021-03-12,15,17,0.1,0.05,0.01
Portugal,2021-03-12,18,24,2.45,1.32,0.14
Portugal,2021-03-12,25,49,6.37,3.9,0.27
Portugal,2021-03-12,5,9,0.01,0.0,0.0
Portugal,2021-03-12,50,59,9.09,3.67,0.31
Portugal,2021-03-12,60,69,8.13,2.38,0.26
Portugal,2021-03-12,70,79,5.01,1.95,0.33
Portugal,2021-03-12,80,,50.63,13.66,2.05
Portugal,2021-03-19,15,17,0.1,0.06,0.01
Portugal,2021-03-19,18,24,2.5,1.37,0.14
Portugal,2021-03-19,25,49,6.54,4.0,0.28
Portugal,2021-03-19,5,9,0.01,0.0,0.0
Portugal,2021-03-19,50,59,9.34,3.78,0.32
Portugal,2021-03-19,60,69,8.46,2.57,0.27
Portugal,2021-03-19,70,79,6.52,2.42,0.36
Portugal,2021-03-19,80,,58.22,27.15,2.18
Portugal,2021-03-26,10,14,0.01,0.0,0.0
Portugal,2021-03-26,15,17,0.11,0.06,0.01
Portugal,2021-03-26,18,24,2.93,1.39,0.15
Portugal,2021-03-26,25,49,7.86,4.06,0.28
Portugal,2021-03-26,5,9,0.01,0.0,0.0
Portugal,2021-03-26,50,59,11.01,3.84,0.32
Portugal,2021-03-26,60,69,9.93,2.68,0.29
Portugal,2021-03-26,70,79,10.65,2.53,0.4
Portugal,2021-03-26,80,,75.56,29.51,2.35
Portugal,2021-04-02,10,14,0.01,0.0,0.0
Portugal,2021-04-02,15,17,0.12,0.07,0.01
Portugal,2021-04-02,18,24,3.03,1.41,0.15
Portugal,2021-04-02,25,49,8.02,4.11,0.28
Portugal,2021-04-02,50,59,11.36,3.88,0.32
Portugal,2021-04-02,60,69,11.53,2.83,0.31
Portugal,2021-04-02,70,79,17.23,3.1,0.48
Portugal,2021-04-02,80,,80.69,40.01,2.43
Portugal,2021-04-09,10,14,0.01,0.0,0.0
