location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Romania,2021-05-28,0,17,0.84,0.48,0.0
Romania,2021-05-28,18,24,20.46,14.56,0.0
Romania,2021-05-28,25,49,26.09,21.53,0.0
Romania,2021-05-28,50,59,29.99,25.36,0.0
Romania,2021-05-28,60,69,34.73,30.72,0.0
Romania,2021-05-28,70,79,31.84,28.72,0.0
Romania,2021-05-28,80,,19.51,17.44,0.0
Romania,2021-06-04,0,17,1.16,0.62,0.0
Romania,2021-06-04,18,24,21.53,17.37,0.0
Romania,2021-06-04,25,49,27.0,23.87,0.0
Romania,2021-06-04,50,59,30.88,27.74,0.0
Romania,2021-06-04,60,69,35.49,32.69,0.0
Romania,2021-06-04,70,79,32.42,30.13,0.0
Romania,2021-06-04,80,,19.87,18.29,0.0
Romania,2021-06-11,0,17,1.35,0.73,0.0
Romania,2021-06-11,18,24,22.36,19.22,0.0
Romania,2021-06-11,25,49,27.77,25.45,0.0
Romania,2021-06-11,50,59,31.63,29.38,0.0
Romania,2021-06-11,60,69,36.13,34.09,0.0
Romania,2021-06-11,70,79,32.95,31.23,0.0
Romania,2021-06-11,80,,20.21,18.96,0.0
Romania,2021-06-18,0,17,1.45,0.84,0.0
Romania,2021-06-18,18,24,22.93,20.51,0.0
Romania,2021-06-18,25,49,28.31,26.53,0.0
Romania,2021-06-18,50,59,32.13,30.47,0.0
Romania,2021-06-18,60,69,36.56,35.07,0.0
Romania,2021-06-18,70,79,33.31,32.0,0.0
Romania,2021-06-18,80,,20.46,19.46,0.0
Romania,2021-06-25,0,17,1.53,1.16,0.0
Romania,2021-06-25,18,24,23.41,21.54,0.0
Romania,2021-06-25,25,49,28.75,27.36,0.0
Romania,2021-06-25,50,59,32.54,31.28,0.0
Romania,2021-06-25,60,69,36.93,35.8,0.0
Romania,2021-06-25,70,79,33.61,32.57,0.0
Romania,2021-06-25,80,,20.67,19.82,0.0
Romania,2021-07-02,0,17,1.62,1.34,0.0
Romania,2021-07-02,18,24,23.89,22.3,0.0
Romania,2021-07-02,25,49,29.19,28.01,0.0
Romania,2021-07-02,50,59,32.93,31.88,0.0
Romania,2021-07-02,60,69,37.26,36.3,0.0
Romania,2021-07-02,70,79,33.88,32.98,0.0
Romania,2021-07-02,80,,20.86,20.09,0.0
Romania,2021-07-09,0,17,1.7,1.44,0.0
Romania,2021-07-09,18,24,24.38,22.9,0.0
Romania,2021-07-09,25,49,29.64,28.53,0.0
Romania,2021-07-09,50,59,33.32,32.33,0.0
Romania,2021-07-09,60,69,37.58,36.68,0.0
Romania,2021-07-09,70,79,34.11,33.27,0.0
Romania,2021-07-09,80,,21.02,20.3,0.0
Romania,2021-07-16,0,17,1.77,1.53,0.0
Romania,2021-07-16,18,24,24.84,23.42,0.0
Romania,2021-07-16,25,49,30.07,29.01,0.0
Romania,2021-07-16,50,59,33.67,32.74,0.0
Romania,2021-07-16,60,69,37.84,37.01,0.0
Romania,2021-07-16,70,79,34.32,33.53,0.0
Romania,2021-07-16,80,,21.17,20.47,0.0
Romania,2021-07-23,0,17,1.85,1.61,0.0
Romania,2021-07-23,18,24,25.34,23.96,0.0
Romania,2021-07-23,25,49,30.57,29.55,0.0
Romania,2021-07-23,50,59,34.08,33.17,0.0
Romania,2021-07-23,60,69,38.14,37.33,0.0
Romania,2021-07-23,70,79,34.55,33.78,0.0
Romania,2021-07-23,80,,21.32,20.64,0.0
