location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Slovakia,2021-01-01,18,24,0.0,0.0,0.0
Slovakia,2021-01-01,25,49,0.01,0.0,0.0
Slovakia,2021-01-01,50,59,0.01,0.0,0.0
Slovakia,2021-01-01,60,69,0.0,0.0,0.0
Slovakia,2021-01-01,70,79,0.0,0.0,0.0
Slovakia,2021-01-01,80,,0.0,0.0,0.0
Slovakia,2021-01-08,0,4,0.0,0.0,0.0
Slovakia,2021-01-08,10,14,0.0,0.0,0.0
Slovakia,2021-01-08,15,17,0.01,0.0,0.0
Slovakia,2021-01-08,18,24,0.39,0.0,0.0
Slovakia,2021-01-08,25,49,0.78,0.0,0.0
Slovakia,2021-01-08,50,59,1.05,0.0,0.0
Slovakia,2021-01-08,60,69,0.65,0.0,0.0
Slovakia,2021-01-08,70,79,0.25,0.0,0.0
Slovakia,2021-01-08,80,,0.1,0.0,0.0
Slovakia,2021-01-15,15,17,0.02,0.0,0.0
Slovakia,2021-01-15,18,24,0.91,0.0,0.0
Slovakia,2021-01-15,25,49,1.63,0.0,0.0
Slovakia,2021-01-15,50,59,2.19,0.0,0.0
Slovakia,2021-01-15,60,69,1.36,0.0,0.0
Slovakia,2021-01-15,70,79,0.49,0.0,0.0
Slovakia,2021-01-15,80,,0.2,0.0,0.0
Slovakia,2021-01-22,15,17,0.02,0.0,0.0
Slovakia,2021-01-22,18,24,1.6,0.02,0.0
Slovakia,2021-01-22,25,49,2.49,0.08,0.0
Slovakia,2021-01-22,50,59,3.35,0.1,0.0
Slovakia,2021-01-22,60,69,2.04,0.06,0.0
Slovakia,2021-01-22,70,79,0.85,0.02,0.0
Slovakia,2021-01-22,80,,0.78,0.01,0.0
Slovakia,2021-01-29,15,17,0.03,0.0,0.0
Slovakia,2021-01-29,18,24,2.12,0.09,0.0
Slovakia,2021-01-29,25,49,2.92,0.26,0.0
Slovakia,2021-01-29,50,59,3.91,0.34,0.0
Slovakia,2021-01-29,60,69,2.58,0.22,0.0
Slovakia,2021-01-29,70,79,2.68,0.08,0.0
Slovakia,2021-01-29,80,,8.46,0.03,0.0
Slovakia,2021-02-05,0,4,0.0,0.0,0.0
Slovakia,2021-02-05,15,17,0.03,0.01,0.0
Slovakia,2021-02-05,18,24,2.39,0.39,0.0
Slovakia,2021-02-05,25,49,3.13,0.85,0.0
Slovakia,2021-02-05,50,59,4.2,1.13,0.0
Slovakia,2021-02-05,60,69,3.01,0.71,0.0
Slovakia,2021-02-05,70,79,7.72,0.27,0.0
Slovakia,2021-02-05,80,,16.31,0.11,0.0
Slovakia,2021-02-12,15,17,0.03,0.01,0.0
Slovakia,2021-02-12,18,24,2.85,0.9,0.0
Slovakia,2021-02-12,25,49,3.88,1.64,0.0
Slovakia,2021-02-12,50,59,4.98,2.22,0.0
Slovakia,2021-02-12,60,69,3.55,1.38,0.0
Slovakia,2021-02-12,70,79,11.17,0.52,0.0
Slovakia,2021-02-12,80,,21.79,0.25,0.0
Slovakia,2021-02-19,15,17,0.03,0.02,0.0
Slovakia,2021-02-19,18,24,3.15,1.55,0.0
Slovakia,2021-02-19,25,49,4.65,2.44,0.0
Slovakia,2021-02-19,5,9,0.0,0.0,0.0
Slovakia,2021-02-19,50,59,6.08,3.28,0.0
Slovakia,2021-02-19,60,69,4.36,2.03,0.0
Slovakia,2021-02-19,70,79,12.59,0.87,0.0
Slovakia,2021-02-19,80,,23.84,0.81,0.0
Slovakia,2021-02-26,15,17,0.03,0.02,0.0
Slovakia,2021-02-26,18,24,3.56,2.06,0.0
Slovakia,2021-02-26,25,49,5.65,2.89,0.0
Slovakia,2021-02-26,5,9,0.0,0.0,0.0
Slovakia,2021-02-26,50,59,6.97,3.86,0.0
Slovakia,2021-02-26,60,69,4.72,2.55,0.0
Slovakia,2021-02-26,70,79,13.68,2.46,0.0
Slovakia,2021-02-26,80,,25.58,7.92,0.0
Slovakia,2021-03-05,0,4,0.0,0.0,0.0
Slovakia,2021-03-05,15,17,0.04,0.02,0.0
Slovakia,2021-03-05,18,24,4.17,2.33,0.0
Slovakia,2021-03-05,25,49,7.05,3.11,0.0
Slovakia,2021-03-05,50,59,8.64,4.17,0.0
Slovakia,2021-03-05,60,69,5.55,2.99,0.0
Slovakia,2021-03-05,70,79,14.09,7.48,0.0
Slovakia,2021-03-05,80,,26.32,16.0,0.0
Slovakia,2021-03-12,15,17,0.04,0.02,0.0
Slovakia,2021-03-12,18,24,4.34,2.68,0.0
Slovakia,2021-03-12,25,49,7.39,3.38,0.0
Slovakia,2021-03-12,50,59,9.18,4.55,0.0
Slovakia,2021-03-12,60,69,11.18,3.52,0.0
Slovakia,2021-03-12,70,79,17.9,10.89,0.0
Slovakia,2021-03-12,80,,27.57,21.51,0.0
Slovakia,2021-03-19,15,17,0.05,0.03,0.0
Slovakia,2021-03-19,18,24,4.72,2.89,0.0
Slovakia,2021-03-19,25,49,7.92,3.6,0.0
Slovakia,2021-03-19,5,9,0.0,0.0,0.0
Slovakia,2021-03-19,50,59,10.44,5.21,0.0
Slovakia,2021-03-19,60,69,16.41,4.32,0.0
Slovakia,2021-03-19,70,79,28.52,12.31,0.0
Slovakia,2021-03-19,80,,30.8,23.6,0.0
Slovakia,2021-03-26,15,17,0.05,0.03,0.0
Slovakia,2021-03-26,18,24,5.14,3.1,0.0
Slovakia,2021-03-26,25,49,8.54,3.8,0.0
Slovakia,2021-03-26,5,9,0.0,0.0,0.0
Slovakia,2021-03-26,50,59,12.8,5.54,0.0
Slovakia,2021-03-26,60,69,19.97,4.69,0.0
Slovakia,2021-03-26,70,79,39.52,13.4,0.0
Slovakia,2021-03-26,80,,37.41,25.39,0.0
Slovakia,2021-04-02,15,17,0.06,0.03,0.0
Slovakia,2021-04-02,18,24,5.46,3.16,0.0
Slovakia,2021-04-02,25,49,9.03,3.91,0.0
Slovakia,2021-04-02,50,59,15.7,5.7,0.0
Slovakia,2021-04-02,60,69,25.33,4.91,0.0
Slovakia,2021-04-02,70,79,45.73,13.75,0.0
Slovakia,2021-04-02,80,,39.45,25.99,0.0
Slovakia,2021-04-09,15,17,0.07,0.03,0.0
Slovakia,2021-04-09,18,24,5.88,3.24,0.0
Slovakia,2021-04-09,25,49,9.86,4.04,0.0
Slovakia,2021-04-09,5,9,0.0,0.0,0.0
Slovakia,2021-04-09,50,59,21.33,5.95,0.0
Slovakia,2021-04-09,60,69,30.68,5.36,0.0
Slovakia,2021-04-09,70,79,48.79,17.44,0.0
Slovakia,2021-04-09,80,,40.86,27.22,0.0
Slovakia,2021-04-16,10,14,0.0,0.0,0.0
Slovakia,2021-04-16,15,17,0.07,0.04,0.0
Slovakia,2021-04-16,18,24,6.21,3.34,0.0
Slovakia,2021-04-16,25,49,11.77,4.2,0.0
Slovakia,2021-04-16,5,9,0.0,0.0,0.0
Slovakia,2021-04-16,50,59,24.34,6.25,0.0
Slovakia,2021-04-16,60,69,34.32,5.93,0.0
Slovakia,2021-04-16,70,79,50.82,27.57,0.0
Slovakia,2021-04-16,80,,42.12,30.38,0.0
Slovakia,2021-04-23,15,17,0.07,0.05,0.0
Slovakia,2021-04-23,18,24,6.56,3.52,0.0
Slovakia,2021-04-23,25,49,13.12,4.83,0.0
Slovakia,2021-04-23,50,59,26.18,7.16,0.0
Slovakia,2021-04-23,60,69,37.15,7.08,0.0
Slovakia,2021-04-23,70,79,52.24,37.83,0.0
Slovakia,2021-04-23,80,,43.13,36.93,0.0
Slovakia,2021-04-30,10,14,0.0,0.0,0.0
Slovakia,2021-04-30,15,17,0.49,0.05,0.0
Slovakia,2021-04-30,18,24,7.26,3.65,0.0
Slovakia,2021-04-30,25,49,14.79,5.32,0.0
Slovakia,2021-04-30,5,9,0.0,0.0,0.0
Slovakia,2021-04-30,50,59,27.66,7.83,0.0
Slovakia,2021-04-30,60,69,41.63,11.79,0.0
Slovakia,2021-04-30,70,79,54.2,44.73,0.0
Slovakia,2021-04-30,80,,44.38,39.04,0.0
Slovakia,2021-05-07,0,4,0.0,0.0,0.0
Slovakia,2021-05-07,10,14,0.0,0.0,0.0
Slovakia,2021-05-07,15,17,0.75,0.05,0.0
Slovakia,2021-05-07,18,24,8.66,3.87,0.0
Slovakia,2021-05-07,25,49,16.99,6.24,0.0
Slovakia,2021-05-07,50,59,31.21,8.84,0.0
Slovakia,2021-05-07,60,69,46.65,16.98,0.0
