location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Slovenia,2021-01-01,18,24,0.01,0.0,0.0
Slovenia,2021-01-01,25,49,0.07,0.0,0.0
Slovenia,2021-01-01,50,59,0.17,0.0,0.0
Slovenia,2021-01-01,60,69,0.15,0.0,0.0
Slovenia,2021-01-01,70,79,0.34,0.0,0.0
Slovenia,2021-01-01,80,,1.39,0.0,0.0
Slovenia,2021-01-08,0,17,0.0,0.0,0.0
Slovenia,2021-01-08,18,24,0.35,0.0,0.0
Slovenia,2021-01-08,25,49,1.64,0.0,0.0
Slovenia,2021-01-08,50,59,2.33,0.0,0.0
Slovenia,2021-01-08,60,69,1.21,0.0,0.0
Slovenia,2021-01-08,70,79,0.91,0.0,0.0
Slovenia,2021-01-08,80,,2.31,0.0,0.0
Slovenia,2021-01-15,0,17,0.0,0.0,0.0
Slovenia,2021-01-15,18,24,0.53,0.0,0.0
Slovenia,2021-01-15,25,49,2.07,0.01,0.0
Slovenia,2021-01-15,50,59,2.87,0.01,0.0
Slovenia,2021-01-15,60,69,1.55,0.01,0.0
Slovenia,2021-01-15,70,79,1.34,0.0,0.0
Slovenia,2021-01-15,80,,10.78,0.0,0.0
Slovenia,2021-01-22,0,17,0.0,0.0,0.0
Slovenia,2021-01-22,18,24,0.58,0.06,0.0
Slovenia,2021-01-22,25,49,2.24,0.34,0.0
Slovenia,2021-01-22,50,59,3.1,0.61,0.0
Slovenia,2021-01-22,60,69,1.63,0.37,0.0
Slovenia,2021-01-22,70,79,1.43,0.42,0.0
Slovenia,2021-01-22,80,,12.13,1.7,0.0
Slovenia,2021-01-29,0,17,0.0,0.0,0.0
Slovenia,2021-01-29,18,24,0.63,0.29,0.0
Slovenia,2021-01-29,25,49,2.31,1.48,0.0
Slovenia,2021-01-29,50,59,3.18,2.13,0.0
Slovenia,2021-01-29,60,69,1.67,1.15,0.0
Slovenia,2021-01-29,70,79,1.46,0.8,0.0
Slovenia,2021-01-29,80,,12.38,2.11,0.0
Slovenia,2021-02-05,0,17,0.0,0.0,0.0
Slovenia,2021-02-05,18,24,0.65,0.47,0.0
