location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Spain,2021-01-08,10,14,0.0,0.0,0.0
Spain,2021-01-08,15,17,0.0,0.0,0.0
Spain,2021-01-08,18,24,0.28,0.0,0.0
Spain,2021-01-08,25,49,0.83,0.0,0.0
Spain,2021-01-08,50,59,1.0,0.0,0.0
Spain,2021-01-08,60,69,0.76,0.0,0.0
Spain,2021-01-08,70,79,0.69,0.0,0.0
Spain,2021-01-08,80,,4.62,0.0,0.0
Spain,2021-01-15,10,14,0.0,0.0,0.0
Spain,2021-01-15,15,17,0.01,0.0,0.0
Spain,2021-01-15,18,24,0.73,0.0,0.0
Spain,2021-01-15,25,49,2.24,0.0,0.0
Spain,2021-01-15,50,59,2.65,0.0,0.0
Spain,2021-01-15,60,69,1.95,0.0,0.0
Spain,2021-01-15,70,79,1.06,0.01,0.0
Spain,2021-01-15,80,,6.91,0.03,0.0
Spain,2021-01-22,10,14,0.0,0.0,0.0
Spain,2021-01-22,15,17,0.01,0.0,0.0
Spain,2021-01-22,18,24,1.0,0.04,0.0
Spain,2021-01-22,25,49,2.96,0.14,0.0
Spain,2021-01-22,50,59,3.54,0.2,0.0
Spain,2021-01-22,60,69,2.58,0.17,0.0
Spain,2021-01-22,70,79,1.19,0.19,0.0
Spain,2021-01-22,80,,7.66,1.21,0.0
Spain,2021-01-29,10,14,0.0,0.0,0.0
Spain,2021-01-29,15,17,0.01,0.0,0.0
Spain,2021-01-29,18,24,1.11,0.23,0.0
Spain,2021-01-29,25,49,3.21,0.73,0.0
Spain,2021-01-29,50,59,3.85,0.91,0.0
Spain,2021-01-29,60,69,2.79,0.71,0.0
Spain,2021-01-29,70,79,1.24,0.62,0.0
Spain,2021-01-29,80,,7.96,4.23,0.0
Spain,2021-02-05,10,14,0.0,0.0,0.0
Spain,2021-02-05,15,17,0.02,0.0,0.0
Spain,2021-02-05,18,24,1.24,0.6,0.0
Spain,2021-02-05,25,49,3.42,1.96,0.0
Spain,2021-02-05,50,59,4.07,2.34,0.0
Spain,2021-02-05,60,69,2.94,1.75,0.0
Spain,2021-02-05,70,79,1.29,0.95,0.0
Spain,2021-02-05,80,,8.25,6.35,0.0
Spain,2021-02-12,10,14,0.0,0.0,0.0
Spain,2021-02-12,15,17,0.02,0.01,0.0
Spain,2021-02-12,18,24,1.51,0.91,0.0
Spain,2021-02-12,25,49,4.03,2.78,0.0
Spain,2021-02-12,50,59,4.66,3.34,0.0
Spain,2021-02-12,60,69,3.3,2.45,0.0
Spain,2021-02-12,70,79,1.38,1.11,0.0
Spain,2021-02-12,80,,8.88,7.26,0.0
Spain,2021-02-19,10,14,0.0,0.0,0.0
Spain,2021-02-19,15,17,0.03,0.01,0.0
Spain,2021-02-19,18,24,2.03,1.07,0.0
Spain,2021-02-19,25,49,4.9,3.11,0.0
Spain,2021-02-19,50,59,5.53,3.74,0.0
Spain,2021-02-19,60,69,3.8,2.73,0.0
Spain,2021-02-19,70,79,1.61,1.18,0.0
Spain,2021-02-19,80,,14.09,7.65,0.0
Spain,2021-02-26,10,14,0.0,0.0,0.0
Spain,2021-02-26,15,17,0.05,0.01,0.0
Spain,2021-02-26,18,24,2.65,1.16,0.0
Spain,2021-02-26,25,49,6.36,3.27,0.0
Spain,2021-02-26,50,59,6.65,3.92,0.0
Spain,2021-02-26,60,69,4.31,2.85,0.0
Spain,2021-02-26,70,79,2.1,1.24,0.0
Spain,2021-02-26,80,,25.19,7.97,0.0
Spain,2021-03-05,10,14,0.0,0.0,0.0
Spain,2021-03-05,15,17,0.06,0.02,0.0
Spain,2021-03-05,18,24,3.14,1.32,0.0
Spain,2021-03-05,25,49,7.95,3.63,0.0
Spain,2021-03-05,50,59,7.72,4.33,0.01
Spain,2021-03-05,60,69,4.66,3.15,0.0
Spain,2021-03-05,70,79,2.61,1.32,0.0
Spain,2021-03-05,80,,38.63,8.59,0.0
Spain,2021-03-12,10,14,0.0,0.0,0.0
Spain,2021-03-12,15,17,0.06,0.03,0.0
Spain,2021-03-12,18,24,3.73,1.62,0.0
Spain,2021-03-12,25,49,9.33,4.12,0.01
Spain,2021-03-12,50,59,8.95,4.91,0.01
