location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Sweden,2021-01-01,18,24,0.0,0.0,0.0
Sweden,2021-01-01,25,49,0.0,0.0,0.0
Sweden,2021-01-01,50,59,0.01,0.0,0.0
Sweden,2021-01-01,60,69,0.01,0.0,0.0
Sweden,2021-01-01,70,79,0.02,0.0,0.0
Sweden,2021-01-01,80,,0.14,0.0,0.0
Sweden,2021-01-08,18,24,0.06,0.0,0.0
Sweden,2021-01-08,25,49,0.15,0.0,0.0
Sweden,2021-01-08,50,59,0.32,0.0,0.0
Sweden,2021-01-08,60,69,0.34,0.0,0.0
Sweden,2021-01-08,70,79,0.52,0.0,0.0
Sweden,2021-01-08,80,,2.66,0.0,0.0
Sweden,2021-01-15,18,24,0.26,0.0,0.0
Sweden,2021-01-15,25,49,0.69,0.0,0.0
Sweden,2021-01-15,50,59,1.2,0.0,0.0
Sweden,2021-01-15,60,69,1.15,0.0,0.0
Sweden,2021-01-15,70,79,1.15,0.0,0.0
Sweden,2021-01-15,80,,5.51,0.0,0.0
Sweden,2021-01-22,18,24,0.62,0.01,0.0
Sweden,2021-01-22,25,49,1.51,0.02,0.0
Sweden,2021-01-22,50,59,2.46,0.05,0.0
Sweden,2021-01-22,60,69,2.34,0.06,0.0
Sweden,2021-01-22,70,79,1.99,0.12,0.0
Sweden,2021-01-22,80,,9.01,0.63,0.0
Sweden,2021-01-29,18,24,0.89,0.03,0.0
Sweden,2021-01-29,25,49,2.02,0.09,0.0
Sweden,2021-01-29,50,59,3.28,0.2,0.0
Sweden,2021-01-29,60,69,3.09,0.24,0.0
Sweden,2021-01-29,70,79,2.48,0.4,0.0
Sweden,2021-01-29,80,,11.19,2.04,0.0
Sweden,2021-02-05,18,24,1.04,0.15,0.0
Sweden,2021-02-05,25,49,2.28,0.43,0.0
Sweden,2021-02-05,50,59,3.71,0.79,0.0
Sweden,2021-02-05,60,69,3.52,0.79,0.0
Sweden,2021-02-05,70,79,2.9,0.88,0.0
Sweden,2021-02-05,80,,12.86,4.36,0.0
Sweden,2021-02-12,18,24,1.2,0.35,0.0
Sweden,2021-02-12,25,49,2.53,0.91,0.0
Sweden,2021-02-12,50,59,4.09,1.56,0.0
Sweden,2021-02-12,60,69,3.87,1.55,0.0
Sweden,2021-02-12,70,79,3.26,1.57,0.0
Sweden,2021-02-12,80,,14.55,7.47,0.0
Sweden,2021-02-19,18,24,1.56,0.68,0.0
Sweden,2021-02-19,25,49,3.06,1.66,0.0
Sweden,2021-02-19,50,59,4.86,2.73,0.0
Sweden,2021-02-19,60,69,4.56,2.62,0.0
Sweden,2021-02-19,70,79,3.96,2.23,0.0
Sweden,2021-02-19,80,,17.78,10.07,0.0
Sweden,2021-02-26,18,24,2.03,0.94,0.0
Sweden,2021-02-26,25,49,3.77,2.13,0.0
Sweden,2021-02-26,50,59,5.87,3.48,0.0
Sweden,2021-02-26,60,69,5.52,3.3,0.0
Sweden,2021-02-26,70,79,4.93,2.68,0.0
Sweden,2021-02-26,80,,23.37,11.93,0.0
Sweden,2021-03-05,18,24,2.63,1.05,0.0
Sweden,2021-03-05,25,49,4.97,2.36,0.0
Sweden,2021-03-05,50,59,7.42,3.84,0.0
Sweden,2021-03-05,60,69,6.95,3.7,0.0
Sweden,2021-03-05,70,79,6.23,3.13,0.0
Sweden,2021-03-05,80,,31.95,13.91,0.0
Sweden,2021-03-12,18,24,3.19,1.13,0.0
Sweden,2021-03-12,25,49,5.97,2.5,0.0
Sweden,2021-03-12,50,59,8.69,4.06,0.0
Sweden,2021-03-12,60,69,8.31,4.04,0.0
