location,date,vaccine,total_vaccinations
Croatia,2021-01-15,Johnson&Johnson,1
Croatia,2021-01-29,Johnson&Johnson,2
Croatia,2021-02-05,Johnson&Johnson,4
Croatia,2021-02-12,Johnson&Johnson,5
Croatia,2021-02-19,Johnson&Johnson,7
Croatia,2021-03-05,Johnson&Johnson,11
Croatia,2021-03-12,Johnson&Johnson,28
Croatia,2021-03-19,Johnson&Johnson,43
Croatia,2021-03-26,Johnson&Johnson,55
Croatia,2021-04-02,Johnson&Johnson,74
Croatia,2021-04-09,Johnson&Johnson,120
Croatia,2021-04-16,Johnson&Johnson,131
Croatia,2021-04-23,Johnson&Johnson,132
Croatia,2021-04-30,Johnson&Johnson,858
Croatia,2021-05-07,Johnson&Johnson,3669
Croatia,2021-05-14,Johnson&Johnson,6289
Croatia,2021-05-21,Johnson&Johnson,9730
Croatia,2021-05-28,Johnson&Johnson,13068
Croatia,2021-06-04,Johnson&Johnson,15380
Croatia,2021-06-11,Johnson&Johnson,18378
Croatia,2021-06-18,Johnson&Johnson,20909
Croatia,2021-06-25,Johnson&Johnson,23058
Croatia,2021-07-02,Johnson&Johnson,26106
Croatia,2021-07-09,Johnson&Johnson,31780
Croatia,2021-07-16,Johnson&Johnson,39437
Croatia,2021-07-23,Johnson&Johnson,47045
Croatia,2021-07-30,Johnson&Johnson,54396
Croatia,2021-08-06,Johnson&Johnson,58222
Croatia,2021-08-13,Johnson&Johnson,62196
Croatia,2021-08-20,Johnson&Johnson,66628
Croatia,2021-08-27,Johnson&Johnson,71737
Croatia,2021-09-03,Johnson&Johnson,77362
Croatia,2021-09-10,Johnson&Johnson,81705
Croatia,2021-09-17,Johnson&Johnson,88110
Croatia,2021-09-24,Johnson&Johnson,94642
Croatia,2021-10-01,Johnson&Johnson,100737
Croatia,2021-10-08,Johnson&Johnson,106621
Croatia,2021-10-15,Johnson&Johnson,110561
Croatia,2021-10-22,Johnson&Johnson,114120
Croatia,2021-10-29,Johnson&Johnson,119859
Croatia,2021-11-05,Johnson&Johnson,127635
Croatia,2021-11-12,Johnson&Johnson,146219
Croatia,2021-11-19,Johnson&Johnson,164533
Croatia,2021-11-26,Johnson&Johnson,176128
Croatia,2021-12-03,Johnson&Johnson,181442
Croatia,2021-12-10,Johnson&Johnson,184781
Croatia,2021-12-17,Johnson&Johnson,187408
Croatia,2021-12-24,Johnson&Johnson,188901
Croatia,2021-12-31,Johnson&Johnson,190322
Croatia,2022-01-07,Johnson&Johnson,191998
Croatia,2022-01-14,Johnson&Johnson,194136
Croatia,2022-01-21,Johnson&Johnson,195878
Croatia,2022-01-28,Johnson&Johnson,197164
Croatia,2022-02-04,Johnson&Johnson,198187
Croatia,2022-02-11,Johnson&Johnson,199085
Croatia,2022-02-18,Johnson&Johnson,199972
Croatia,2022-02-25,Johnson&Johnson,200636
Croatia,2022-03-04,Johnson&Johnson,200983
Croatia,2022-03-11,Johnson&Johnson,201286
Croatia,2022-03-18,Johnson&Johnson,201483
Croatia,2022-03-25,Johnson&Johnson,201684
Croatia,2022-04-01,Johnson&Johnson,201861
Croatia,2022-04-08,Johnson&Johnson,202074
Croatia,2022-04-15,Johnson&Johnson,202217
Croatia,2022-04-22,Johnson&Johnson,202356
Croatia,2022-04-29,Johnson&Johnson,202526
Croatia,2022-05-06,Johnson&Johnson,202653
Croatia,2022-05-13,Johnson&Johnson,202790
Croatia,2022-05-20,Johnson&Johnson,202892
Croatia,2022-05-27,Johnson&Johnson,202992
Croatia,2022-06-03,Johnson&Johnson,203096
Croatia,2022-06-10,Johnson&Johnson,203179
Croatia,2022-06-17,Johnson&Johnson,203266
Croatia,2022-06-24,Johnson&Johnson,203340
Croatia,2022-07-01,Johnson&Johnson,203445
Croatia,2022-07-08,Johnson&Johnson,203522
Croatia,2022-07-15,Johnson&Johnson,203638
Croatia,2022-07-22,Johnson&Johnson,203741
Croatia,2022-07-29,Johnson&Johnson,203823
Croatia,2022-08-05,Johnson&Johnson,203922
Croatia,2022-08-12,Johnson&Johnson,204030
Croatia,2022-08-19,Johnson&Johnson,204108
Croatia,2022-08-26,Johnson&Johnson,204188
Croatia,2022-09-02,Johnson&Johnson,204303
Croatia,2022-09-09,Johnson&Johnson,204383
Croatia,2022-09-16,Johnson&Johnson,204459
Croatia,2022-09-23,Johnson&Johnson,204536
Croatia,2022-09-30,Johnson&Johnson,204601
Croatia,2022-10-07,Johnson&Johnson,204686
Croatia,2022-10-14,Johnson&Johnson,204757
Croatia,2022-10-21,Johnson&Johnson,204799
Croatia,2022-10-28,Johnson&Johnson,204853
Croatia,2022-11-04,Johnson&Johnson,204885
Croatia,2022-11-11,Johnson&Johnson,204938
Croatia,2022-11-18,Johnson&Johnson,204983
Croatia,2022-11-25,Johnson&Johnson,205035
Croatia,2022-12-02,Johnson&Johnson,205074
Croatia,2022-12-09,Johnson&Johnson,205125
Croatia,2022-12-16,Johnson&Johnson,205152
Croatia,2022-12-23,Johnson&Johnson,205179
Croatia,2022-12-30,Johnson&Johnson,205202
Croatia,2023-01-06,Johnson&Johnson,205217
