location,date,vaccine,total_vaccinations
Denmark,2021-01-08,Johnson&Johnson,2
Denmark,2021-01-15,Johnson&Johnson,3
Denmark,2021-01-22,Johnson&Johnson,4
Denmark,2021-02-19,Johnson&Johnson,5
Denmark,2021-03-05,Johnson&Johnson,11
Denmark,2021-03-12,Johnson&Johnson,20
Denmark,2021-03-19,Johnson&Johnson,77
Denmark,2021-03-26,Johnson&Johnson,121
Denmark,2021-04-02,Johnson&Johnson,177
Denmark,2021-04-09,Johnson&Johnson,317
Denmark,2021-04-16,Johnson&Johnson,332
Denmark,2021-04-23,Johnson&Johnson,334
Denmark,2021-04-30,Johnson&Johnson,380
Denmark,2021-05-07,Johnson&Johnson,435
Denmark,2021-05-14,Johnson&Johnson,528
Denmark,2021-05-21,Johnson&Johnson,685
Denmark,2021-05-28,Johnson&Johnson,1603
Denmark,2021-06-04,Johnson&Johnson,10800
Denmark,2021-06-11,Johnson&Johnson,28913
Denmark,2021-06-18,Johnson&Johnson,38185
Denmark,2021-06-25,Johnson&Johnson,41645
Denmark,2021-07-02,Johnson&Johnson,43316
Denmark,2021-07-09,Johnson&Johnson,43865
Denmark,2021-07-16,Johnson&Johnson,44151
Denmark,2021-07-23,Johnson&Johnson,44373
Denmark,2021-07-30,Johnson&Johnson,44493
Denmark,2021-08-06,Johnson&Johnson,44597
Denmark,2021-08-13,Johnson&Johnson,44673
Denmark,2021-08-20,Johnson&Johnson,44727
Denmark,2021-08-27,Johnson&Johnson,44793
Denmark,2021-09-03,Johnson&Johnson,44823
Denmark,2021-09-10,Johnson&Johnson,44833
Denmark,2021-09-17,Johnson&Johnson,44850
Denmark,2021-09-24,Johnson&Johnson,44862
Denmark,2021-10-01,Johnson&Johnson,44885
Denmark,2021-10-08,Johnson&Johnson,44905
Denmark,2021-10-15,Johnson&Johnson,44924
Denmark,2021-10-22,Johnson&Johnson,44947
Denmark,2021-10-29,Johnson&Johnson,44965
Denmark,2021-11-05,Johnson&Johnson,44975
Denmark,2021-11-12,Johnson&Johnson,44993
Denmark,2021-11-19,Johnson&Johnson,45019
Denmark,2021-11-26,Johnson&Johnson,45040
Denmark,2021-12-03,Johnson&Johnson,45084
Denmark,2021-12-10,Johnson&Johnson,45107
Denmark,2021-12-17,Johnson&Johnson,45124
Denmark,2021-12-24,Johnson&Johnson,45139
Denmark,2021-12-31,Johnson&Johnson,45146
Denmark,2022-01-07,Johnson&Johnson,45162
Denmark,2022-01-14,Johnson&Johnson,45169
Denmark,2022-01-21,Johnson&Johnson,45175
Denmark,2022-01-28,Johnson&Johnson,45183
Denmark,2022-02-04,Johnson&Johnson,45187
Denmark,2022-02-11,Johnson&Johnson,45188
Denmark,2022-02-25,Johnson&Johnson,45194
Denmark,2022-03-04,Johnson&Johnson,45198
Denmark,2022-03-11,Johnson&Johnson,45205
Denmark,2022-03-18,Johnson&Johnson,45207
Denmark,2022-03-25,Johnson&Johnson,45211
Denmark,2022-04-01,Johnson&Johnson,45213
Denmark,2022-04-08,Johnson&Johnson,45219
Denmark,2022-04-15,Johnson&Johnson,45223
Denmark,2022-04-22,Johnson&Johnson,45227
Denmark,2022-04-29,Johnson&Johnson,45230
Denmark,2022-05-06,Johnson&Johnson,45233
Denmark,2022-05-13,Johnson&Johnson,45236
Denmark,2022-05-20,Johnson&Johnson,45240
Denmark,2022-05-27,Johnson&Johnson,45245
Denmark,2022-06-03,Johnson&Johnson,45251
Denmark,2022-06-10,Johnson&Johnson,45255
Denmark,2022-06-17,Johnson&Johnson,45259
Denmark,2022-06-24,Johnson&Johnson,45262
Denmark,2022-07-08,Johnson&Johnson,45268
Denmark,2022-07-15,Johnson&Johnson,45274
Denmark,2022-07-29,Johnson&Johnson,45275
Denmark,2022-08-05,Johnson&Johnson,45279
Denmark,2022-08-12,Johnson&Johnson,45282
Denmark,2022-08-19,Johnson&Johnson,45287
Denmark,2022-08-26,Johnson&Johnson,45289
Denmark,2022-09-02,Johnson&Johnson,45294
Denmark,2022-09-09,Johnson&Johnson,45299
Denmark,2022-09-16,Johnson&Johnson,45308
Denmark,2022-09-23,Johnson&Johnson,45313
Denmark,2022-09-30,Johnson&Johnson,45317
Denmark,2022-10-07,Johnson&Johnson,45330
Denmark,2022-10-14,Johnson&Johnson,45334
Denmark,2022-10-21,Johnson&Johnson,45339
Denmark,2022-11-04,Johnson&Johnson,45341
Denmark,2022-11-11,Johnson&Johnson,45344
