location,date,vaccine,total_vaccinations
Finland,2021-01-01,Johnson&Johnson,0
Finland,2021-01-01,Moderna,2
Finland,2021-01-08,Moderna,18
Finland,2021-01-15,Moderna,20
Finland,2021-01-22,Moderna,951
Finland,2021-01-29,Moderna,3523
Finland,2021-02-05,Moderna,4395
Finland,2021-02-12,Moderna,5760
Finland,2021-02-19,Moderna,10410
Finland,2021-02-26,Moderna,19206
Finland,2021-03-05,Moderna,27115
Finland,2021-03-12,Moderna,38940
Finland,2021-03-19,Moderna,42792
Finland,2021-03-26,Moderna,52886
Finland,2021-04-02,Moderna,69791
Finland,2021-04-09,Moderna,81852
Finland,2021-04-16,Moderna,104118
Finland,2021-04-23,Moderna,119124
Finland,2021-04-30,Moderna,138602
Finland,2021-05-07,Moderna,163090
Finland,2021-05-14,Moderna,189336
Finland,2021-05-21,Moderna,223225
Finland,2021-05-28,Moderna,259887
Finland,2021-06-04,Moderna,298243
Finland,2021-06-11,Moderna,327341
Finland,2021-06-18,Moderna,360316
Finland,2021-06-25,Moderna,385701
Finland,2021-07-02,Moderna,411873
Finland,2021-07-09,Moderna,443943
Finland,2021-07-16,Moderna,470055
Finland,2021-07-23,Moderna,501953
Finland,2021-07-30,Moderna,539065
Finland,2021-08-06,Moderna,584819
Finland,2021-08-13,Moderna,647268
Finland,2021-08-20,Moderna,716957
Finland,2021-08-27,Moderna,765489
Finland,2021-09-03,Moderna,801357
Finland,2021-09-10,Moderna,835255
Finland,2021-09-17,Moderna,866825
Finland,2021-09-24,Moderna,910713
Finland,2021-10-01,Moderna,950697
Finland,2021-10-08,Moderna,982038
Finland,2021-10-15,Moderna,1000224
Finland,2021-10-22,Moderna,1015575
Finland,2021-10-29,Moderna,1032991
Finland,2021-11-05,Moderna,1045434
Finland,2021-11-12,Moderna,1056464
Finland,2021-11-19,Moderna,1066875
Finland,2021-11-26,Moderna,1077286
Finland,2021-12-03,Moderna,1091458
Finland,2021-12-10,Moderna,1110875
Finland,2021-12-17,Moderna,1152586
Finland,2021-12-24,Moderna,1199166
Finland,2021-12-31,Moderna,1298126
Finland,2022-01-07,Moderna,1429946
Finland,2022-01-14,Moderna,1582983
Finland,2022-01-21,Moderna,1726695
Finland,2022-01-28,Moderna,1815029
Finland,2022-02-04,Moderna,1852463
Finland,2022-02-11,Moderna,1869699
Finland,2022-02-18,Moderna,1878966
Finland,2022-02-25,Moderna,1884705
Finland,2022-03-04,Moderna,1887969
Finland,2022-03-11,Moderna,1890705
Finland,2022-03-18,Moderna,1893050
Finland,2022-03-25,Moderna,1896079
Finland,2022-04-01,Moderna,1904789
Finland,2022-04-08,Moderna,1916882
Finland,2022-04-15,Moderna,1925061
Finland,2022-04-22,Moderna,1931584
Finland,2022-04-29,Moderna,1938228
Finland,2022-05-06,Moderna,1942824
Finland,2022-05-13,Moderna,1947608
Finland,2022-05-20,Moderna,1951704
Finland,2022-05-27,Moderna,1954375
Finland,2022-06-03,Moderna,1957553
Finland,2022-06-10,Moderna,1963055
Finland,2022-06-17,Moderna,1968447
Finland,2022-06-24,Moderna,1971211
Finland,2022-07-01,Moderna,1973627
Finland,2022-07-08,Moderna,1975993
Finland,2022-07-15,Moderna,1979000
Finland,2022-07-22,Moderna,1983257
Finland,2022-07-29,Moderna,1990273
Finland,2022-08-05,Moderna,2001081
Finland,2022-08-12,Moderna,2015814
Finland,2022-08-19,Moderna,2032393
Finland,2022-08-26,Moderna,2043730
Finland,2022-09-02,Moderna,2053692
Finland,2022-09-09,Moderna,2060654
Finland,2022-09-16,Moderna,2064232
Finland,2022-09-23,Moderna,2066126
Finland,2022-09-30,Moderna,2067205
Finland,2022-10-07,Moderna,2067835
Finland,2022-10-14,Moderna,2068261
Finland,2022-10-21,Moderna,2068387
Finland,2022-10-28,Moderna,2068413
Finland,2022-11-04,Moderna,2068417
Finland,2022-11-11,Moderna,2068469
Finland,2022-11-25,Moderna,2068471
Finland,2022-12-09,Moderna,2068477
Finland,2022-12-16,Moderna,2068478
Finland,2022-12-23,Moderna,2068479
Finland,2023-01-13,Moderna,2068480
Finland,2023-02-03,Moderna,2068481
Finland,2023-04-21,Moderna,2068482
Finland,2023-08-25,Moderna,2068483
Finland,2021-01-01,Novavax,0
Finland,2021-01-01,Oxford/AstraZeneca,0
Finland,2021-01-08,Oxford/AstraZeneca,9
Finland,2021-01-15,Oxford/AstraZeneca,11
Finland,2021-01-22,Oxford/AstraZeneca,13
Finland,2021-01-29,Oxford/AstraZeneca,15
Finland,2021-02-05,Oxford/AstraZeneca,22
Finland,2021-02-12,Oxford/AstraZeneca,4036
Finland,2021-02-19,Oxford/AstraZeneca,24317
Finland,2021-02-26,Oxford/AstraZeneca,56082
Finland,2021-03-05,Oxford/AstraZeneca,96342
Finland,2021-03-12,Oxford/AstraZeneca,140881
Finland,2021-03-19,Oxford/AstraZeneca,185350
Finland,2021-03-26,Oxford/AstraZeneca,185375
Finland,2021-04-02,Oxford/AstraZeneca,202685
Finland,2021-04-09,Oxford/AstraZeneca,243612
Finland,2021-04-16,Oxford/AstraZeneca,299828
Finland,2021-04-23,Oxford/AstraZeneca,337198
Finland,2021-04-30,Oxford/AstraZeneca,354637
Finland,2021-05-07,Oxford/AstraZeneca,360383
Finland,2021-05-14,Oxford/AstraZeneca,368036
Finland,2021-05-21,Oxford/AstraZeneca,381111
Finland,2021-05-28,Oxford/AstraZeneca,392791
Finland,2021-06-04,Oxford/AstraZeneca,405365
Finland,2021-06-11,Oxford/AstraZeneca,422335
Finland,2021-06-18,Oxford/AstraZeneca,426287
Finland,2021-06-25,Oxford/AstraZeneca,439152
Finland,2021-07-02,Oxford/AstraZeneca,471585
Finland,2021-07-09,Oxford/AstraZeneca,508189
Finland,2021-07-16,Oxford/AstraZeneca,536392
Finland,2021-07-23,Oxford/AstraZeneca,549690
Finland,2021-07-30,Oxford/AstraZeneca,552508
Finland,2021-08-06,Oxford/AstraZeneca,553204
Finland,2021-08-13,Oxford/AstraZeneca,553328
Finland,2021-08-20,Oxford/AstraZeneca,553447
Finland,2021-08-27,Oxford/AstraZeneca,553506
Finland,2021-09-03,Oxford/AstraZeneca,553535
Finland,2021-09-10,Oxford/AstraZeneca,553564
Finland,2021-09-17,Oxford/AstraZeneca,553589
Finland,2021-09-24,Oxford/AstraZeneca,553620
Finland,2021-10-01,Oxford/AstraZeneca,553665
Finland,2021-10-08,Oxford/AstraZeneca,553698
Finland,2021-10-15,Oxford/AstraZeneca,553723
Finland,2021-10-22,Oxford/AstraZeneca,553756
Finland,2021-10-29,Oxford/AstraZeneca,553766
Finland,2021-11-05,Oxford/AstraZeneca,553788
Finland,2021-11-12,Oxford/AstraZeneca,553800
Finland,2021-11-19,Oxford/AstraZeneca,553836
