location,date,vaccine,total_vaccinations
Ireland,2021-01-08,Johnson&Johnson,6
Ireland,2021-01-22,Johnson&Johnson,7
Ireland,2021-02-05,Johnson&Johnson,12
Ireland,2021-02-12,Johnson&Johnson,15
Ireland,2021-02-19,Johnson&Johnson,30
Ireland,2021-02-26,Johnson&Johnson,47
Ireland,2021-03-05,Johnson&Johnson,69
Ireland,2021-03-12,Johnson&Johnson,97
Ireland,2021-03-19,Johnson&Johnson,124
Ireland,2021-03-26,Johnson&Johnson,140
Ireland,2021-04-02,Johnson&Johnson,179
Ireland,2021-04-09,Johnson&Johnson,268
Ireland,2021-04-16,Johnson&Johnson,290
Ireland,2021-04-23,Johnson&Johnson,304
Ireland,2021-04-30,Johnson&Johnson,380
Ireland,2021-05-07,Johnson&Johnson,731
Ireland,2021-05-14,Johnson&Johnson,1655
Ireland,2021-05-21,Johnson&Johnson,40920
Ireland,2021-05-28,Johnson&Johnson,58515
Ireland,2021-06-04,Johnson&Johnson,71845
Ireland,2021-06-11,Johnson&Johnson,73377
Ireland,2021-06-18,Johnson&Johnson,75565
Ireland,2021-06-25,Johnson&Johnson,80201
Ireland,2021-07-02,Johnson&Johnson,84337
Ireland,2021-07-09,Johnson&Johnson,119292
Ireland,2021-07-16,Johnson&Johnson,168584
Ireland,2021-07-23,Johnson&Johnson,205309
Ireland,2021-07-30,Johnson&Johnson,222040
Ireland,2021-08-06,Johnson&Johnson,228271
Ireland,2021-08-13,Johnson&Johnson,232333
Ireland,2021-08-20,Johnson&Johnson,235550
Ireland,2021-08-27,Johnson&Johnson,237534
Ireland,2021-09-03,Johnson&Johnson,238503
Ireland,2021-09-10,Johnson&Johnson,239250
Ireland,2021-09-17,Johnson&Johnson,239798
Ireland,2021-09-24,Johnson&Johnson,240243
Ireland,2021-10-01,Johnson&Johnson,240633
Ireland,2021-10-08,Johnson&Johnson,240880
Ireland,2021-10-15,Johnson&Johnson,240968
Ireland,2021-10-22,Johnson&Johnson,241005
Ireland,2021-10-29,Johnson&Johnson,241031
Ireland,2021-11-05,Johnson&Johnson,241063
Ireland,2021-11-12,Johnson&Johnson,241091
Ireland,2021-11-19,Johnson&Johnson,241125
Ireland,2021-11-26,Johnson&Johnson,241178
Ireland,2021-12-03,Johnson&Johnson,241218
Ireland,2021-12-10,Johnson&Johnson,241248
Ireland,2021-12-17,Johnson&Johnson,241311
Ireland,2021-12-24,Johnson&Johnson,241367
Ireland,2021-12-31,Johnson&Johnson,241396
Ireland,2022-01-07,Johnson&Johnson,241434
Ireland,2022-01-14,Johnson&Johnson,241470
Ireland,2022-01-21,Johnson&Johnson,241488
Ireland,2022-01-28,Johnson&Johnson,241502
Ireland,2022-02-04,Johnson&Johnson,241518
Ireland,2022-02-11,Johnson&Johnson,241530
Ireland,2022-02-18,Johnson&Johnson,241545
Ireland,2022-02-25,Johnson&Johnson,241555
Ireland,2022-03-04,Johnson&Johnson,241572
Ireland,2022-03-11,Johnson&Johnson,241589
Ireland,2022-03-18,Johnson&Johnson,241591
Ireland,2022-03-25,Johnson&Johnson,241599
Ireland,2022-04-01,Johnson&Johnson,241611
Ireland,2022-04-08,Johnson&Johnson,241613
Ireland,2022-04-15,Johnson&Johnson,241620
Ireland,2022-04-22,Johnson&Johnson,241627
Ireland,2022-04-29,Johnson&Johnson,241630
Ireland,2022-05-06,Johnson&Johnson,241634
Ireland,2022-05-13,Johnson&Johnson,241635
Ireland,2022-05-20,Johnson&Johnson,241638
Ireland,2022-05-27,Johnson&Johnson,241647
Ireland,2022-06-03,Johnson&Johnson,241652
Ireland,2022-06-10,Johnson&Johnson,241659
Ireland,2022-06-17,Johnson&Johnson,241671
Ireland,2022-06-24,Johnson&Johnson,241677
Ireland,2022-07-01,Johnson&Johnson,241682
Ireland,2022-07-08,Johnson&Johnson,241684
Ireland,2022-07-15,Johnson&Johnson,241686
Ireland,2022-07-29,Johnson&Johnson,241688
Ireland,2022-08-05,Johnson&Johnson,241690
Ireland,2022-08-12,Johnson&Johnson,241691
Ireland,2022-08-26,Johnson&Johnson,241694
Ireland,2022-09-02,Johnson&Johnson,241696
Ireland,2022-09-09,Johnson&Johnson,241698
Ireland,2022-09-30,Johnson&Johnson,241703
Ireland,2022-10-14,Johnson&Johnson,241704
Ireland,2022-10-21,Johnson&Johnson,241709
Ireland,2022-11-11,Johnson&Johnson,241711
Ireland,2022-11-18,Johnson&Johnson,241712
Ireland,2022-12-02,Johnson&Johnson,241716
Ireland,2022-12-09,Johnson&Johnson,241717
Ireland,2023-01-06,Johnson&Johnson,241718
Ireland,2023-01-20,Johnson&Johnson,241721
Ireland,2023-03-03,Johnson&Johnson,241722
Ireland,2023-03-24,Johnson&Johnson,241723
Ireland,2023-03-31,Johnson&Johnson,241724
Ireland,2023-04-21,Johnson&Johnson,241727
Ireland,2023-06-02,Johnson&Johnson,241728
Ireland,2021-01-08,Moderna,47
Ireland,2021-01-15,Moderna,1995
Ireland,2021-01-22,Moderna,2042
Ireland,2021-01-29,Moderna,2080
Ireland,2021-02-05,Moderna,2139
Ireland,2021-02-12,Moderna,4145
Ireland,2021-02-19,Moderna,5405
Ireland,2021-02-26,Moderna,9987
Ireland,2021-03-05,Moderna,17526
Ireland,2021-03-12,Moderna,21633
Ireland,2021-03-19,Moderna,23479
Ireland,2021-03-26,Moderna,31640
Ireland,2021-04-02,Moderna,44585
Ireland,2021-04-09,Moderna,53207
Ireland,2021-04-16,Moderna,58227
Ireland,2021-04-23,Moderna,71794
Ireland,2021-04-30,Moderna,86080
Ireland,2021-05-07,Moderna,96089
Ireland,2021-05-14,Moderna,122373
Ireland,2021-05-21,Moderna,161937
Ireland,2021-05-28,Moderna,198007
Ireland,2021-06-04,Moderna,237434
Ireland,2021-06-11,Moderna,277546
Ireland,2021-06-18,Moderna,321013
Ireland,2021-06-25,Moderna,360726
Ireland,2021-07-02,Moderna,407040
Ireland,2021-07-09,Moderna,440840
Ireland,2021-07-16,Moderna,478117
Ireland,2021-07-23,Moderna,505516
Ireland,2021-07-30,Moderna,520963
Ireland,2021-08-06,Moderna,541467
Ireland,2021-08-13,Moderna,557513
Ireland,2021-08-20,Moderna,565638
Ireland,2021-08-27,Moderna,571425
Ireland,2021-09-03,Moderna,576283
Ireland,2021-09-10,Moderna,578162
Ireland,2021-09-17,Moderna,578762
Ireland,2021-09-24,Moderna,579403
Ireland,2021-10-01,Moderna,579721
Ireland,2021-10-08,Moderna,579889
Ireland,2021-10-15,Moderna,580008
Ireland,2021-10-22,Moderna,580078
Ireland,2021-10-29,Moderna,580140
Ireland,2021-11-05,Moderna,580220
Ireland,2021-11-12,Moderna,580311
Ireland,2021-11-19,Moderna,580437
Ireland,2021-11-26,Moderna,580559
