location,date,vaccine,total_vaccinations
Luxembourg,2021-04-09,Johnson&Johnson,1
Luxembourg,2021-04-16,Johnson&Johnson,2163
Luxembourg,2021-04-23,Johnson&Johnson,2357
Luxembourg,2021-05-07,Johnson&Johnson,5808
Luxembourg,2021-05-14,Johnson&Johnson,7688
Luxembourg,2021-05-21,Johnson&Johnson,10807
Luxembourg,2021-05-28,Johnson&Johnson,11303
Luxembourg,2021-06-04,Johnson&Johnson,12731
Luxembourg,2021-06-11,Johnson&Johnson,16827
Luxembourg,2021-06-18,Johnson&Johnson,17745
Luxembourg,2021-06-25,Johnson&Johnson,26393
Luxembourg,2021-07-02,Johnson&Johnson,27922
Luxembourg,2021-07-09,Johnson&Johnson,28349
Luxembourg,2021-07-16,Johnson&Johnson,30604
Luxembourg,2021-07-23,Johnson&Johnson,31409
Luxembourg,2021-07-30,Johnson&Johnson,32320
Luxembourg,2021-08-06,Johnson&Johnson,32808
Luxembourg,2021-08-13,Johnson&Johnson,33361
Luxembourg,2021-08-20,Johnson&Johnson,34187
Luxembourg,2021-08-27,Johnson&Johnson,34769
Luxembourg,2021-09-03,Johnson&Johnson,35301
Luxembourg,2021-09-10,Johnson&Johnson,36023
Luxembourg,2021-09-17,Johnson&Johnson,36464
Luxembourg,2021-09-24,Johnson&Johnson,36869
Luxembourg,2021-10-01,Johnson&Johnson,37201
Luxembourg,2021-10-08,Johnson&Johnson,37529
Luxembourg,2021-10-15,Johnson&Johnson,38098
Luxembourg,2021-10-22,Johnson&Johnson,38579
Luxembourg,2021-10-29,Johnson&Johnson,38896
Luxembourg,2021-11-05,Johnson&Johnson,39195
Luxembourg,2021-11-12,Johnson&Johnson,39419
Luxembourg,2021-11-19,Johnson&Johnson,39567
Luxembourg,2021-11-26,Johnson&Johnson,39713
Luxembourg,2021-12-03,Johnson&Johnson,40074
Luxembourg,2021-12-10,Johnson&Johnson,40370
Luxembourg,2021-12-17,Johnson&Johnson,40599
Luxembourg,2021-12-24,Johnson&Johnson,40748
Luxembourg,2021-12-31,Johnson&Johnson,40900
Luxembourg,2022-01-07,Johnson&Johnson,41099
Luxembourg,2022-01-14,Johnson&Johnson,41285
Luxembourg,2022-01-21,Johnson&Johnson,41347
Luxembourg,2022-01-28,Johnson&Johnson,41377
Luxembourg,2022-02-04,Johnson&Johnson,41404
Luxembourg,2022-02-11,Johnson&Johnson,41417
Luxembourg,2022-02-18,Johnson&Johnson,41428
Luxembourg,2022-02-25,Johnson&Johnson,41435
Luxembourg,2022-03-04,Johnson&Johnson,41437
Luxembourg,2022-03-11,Johnson&Johnson,41444
Luxembourg,2022-03-18,Johnson&Johnson,41449
Luxembourg,2022-03-25,Johnson&Johnson,41451
Luxembourg,2022-04-01,Johnson&Johnson,41453
Luxembourg,2022-04-08,Johnson&Johnson,41457
Luxembourg,2022-04-15,Johnson&Johnson,41459
Luxembourg,2022-04-22,Johnson&Johnson,41461
Luxembourg,2022-04-29,Johnson&Johnson,41465
Luxembourg,2022-05-06,Johnson&Johnson,41468
Luxembourg,2022-05-13,Johnson&Johnson,41469
Luxembourg,2022-05-20,Johnson&Johnson,41472
