location,date,vaccine,total_vaccinations
Netherlands,2021-01-01,Johnson&Johnson,0
Netherlands,2021-04-23,Johnson&Johnson,9181
Netherlands,2021-04-30,Johnson&Johnson,42215
Netherlands,2021-05-07,Johnson&Johnson,58098
Netherlands,2021-05-14,Johnson&Johnson,77146
Netherlands,2021-05-21,Johnson&Johnson,96374
Netherlands,2021-05-28,Johnson&Johnson,191477
Netherlands,2021-06-04,Johnson&Johnson,340336
Netherlands,2021-06-11,Johnson&Johnson,386794
Netherlands,2021-06-18,Johnson&Johnson,392354
Netherlands,2021-06-25,Johnson&Johnson,460656
Netherlands,2021-07-02,Johnson&Johnson,585717
Netherlands,2021-07-09,Johnson&Johnson,650541
Netherlands,2021-07-16,Johnson&Johnson,663079
Netherlands,2021-07-23,Johnson&Johnson,670783
Netherlands,2021-07-30,Johnson&Johnson,676679
Netherlands,2021-08-06,Johnson&Johnson,680913
Netherlands,2021-08-13,Johnson&Johnson,684744
Netherlands,2021-08-20,Johnson&Johnson,687874
Netherlands,2021-08-27,Johnson&Johnson,690706
Netherlands,2021-09-03,Johnson&Johnson,693516
Netherlands,2021-09-10,Johnson&Johnson,696299
Netherlands,2021-09-17,Johnson&Johnson,702522
Netherlands,2021-09-24,Johnson&Johnson,708236
Netherlands,2021-10-01,Johnson&Johnson,713599
Netherlands,2021-10-08,Johnson&Johnson,717394
Netherlands,2021-10-15,Johnson&Johnson,720564
Netherlands,2021-10-22,Johnson&Johnson,723279
Netherlands,2021-10-29,Johnson&Johnson,727241
Netherlands,2021-11-05,Johnson&Johnson,734807
Netherlands,2021-11-12,Johnson&Johnson,738839
Netherlands,2021-11-19,Johnson&Johnson,741264
Netherlands,2021-11-26,Johnson&Johnson,742943
Netherlands,2021-12-03,Johnson&Johnson,743861
Netherlands,2021-12-10,Johnson&Johnson,744565
Netherlands,2021-12-17,Johnson&Johnson,745027
Netherlands,2021-12-24,Johnson&Johnson,745155
Netherlands,2021-12-31,Johnson&Johnson,745333
Netherlands,2022-01-07,Johnson&Johnson,745511
Netherlands,2022-01-14,Johnson&Johnson,745711
Netherlands,2022-01-21,Johnson&Johnson,745824
Netherlands,2022-01-28,Johnson&Johnson,745944
Netherlands,2022-02-04,Johnson&Johnson,746024
Netherlands,2022-02-11,Johnson&Johnson,746100
Netherlands,2022-02-18,Johnson&Johnson,746118
Netherlands,2022-02-25,Johnson&Johnson,746153
Netherlands,2022-03-04,Johnson&Johnson,746203
Netherlands,2022-03-11,Johnson&Johnson,746247
Netherlands,2022-03-18,Johnson&Johnson,746283
Netherlands,2022-03-25,Johnson&Johnson,746336
Netherlands,2022-04-01,Johnson&Johnson,746398
Netherlands,2022-04-08,Johnson&Johnson,746457
Netherlands,2022-04-15,Johnson&Johnson,746532
Netherlands,2022-04-22,Johnson&Johnson,746590
Netherlands,2022-04-29,Johnson&Johnson,746645
