location,date,vaccine,total_vaccinations
Peru,2022-03-26,Moderna,2
Peru,2022-03-27,Moderna,7
Peru,2022-03-28,Moderna,13
Peru,2022-03-29,Moderna,15
Peru,2022-03-30,Moderna,26
Peru,2022-03-31,Moderna,34
Peru,2022-04-01,Moderna,46
Peru,2022-04-02,Moderna,291
Peru,2022-04-03,Moderna,1214
Peru,2022-04-04,Moderna,2039
Peru,2022-04-05,Moderna,2218
Peru,2022-04-06,Moderna,4328
Peru,2022-04-07,Moderna,7907
Peru,2022-04-08,Moderna,11555
Peru,2022-04-09,Moderna,16309
Peru,2022-04-10,Moderna,18479
Peru,2022-04-11,Moderna,27610
Peru,2022-04-12,Moderna,37024
Peru,2022-04-13,Moderna,49700
Peru,2022-04-14,Moderna,51837
Peru,2022-04-15,Moderna,53318
Peru,2022-04-16,Moderna,58147
Peru,2022-04-17,Moderna,60457
Peru,2022-04-18,Moderna,72671
Peru,2022-04-19,Moderna,85284
Peru,2022-04-20,Moderna,98770
Peru,2022-04-21,Moderna,112232
Peru,2022-04-22,Moderna,125707
Peru,2022-04-23,Moderna,134262
Peru,2022-04-24,Moderna,139046
Peru,2022-04-25,Moderna,146981
Peru,2022-04-26,Moderna,156537
Peru,2022-04-27,Moderna,167450
Peru,2022-04-28,Moderna,178640
Peru,2022-04-29,Moderna,191201
Peru,2022-04-30,Moderna,204285
Peru,2022-05-01,Moderna,208392
Peru,2022-05-02,Moderna,218449
Peru,2022-05-03,Moderna,230373
Peru,2022-05-04,Moderna,242642
Peru,2022-05-05,Moderna,255507
Peru,2022-05-06,Moderna,273477
Peru,2022-05-07,Moderna,290849
Peru,2022-05-08,Moderna,294040
Peru,2022-05-09,Moderna,318276
Peru,2022-05-10,Moderna,348239
Peru,2022-05-11,Moderna,376464
Peru,2022-05-12,Moderna,402084
Peru,2022-05-13,Moderna,426962
Peru,2022-05-14,Moderna,454090
Peru,2022-05-15,Moderna,470432
Peru,2022-05-16,Moderna,493688
Peru,2022-05-17,Moderna,519462
Peru,2022-05-18,Moderna,546671
Peru,2022-05-19,Moderna,572261
Peru,2022-05-20,Moderna,598513
Peru,2022-05-21,Moderna,631580
Peru,2022-05-22,Moderna,654347
Peru,2022-05-23,Moderna,684369
Peru,2022-05-24,Moderna,715461
Peru,2022-05-25,Moderna,745994
Peru,2022-05-26,Moderna,773532
Peru,2022-05-27,Moderna,803233
Peru,2022-05-28,Moderna,839503
Peru,2022-05-29,Moderna,867266
Peru,2022-05-30,Moderna,896232
Peru,2022-05-31,Moderna,922396
Peru,2022-06-01,Moderna,946191
Peru,2022-06-02,Moderna,973252
Peru,2022-06-03,Moderna,1002583
Peru,2022-06-04,Moderna,1037785
Peru,2022-06-05,Moderna,1061908
Peru,2022-06-06,Moderna,1090882
Peru,2022-06-07,Moderna,1122532
Peru,2022-06-08,Moderna,1154908
Peru,2022-06-09,Moderna,1187871
Peru,2022-06-10,Moderna,1221008
Peru,2022-06-11,Moderna,1258517
Peru,2022-06-12,Moderna,1286868
Peru,2022-06-13,Moderna,1305758
Peru,2022-06-14,Moderna,1337305
Peru,2022-06-15,Moderna,1371356
Peru,2022-06-16,Moderna,1412299
