location,date,vaccine,total_vaccinations
Portugal,2021-01-08,Covaxin,1
Portugal,2021-01-15,Covaxin,2
Portugal,2021-01-22,Covaxin,3
Portugal,2021-01-29,Covaxin,6
Portugal,2021-02-19,Covaxin,8
Portugal,2021-02-26,Covaxin,11
Portugal,2021-03-05,Covaxin,12
Portugal,2021-03-19,Covaxin,13
Portugal,2021-03-26,Covaxin,17
Portugal,2021-04-02,Covaxin,20
Portugal,2021-04-09,Covaxin,21
Portugal,2021-04-16,Covaxin,24
Portugal,2021-04-23,Covaxin,28
Portugal,2021-04-30,Covaxin,31
Portugal,2021-05-07,Covaxin,34
Portugal,2021-05-14,Covaxin,37
Portugal,2021-05-21,Covaxin,41
Portugal,2021-05-28,Covaxin,49
Portugal,2021-06-04,Covaxin,52
Portugal,2021-06-11,Covaxin,60
Portugal,2021-06-18,Covaxin,63
Portugal,2021-06-25,Covaxin,73
Portugal,2021-07-02,Covaxin,77
Portugal,2021-07-09,Covaxin,80
Portugal,2021-07-16,Covaxin,85
Portugal,2021-07-23,Covaxin,90
Portugal,2021-07-30,Covaxin,92
Portugal,2021-08-06,Covaxin,97
Portugal,2021-08-13,Covaxin,107
Portugal,2021-08-20,Covaxin,113
Portugal,2021-08-27,Covaxin,116
Portugal,2021-09-03,Covaxin,119
Portugal,2021-09-10,Covaxin,121
Portugal,2021-09-17,Covaxin,123
Portugal,2021-09-24,Covaxin,125
Portugal,2021-10-08,Covaxin,128
Portugal,2021-10-15,Covaxin,130
Portugal,2021-10-22,Covaxin,133
Portugal,2021-10-29,Covaxin,136
Portugal,2021-11-05,Covaxin,137
Portugal,2021-11-12,Covaxin,138
Portugal,2021-11-19,Covaxin,139
Portugal,2021-11-26,Covaxin,142
Portugal,2021-12-03,Covaxin,144
Portugal,2021-12-10,Covaxin,145
Portugal,2021-12-17,Covaxin,146
Portugal,2021-12-31,Covaxin,147
Portugal,2022-01-14,Covaxin,149
Portugal,2022-01-28,Covaxin,150
Portugal,2022-02-04,Covaxin,151
Portugal,2022-02-11,Covaxin,152
Portugal,2022-03-04,Covaxin,154
Portugal,2022-03-11,Covaxin,155
Portugal,2022-03-18,Covaxin,156
Portugal,2022-03-25,Covaxin,157
Portugal,2022-04-29,Covaxin,158
Portugal,2022-06-10,Covaxin,159
Portugal,2022-07-15,Covaxin,161
Portugal,2022-09-09,Covaxin,164
Portugal,2022-09-30,Covaxin,165
Portugal,2022-11-04,Covaxin,166
Portugal,2022-12-09,Covaxin,167
Portugal,2023-02-03,Covaxin,168
Portugal,2021-01-08,Johnson&Johnson,28
Portugal,2021-01-15,Johnson&Johnson,34
Portugal,2021-01-22,Johnson&Johnson,37
Portugal,2021-01-29,Johnson&Johnson,42
Portugal,2021-02-05,Johnson&Johnson,71
Portugal,2021-02-12,Johnson&Johnson,79
Portugal,2021-02-19,Johnson&Johnson,85
Portugal,2021-02-26,Johnson&Johnson,93
Portugal,2021-03-05,Johnson&Johnson,162
Portugal,2021-03-12,Johnson&Johnson,266
Portugal,2021-03-19,Johnson&Johnson,354
Portugal,2021-03-26,Johnson&Johnson,421
Portugal,2021-04-02,Johnson&Johnson,538
Portugal,2021-04-09,Johnson&Johnson,767
Portugal,2021-04-16,Johnson&Johnson,849
Portugal,2021-04-23,Johnson&Johnson,875
Portugal,2021-04-30,Johnson&Johnson,2366
Portugal,2021-05-07,Johnson&Johnson,15130
Portugal,2021-05-14,Johnson&Johnson,33339
Portugal,2021-05-21,Johnson&Johnson,57717
Portugal,2021-05-28,Johnson&Johnson,107768
Portugal,2021-06-04,Johnson&Johnson,165056
Portugal,2021-06-11,Johnson&Johnson,193754
Portugal,2021-06-18,Johnson&Johnson,229936
Portugal,2021-06-25,Johnson&Johnson,275329
Portugal,2021-07-02,Johnson&Johnson,302442
Portugal,2021-07-09,Johnson&Johnson,342248
Portugal,2021-07-16,Johnson&Johnson,458839
Portugal,2021-07-23,Johnson&Johnson,592776
Portugal,2021-07-30,Johnson&Johnson,695673
Portugal,2021-08-06,Johnson&Johnson,813171
Portugal,2021-08-13,Johnson&Johnson,956596
Portugal,2021-08-20,Johnson&Johnson,1066213
Portugal,2021-08-27,Johnson&Johnson,1107787
Portugal,2021-09-03,Johnson&Johnson,1123709
Portugal,2021-09-10,Johnson&Johnson,1127589
Portugal,2021-09-17,Johnson&Johnson,1130615
Portugal,2021-09-24,Johnson&Johnson,1132540
Portugal,2021-10-01,Johnson&Johnson,1134161
Portugal,2021-10-08,Johnson&Johnson,1136360
Portugal,2021-10-15,Johnson&Johnson,1136629
Portugal,2021-10-22,Johnson&Johnson,1136842
Portugal,2021-10-29,Johnson&Johnson,1136998
Portugal,2021-11-05,Johnson&Johnson,1137128
Portugal,2021-11-12,Johnson&Johnson,1137241
Portugal,2021-11-19,Johnson&Johnson,1137317
Portugal,2021-11-26,Johnson&Johnson,1137419
Portugal,2021-12-03,Johnson&Johnson,1137535
Portugal,2021-12-10,Johnson&Johnson,1137701
Portugal,2021-12-17,Johnson&Johnson,1137900
Portugal,2021-12-24,Johnson&Johnson,1138030
Portugal,2021-12-31,Johnson&Johnson,1138120
Portugal,2022-01-07,Johnson&Johnson,1138281
Portugal,2022-01-14,Johnson&Johnson,1138392
Portugal,2022-01-21,Johnson&Johnson,1138482
Portugal,2022-01-28,Johnson&Johnson,1138549
Portugal,2022-02-04,Johnson&Johnson,1138644
Portugal,2022-02-11,Johnson&Johnson,1138760
Portugal,2022-02-18,Johnson&Johnson,1138883
Portugal,2022-02-25,Johnson&Johnson,1138999
Portugal,2022-03-04,Johnson&Johnson,1139105
Portugal,2022-03-11,Johnson&Johnson,1139213
Portugal,2022-03-18,Johnson&Johnson,1139340
Portugal,2022-03-25,Johnson&Johnson,1139423
Portugal,2022-04-01,Johnson&Johnson,1139543
Portugal,2022-04-08,Johnson&Johnson,1139723
Portugal,2022-04-15,Johnson&Johnson,1139823
Portugal,2022-04-22,Johnson&Johnson,1139924
Portugal,2022-04-29,Johnson&Johnson,1140064
Portugal,2022-05-06,Johnson&Johnson,1140150
Portugal,2022-05-13,Johnson&Johnson,1140241
Portugal,2022-05-20,Johnson&Johnson,1140327
Portugal,2022-05-27,Johnson&Johnson,1140399
Portugal,2022-06-03,Johnson&Johnson,1140480
Portugal,2022-06-10,Johnson&Johnson,1140627
Portugal,2022-06-17,Johnson&Johnson,1140697
Portugal,2022-06-24,Johnson&Johnson,1140781
Portugal,2022-07-01,Johnson&Johnson,1140840
Portugal,2022-07-08,Johnson&Johnson,1140871
Portugal,2022-07-15,Johnson&Johnson,1140899
Portugal,2022-07-22,Johnson&Johnson,1140921
Portugal,2022-07-29,Johnson&Johnson,1140954
Portugal,2022-08-05,Johnson&Johnson,1140968
Portugal,2022-08-12,Johnson&Johnson,1140982
Portugal,2022-08-19,Johnson&Johnson,1140993
Portugal,2022-08-26,Johnson&Johnson,1141005
Portugal,2022-09-02,Johnson&Johnson,1141011
Portugal,2022-09-09,Johnson&Johnson,1141028
Portugal,2022-09-16,Johnson&Johnson,1141037
Portugal,2022-09-23,Johnson&Johnson,1141045
Portugal,2022-09-30,Johnson&Johnson,1141047
Portugal,2022-10-07,Johnson&Johnson,1141059
Portugal,2022-10-14,Johnson&Johnson,1141064
Portugal,2022-10-21,Johnson&Johnson,1141073
Portugal,2022-10-28,Johnson&Johnson,1141085
Portugal,2022-11-04,Johnson&Johnson,1141089
Portugal,2022-11-11,Johnson&Johnson,1141115
Portugal,2022-11-18,Johnson&Johnson,1141135
Portugal,2022-11-25,Johnson&Johnson,1141158
Portugal,2022-12-02,Johnson&Johnson,1141166
Portugal,2022-12-09,Johnson&Johnson,1141185
Portugal,2022-12-16,Johnson&Johnson,1141190
Portugal,2022-12-23,Johnson&Johnson,1141192
Portugal,2022-12-30,Johnson&Johnson,1141193
Portugal,2023-01-06,Johnson&Johnson,1141199
Portugal,2023-01-13,Johnson&Johnson,1141202
Portugal,2023-01-20,Johnson&Johnson,1141208
Portugal,2023-01-27,Johnson&Johnson,1141216
Portugal,2023-02-03,Johnson&Johnson,1141219
Portugal,2023-02-10,Johnson&Johnson,1141223
Portugal,2023-02-17,Johnson&Johnson,1141226
Portugal,2023-02-24,Johnson&Johnson,1141230
Portugal,2023-03-03,Johnson&Johnson,1141232
Portugal,2023-03-10,Johnson&Johnson,1141233
