location,date,vaccine,total_vaccinations
Slovenia,2021-04-30,Johnson&Johnson,72
Slovenia,2021-05-07,Johnson&Johnson,1650
Slovenia,2021-05-14,Johnson&Johnson,9870
Slovenia,2021-05-21,Johnson&Johnson,15971
Slovenia,2021-05-28,Johnson&Johnson,20874
Slovenia,2021-06-04,Johnson&Johnson,32801
Slovenia,2021-06-11,Johnson&Johnson,38008
Slovenia,2021-06-18,Johnson&Johnson,43621
Slovenia,2021-06-25,Johnson&Johnson,46821
Slovenia,2021-07-02,Johnson&Johnson,50022
Slovenia,2021-07-09,Johnson&Johnson,54974
Slovenia,2021-07-16,Johnson&Johnson,63618
Slovenia,2021-07-23,Johnson&Johnson,72020
Slovenia,2021-07-30,Johnson&Johnson,79187
Slovenia,2021-08-06,Johnson&Johnson,84055
Slovenia,2021-08-13,Johnson&Johnson,88124
Slovenia,2021-08-20,Johnson&Johnson,92641
Slovenia,2021-08-27,Johnson&Johnson,96764
Slovenia,2021-09-03,Johnson&Johnson,100306
Slovenia,2021-09-10,Johnson&Johnson,106764
Slovenia,2021-09-17,Johnson&Johnson,124800
Slovenia,2021-09-24,Johnson&Johnson,132522
Slovenia,2021-10-01,Johnson&Johnson,135228
Slovenia,2021-10-15,Johnson&Johnson,135239
Slovenia,2021-10-22,Johnson&Johnson,135250
Slovenia,2021-10-29,Johnson&Johnson,135260
Slovenia,2021-11-05,Johnson&Johnson,135270
Slovenia,2021-11-12,Johnson&Johnson,135273
Slovenia,2021-11-19,Johnson&Johnson,135277
Slovenia,2021-11-26,Johnson&Johnson,135279
Slovenia,2021-12-10,Johnson&Johnson,135281
Slovenia,2021-12-17,Johnson&Johnson,135286
Slovenia,2021-12-24,Johnson&Johnson,135293
Slovenia,2021-12-31,Johnson&Johnson,135295
Slovenia,2022-01-07,Johnson&Johnson,135298
Slovenia,2022-01-14,Johnson&Johnson,135306
Slovenia,2022-01-21,Johnson&Johnson,135307
Slovenia,2022-01-28,Johnson&Johnson,135309
Slovenia,2022-02-04,Johnson&Johnson,135316
Slovenia,2022-02-18,Johnson&Johnson,135317
Slovenia,2022-02-25,Johnson&Johnson,135318
Slovenia,2022-03-25,Johnson&Johnson,135319
Slovenia,2022-04-01,Johnson&Johnson,135321
Slovenia,2022-04-08,Johnson&Johnson,135322
Slovenia,2022-04-15,Johnson&Johnson,135325
Slovenia,2022-04-22,Johnson&Johnson,135326
Slovenia,2022-05-13,Johnson&Johnson,135327
Slovenia,2022-05-20,Johnson&Johnson,135329
Slovenia,2022-05-27,Johnson&Johnson,135331
Slovenia,2022-06-03,Johnson&Johnson,135332
Slovenia,2022-06-10,Johnson&Johnson,135333
Slovenia,2022-07-08,Johnson&Johnson,135335
Slovenia,2022-07-15,Johnson&Johnson,135336
Slovenia,2022-07-22,Johnson&Johnson,135338
Slovenia,2022-07-29,Johnson&Johnson,135340
Slovenia,2022-08-05,Johnson&Johnson,135341
Slovenia,2022-08-19,Johnson&Johnson,135342
Slovenia,2022-08-26,Johnson&Johnson,135343
Slovenia,2022-09-02,Johnson&Johnson,135344
Slovenia,2022-10-07,Johnson&Johnson,135345
Slovenia,2022-11-04,Johnson&Johnson,135346
Slovenia,2022-11-18,Johnson&Johnson,135347
Slovenia,2022-12-09,Johnson&Johnson,135348
Slovenia,2022-12-16,Johnson&Johnson,135349
Slovenia,2023-01-20,Johnson&Johnson,135350
