location,date,vaccine,total_vaccinations
Spain,2021-01-08,Johnson&Johnson,0
Spain,2021-04-23,Johnson&Johnson,34010
Spain,2021-04-30,Johnson&Johnson,132309
Spain,2021-05-07,Johnson&Johnson,194383
Spain,2021-05-14,Johnson&Johnson,228912
Spain,2021-05-21,Johnson&Johnson,326935
Spain,2021-05-28,Johnson&Johnson,443779
Spain,2021-06-04,Johnson&Johnson,631190
Spain,2021-06-11,Johnson&Johnson,862953
Spain,2021-06-18,Johnson&Johnson,1060326
Spain,2021-06-25,Johnson&Johnson,1225436
Spain,2021-07-02,Johnson&Johnson,1365535
Spain,2021-07-09,Johnson&Johnson,1501241
Spain,2021-07-16,Johnson&Johnson,1645007
Spain,2021-07-23,Johnson&Johnson,1782441
Spain,2021-07-30,Johnson&Johnson,1839643
Spain,2021-08-06,Johnson&Johnson,1886904
Spain,2021-08-13,Johnson&Johnson,1918104
Spain,2021-08-20,Johnson&Johnson,1932822
Spain,2021-08-27,Johnson&Johnson,1945694
Spain,2021-09-03,Johnson&Johnson,1953553
Spain,2021-09-10,Johnson&Johnson,1958817
Spain,2021-09-17,Johnson&Johnson,1963340
Spain,2021-09-24,Johnson&Johnson,1967825
Spain,2021-10-01,Johnson&Johnson,1971249
Spain,2021-10-08,Johnson&Johnson,1974143
Spain,2021-10-15,Johnson&Johnson,1976346
Spain,2021-10-22,Johnson&Johnson,1978867
Spain,2021-10-29,Johnson&Johnson,1980453
Spain,2021-11-05,Johnson&Johnson,1981044
Spain,2021-11-12,Johnson&Johnson,1981390
Spain,2021-11-19,Johnson&Johnson,1981561
Spain,2021-11-26,Johnson&Johnson,1981755
Spain,2021-12-03,Johnson&Johnson,1981836
Spain,2021-12-10,Johnson&Johnson,1981896
Spain,2021-12-17,Johnson&Johnson,1981972
Spain,2021-12-24,Johnson&Johnson,1982024
Spain,2021-12-31,Johnson&Johnson,1982056
Spain,2022-01-07,Johnson&Johnson,1982063
Spain,2022-01-14,Johnson&Johnson,1982093
Spain,2022-01-21,Johnson&Johnson,1982110
Spain,2022-01-28,Johnson&Johnson,1982130
Spain,2022-02-04,Johnson&Johnson,1982138
Spain,2022-02-11,Johnson&Johnson,1982155
Spain,2022-02-18,Johnson&Johnson,1982159
Spain,2022-02-25,Johnson&Johnson,1982177
Spain,2022-03-04,Johnson&Johnson,1982208
Spain,2022-03-11,Johnson&Johnson,1982209
Spain,2022-03-18,Johnson&Johnson,1982211
Spain,2022-03-25,Johnson&Johnson,1982226
Spain,2022-04-01,Johnson&Johnson,1982230
Spain,2022-04-08,Johnson&Johnson,1982234
Spain,2022-06-10,Johnson&Johnson,1982237
Spain,2022-06-17,Johnson&Johnson,1982239
Spain,2022-07-01,Johnson&Johnson,1982241
Spain,2022-08-19,Johnson&Johnson,1982242
Spain,2022-09-30,Johnson&Johnson,1982243
Spain,2022-10-21,Johnson&Johnson,1982244
Spain,2022-11-11,Johnson&Johnson,1982245
Spain,2022-12-09,Johnson&Johnson,1982246
Spain,2022-12-23,Johnson&Johnson,1982247
Spain,2023-01-20,Johnson&Johnson,1982248
Spain,2021-01-08,Moderna,0
Spain,2021-01-15,Moderna,7270
Spain,2021-01-22,Moderna,25725
Spain,2021-01-29,Moderna,29627
Spain,2021-02-05,Moderna,49906
Spain,2021-02-12,Moderna,99099
Spain,2021-02-19,Moderna,139000
Spain,2021-02-26,Moderna,152982
Spain,2021-03-05,Moderna,200337
Spain,2021-03-12,Moderna,258326
Spain,2021-03-19,Moderna,345858
Spain,2021-03-26,Moderna,447362
Spain,2021-04-02,Moderna,550175
Spain,2021-04-09,Moderna,619885
Spain,2021-04-16,Moderna,794195
Spain,2021-04-23,Moderna,965794
Spain,2021-04-30,Moderna,1128958
Spain,2021-05-07,Moderna,1342218
