location,date,vaccine,total_vaccinations
Sweden,2021-01-01,Moderna,0
Sweden,2021-02-19,Moderna,14450
Sweden,2021-02-26,Moderna,22887
Sweden,2021-03-05,Moderna,35134
Sweden,2021-03-12,Moderna,56605
Sweden,2021-03-19,Moderna,82439
Sweden,2021-03-26,Moderna,116205
Sweden,2021-04-02,Moderna,134871
Sweden,2021-04-09,Moderna,171962
Sweden,2021-04-16,Moderna,199802
Sweden,2021-04-23,Moderna,238076
Sweden,2021-04-30,Moderna,268278
Sweden,2021-05-07,Moderna,316423
Sweden,2021-05-14,Moderna,353714
Sweden,2021-05-21,Moderna,417425
Sweden,2021-05-28,Moderna,475180
Sweden,2021-06-04,Moderna,542640
Sweden,2021-06-11,Moderna,609136
Sweden,2021-06-18,Moderna,673203
Sweden,2021-06-25,Moderna,728624
Sweden,2021-07-02,Moderna,800890
Sweden,2021-07-09,Moderna,877474
Sweden,2021-07-16,Moderna,974837
Sweden,2021-07-23,Moderna,1057628
Sweden,2021-07-30,Moderna,1129935
Sweden,2021-08-06,Moderna,1199271
Sweden,2021-08-13,Moderna,1274894
Sweden,2021-08-20,Moderna,1362224
Sweden,2021-08-27,Moderna,1442284
Sweden,2021-09-03,Moderna,1522952
Sweden,2021-09-10,Moderna,1590744
Sweden,2021-09-17,Moderna,1656028
Sweden,2021-09-24,Moderna,1705131
Sweden,2021-10-01,Moderna,1745290
Sweden,2021-10-08,Moderna,1771697
Sweden,2021-10-15,Moderna,1792029
Sweden,2021-10-22,Moderna,1814339
Sweden,2021-10-29,Moderna,1835614
Sweden,2021-11-05,Moderna,1855558
Sweden,2021-11-12,Moderna,1895106
Sweden,2021-11-19,Moderna,1943596
Sweden,2021-11-26,Moderna,1997664
Sweden,2021-12-03,Moderna,2063133
Sweden,2021-12-10,Moderna,2138253
Sweden,2021-12-17,Moderna,2245453
Sweden,2021-12-24,Moderna,2298258
Sweden,2021-12-31,Moderna,2339039
Sweden,2022-01-07,Moderna,2400656
Sweden,2022-01-14,Moderna,2558429
Sweden,2022-01-21,Moderna,2767836
Sweden,2022-01-28,Moderna,2986255
Sweden,2022-02-04,Moderna,3151860
Sweden,2022-02-11,Moderna,3261031
Sweden,2022-02-18,Moderna,3330508
Sweden,2022-02-25,Moderna,3382834
Sweden,2022-03-04,Moderna,3428674
Sweden,2022-03-11,Moderna,3467375
Sweden,2022-03-18,Moderna,3514757
Sweden,2022-03-25,Moderna,3546307
Sweden,2022-04-01,Moderna,3570092
Sweden,2022-04-08,Moderna,3636902
Sweden,2022-04-15,Moderna,3703447
Sweden,2022-04-22,Moderna,3776320
Sweden,2022-04-29,Moderna,3844232
Sweden,2022-05-06,Moderna,3891434
Sweden,2022-05-13,Moderna,3926945
Sweden,2022-05-20,Moderna,3956431
Sweden,2022-05-27,Moderna,3973621
Sweden,2022-06-03,Moderna,3987550
Sweden,2022-06-10,Moderna,3997044
Sweden,2022-06-17,Moderna,4005209
Sweden,2022-06-24,Moderna,4010509
Sweden,2022-07-01,Moderna,4015841
Sweden,2022-07-08,Moderna,4021068
Sweden,2022-07-15,Moderna,4026958
Sweden,2022-07-22,Moderna,4030652
Sweden,2022-07-29,Moderna,4034050
Sweden,2022-08-05,Moderna,4037331
Sweden,2022-08-12,Moderna,4039912
Sweden,2022-08-19,Moderna,4042468
Sweden,2022-08-26,Moderna,4046417
Sweden,2022-09-02,Moderna,4066837
Sweden,2022-09-09,Moderna,4093149
Sweden,2022-09-16,Moderna,4108725
Sweden,2022-09-23,Moderna,4121534
Sweden,2022-09-30,Moderna,4130253
Sweden,2022-10-07,Moderna,4136773
Sweden,2022-10-14,Moderna,4142614
Sweden,2022-10-21,Moderna,4146269
Sweden,2022-10-28,Moderna,4147057
Sweden,2022-11-04,Moderna,4147311
Sweden,2022-11-11,Moderna,4147377
Sweden,2022-11-18,Moderna,4147441
Sweden,2022-11-25,Moderna,4147512
Sweden,2022-12-02,Moderna,4147700
Sweden,2022-12-09,Moderna,4148111
Sweden,2022-12-16,Moderna,4148962
Sweden,2022-12-23,Moderna,4149458
Sweden,2022-12-30,Moderna,4149785
Sweden,2023-01-06,Moderna,4150000
Sweden,2023-01-13,Moderna,4150502
Sweden,2023-01-20,Moderna,4150705
Sweden,2023-01-27,Moderna,4150794
Sweden,2023-02-03,Moderna,4150799
Sweden,2023-02-10,Moderna,4150830
Sweden,2023-02-17,Moderna,4150869
Sweden,2023-02-24,Moderna,4150876
Sweden,2023-03-17,Moderna,4150882
Sweden,2023-05-05,Moderna,4150890
Sweden,2021-01-01,Novavax,0
Sweden,2022-03-11,Novavax,20
Sweden,2022-03-18,Novavax,246
Sweden,2022-03-25,Novavax,450
Sweden,2022-04-01,Novavax,609
Sweden,2022-04-08,Novavax,1131
Sweden,2022-04-15,Novavax,1603
Sweden,2022-04-22,Novavax,2505
Sweden,2022-04-29,Novavax,3468
Sweden,2022-05-06,Novavax,4239
Sweden,2022-05-13,Novavax,4977
Sweden,2022-05-20,Novavax,5265
Sweden,2022-05-27,Novavax,5455
Sweden,2022-06-03,Novavax,5643
Sweden,2022-06-10,Novavax,5784
Sweden,2022-06-17,Novavax,5909
Sweden,2022-06-24,Novavax,6059
Sweden,2022-07-01,Novavax,6116
Sweden,2022-07-08,Novavax,6171
Sweden,2022-07-15,Novavax,6241
Sweden,2022-07-22,Novavax,6277
Sweden,2022-07-29,Novavax,6339
Sweden,2022-08-05,Novavax,6360
Sweden,2022-08-12,Novavax,6367
Sweden,2022-08-19,Novavax,6384
Sweden,2022-08-26,Novavax,6390
Sweden,2022-09-02,Novavax,6478
Sweden,2022-09-09,Novavax,6571
Sweden,2022-09-16,Novavax,6692
Sweden,2022-09-23,Novavax,6789
Sweden,2022-09-30,Novavax,6877
Sweden,2022-10-07,Novavax,6925
Sweden,2022-10-14,Novavax,6978
Sweden,2022-10-21,Novavax,7005
Sweden,2022-10-28,Novavax,7011
Sweden,2022-11-04,Novavax,7024
Sweden,2022-11-18,Novavax,7034
Sweden,2022-11-25,Novavax,7039
Sweden,2022-12-09,Novavax,7044
Sweden,2023-01-13,Novavax,7050
Sweden,2023-01-20,Novavax,7055
Sweden,2023-01-27,Novavax,7060
Sweden,2021-01-01,Oxford/AstraZeneca,0
Sweden,2021-02-12,Oxford/AstraZeneca,9803
Sweden,2021-02-19,Oxford/AstraZeneca,37926
Sweden,2021-02-26,Oxford/AstraZeneca,77813
Sweden,2021-03-05,Oxford/AstraZeneca,147402
Sweden,2021-03-12,Oxford/AstraZeneca,219397
Sweden,2021-03-19,Oxford/AstraZeneca,230236
Sweden,2021-03-26,Oxford/AstraZeneca,236767
Sweden,2021-04-02,Oxford/AstraZeneca,308723
Sweden,2021-04-09,Oxford/AstraZeneca,415513
Sweden,2021-04-16,Oxford/AstraZeneca,574919
Sweden,2021-04-23,Oxford/AstraZeneca,668645
Sweden,2021-04-30,Oxford/AstraZeneca,704095
Sweden,2021-05-07,Oxford/AstraZeneca,722303
Sweden,2021-05-14,Oxford/AstraZeneca,751618
Sweden,2021-05-21,Oxford/AstraZeneca,793525
Sweden,2021-05-28,Oxford/AstraZeneca,816441
Sweden,2021-06-04,Oxford/AstraZeneca,865469
Sweden,2021-06-11,Oxford/AstraZeneca,932081
Sweden,2021-06-18,Oxford/AstraZeneca,1062211
Sweden,2021-06-25,Oxford/AstraZeneca,1167204
Sweden,2021-07-02,Oxford/AstraZeneca,1244045
Sweden,2021-07-09,Oxford/AstraZeneca,1284023
Sweden,2021-07-16,Oxford/AstraZeneca,1299911
Sweden,2021-07-23,Oxford/AstraZeneca,1307594
Sweden,2021-07-30,Oxford/AstraZeneca,1310160
Sweden,2021-08-06,Oxford/AstraZeneca,1311185
Sweden,2021-08-13,Oxford/AstraZeneca,1312064
Sweden,2021-08-20,Oxford/AstraZeneca,1312983
Sweden,2021-08-27,Oxford/AstraZeneca,1313671
Sweden,2021-09-03,Oxford/AstraZeneca,1313985
Sweden,2021-11-05,Oxford/AstraZeneca,1314000
Sweden,2021-01-01,Pfizer/BioNTech,1397
Sweden,2021-01-08,Pfizer/BioNTech,33883
Sweden,2021-01-15,Pfizer/BioNTech,97148
Sweden,2021-01-22,Pfizer/BioNTech,192947
Sweden,2021-01-29,Pfizer/BioNTech,266253
Sweden,2021-02-05,Pfizer/BioNTech,345040
Sweden,2021-02-12,Pfizer/BioNTech,428199
Sweden,2021-02-19,Pfizer/BioNTech,526930
Sweden,2021-02-26,Pfizer/BioNTech,622370
Sweden,2021-03-05,Pfizer/BioNTech,717872
Sweden,2021-03-12,Pfizer/BioNTech,831306
Sweden,2021-03-19,Pfizer/BioNTech,955686
Sweden,2021-03-26,Pfizer/BioNTech,1100416
Sweden,2021-04-02,Pfizer/BioNTech,1263641
Sweden,2021-04-09,Pfizer/BioNTech,1454050
Sweden,2021-04-16,Pfizer/BioNTech,1731374
Sweden,2021-04-23,Pfizer/BioNTech,2033074
Sweden,2021-04-30,Pfizer/BioNTech,2363202
Sweden,2021-05-07,Pfizer/BioNTech,2749802
Sweden,2021-05-14,Pfizer/BioNTech,3104220
Sweden,2021-05-21,Pfizer/BioNTech,3448694
Sweden,2021-05-28,Pfizer/BioNTech,3848599
Sweden,2021-06-04,Pfizer/BioNTech,4313426
Sweden,2021-06-11,Pfizer/BioNTech,4858270
Sweden,2021-06-18,Pfizer/BioNTech,5433594
Sweden,2021-06-25,Pfizer/BioNTech,5908463
Sweden,2021-07-02,Pfizer/BioNTech,6491320
Sweden,2021-07-09,Pfizer/BioNTech,6971414
Sweden,2021-07-16,Pfizer/BioNTech,7368467
Sweden,2021-07-23,Pfizer/BioNTech,7722070
Sweden,2021-07-30,Pfizer/BioNTech,8043869
Sweden,2021-08-06,Pfizer/BioNTech,8361101
Sweden,2021-08-13,Pfizer/BioNTech,8707994
Sweden,2021-08-20,Pfizer/BioNTech,9109747
Sweden,2021-08-27,Pfizer/BioNTech,9485888
Sweden,2021-09-03,Pfizer/BioNTech,9761830
Sweden,2021-09-10,Pfizer/BioNTech,9953485
Sweden,2021-09-17,Pfizer/BioNTech,10091620
Sweden,2021-09-24,Pfizer/BioNTech,10192098
Sweden,2021-10-01,Pfizer/BioNTech,10277797
Sweden,2021-10-08,Pfizer/BioNTech,10363204
Sweden,2021-10-15,Pfizer/BioNTech,10474897
Sweden,2021-10-22,Pfizer/BioNTech,10569483
Sweden,2021-10-29,Pfizer/BioNTech,10680778
Sweden,2021-11-05,Pfizer/BioNTech,10773572
