location,success,skipped,error,error_short,timestamp
Afghanistan,True,False,,,2024-08-15T07:04:51
Albania,True,False,,,2024-08-15T07:04:51
Algeria,True,False,,,2024-08-15T07:04:51
Andorra,True,False,,,2024-08-15T07:04:51
Angola,True,False,,,2024-08-15T07:04:51
Anguilla,True,False,,,2024-08-15T07:04:51
Antigua and Barbuda,True,False,,,2024-08-15T07:04:51
Argentina,True,False,,,2024-08-15T07:04:51
Armenia,True,False,,,2024-08-15T07:04:51
Aruba,True,False,,,2024-08-15T07:04:52
Australia,True,False,,,2024-08-15T07:04:52
Austria,True,False,,,2024-08-15T07:04:52
Azerbaijan,True,False,,,2024-08-15T07:04:52
Bahamas,True,False,,,2024-08-15T07:04:52
Bahrain,True,False,,,2024-08-15T07:04:52
Bangladesh,True,False,,,2024-08-15T07:04:52
Barbados,True,False,,,2024-08-15T07:04:52
Belarus,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 73, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 253, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 170, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 186, in _check_metrics_monotonic
    raise ValueError(
ValueError: Belarus -- Column people_vaccinated must be monotonically increasing! Check:
   location       date  ... people_fully_vaccinated total_boosters
70  Belarus 2023-12-23  ...                 6366658        5724423

[1 rows x 8 columns]
","Belarus -- Column people_vaccinated must be monotonically increasing! Check:
   location       date  ... people_fully_vaccinated total_boosters
70  Belarus 2023-12-23  ...                 6366658        5724423

[1 rows x 8 columns]",2024-08-15T07:04:52
Belgium,True,False,,,2024-08-15T07:04:52
Belize,True,False,,,2024-08-15T07:04:52
Benin,True,False,,,2024-08-15T07:04:52
Bermuda,True,False,,,2024-08-15T07:04:52
Bhutan,True,False,,,2024-08-15T07:04:52
Bolivia,True,False,,,2024-08-15T07:04:52
Bonaire Sint Eustatius and Saba,True,False,,,2024-08-15T07:04:52
Bosnia and Herzegovina,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 73, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 253, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 170, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 186, in _check_metrics_monotonic
    raise ValueError(
ValueError: Bosnia and Herzegovina -- Column total_vaccinations must be monotonically increasing! Check:
                  location       date  ... people_fully_vaccinated total_boosters
22  Bosnia and Herzegovina 2023-12-23  ...                  461202         182203

[1 rows x 8 columns]
","Bosnia and Herzegovina -- Column total_vaccinations must be monotonically increasing! Check:
                  location       date  ... people_fully_vaccinated total_boosters
22  Bosnia and Herzegovina 2023-12-23  ...                  461202         182203

[1 rows x 8 columns]",2024-08-15T07:04:52
Botswana,True,False,,,2024-08-15T07:04:52
Brazil,True,False,,,2024-08-15T07:04:52
British Virgin Islands,True,False,,,2024-08-15T07:04:52
Brunei,True,False,,,2024-08-15T07:04:52
Bulgaria,True,False,,,2024-08-15T07:04:52
Burkina Faso,True,False,,,2024-08-15T07:04:52
Burundi,True,False,,,2024-08-15T07:04:52
Cambodia,True,False,,,2024-08-15T07:04:52
Cameroon,True,False,,,2024-08-15T07:04:52
Canada,True,False,,,2024-08-15T07:04:52
Cape Verde,True,False,,,2024-08-15T07:04:52
Cayman Islands,True,False,,,2024-08-15T07:04:53
Central African Republic,True,False,,,2024-08-15T07:04:53
Chad,True,False,,,2024-08-15T07:04:53
Chile,True,False,,,2024-08-15T07:04:53
China,True,False,,,2024-08-15T07:04:53
Colombia,True,False,,,2024-08-15T07:04:53
Comoros,True,False,,,2024-08-15T07:04:53
Congo,True,False,,,2024-08-15T07:04:53
Cook Islands,True,False,,,2024-08-15T07:04:53
Costa Rica,True,False,,,2024-08-15T07:04:53
Cote d'Ivoire,True,False,,,2024-08-15T07:04:53
Croatia,True,False,,,2024-08-15T07:04:53
Cuba,True,False,,,2024-08-15T07:04:53
Curacao,True,False,,,2024-08-15T07:04:53
Cyprus,True,False,,,2024-08-15T07:04:53
Czechia,True,False,,,2024-08-15T07:04:53
Democratic Republic of Congo,True,False,,,2024-08-15T07:04:53
Denmark,True,False,,,2024-08-15T07:04:53
Djibouti,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 73, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 253, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 170, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 186, in _check_metrics_monotonic
    raise ValueError(
ValueError: Djibouti -- Column people_vaccinated must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
67  Djibouti 2023-12-31  ...                  351712           <NA>

[1 rows x 8 columns]
","Djibouti -- Column people_vaccinated must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
67  Djibouti 2023-12-31  ...                  351712           <NA>

[1 rows x 8 columns]",2024-08-15T07:04:53
Dominica,True,False,,,2024-08-15T07:04:53
Dominican Republic,True,False,,,2024-08-15T07:04:53
Ecuador,True,False,,,2024-08-15T07:04:53
